number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,3.4695203011856623,2026-08-29 11:54:53.231258,2026-08-29 11:54:54.780389,0 days 00:00:01.549131,0.5159490287115169,3,31,0.1330830452710967,5,0.0006219136370237089,0.020246844166742006,0.6812551570377835,COMPLETE
1,3.347228753845201,2026-08-29 11:54:54.912362,2026-08-29 11:54:56.285815,0 days 00:00:01.373453,0.4881491197255109,3,15,0.9530013913743769,7,0.17810303729855204,0.4645426212783978,0.7486099471193609,COMPLETE
2,3.5154320987654324,2026-08-29 11:54:56.450447,2026-08-29 11:54:58.489606,0 days 00:00:02.039159,0.7756515715729928,3,50,0.6024828262724831,6,3.294686014746819e-05,0.005054808169844367,0.8508143291581981,COMPLETE
3,3.5150617283950614,2026-08-29 11:54:58.710131,2026-08-29 11:55:00.198145,0 days 00:00:01.488014,0.46422747520056534,3,43,0.18760602333025855,7,0.9111125315005132,0.7188972376977392,0.8236327006574518,COMPLETE
4,3.3154473185324727,2026-08-29 11:55:00.381688,2026-08-29 11:55:02.027683,0 days 00:00:01.645995,0.9948189824016627,5,5,0.5299930857152509,23,0.0010175793605417826,179.22865612934532,0.935588629541977,COMPLETE
5,3.3838122720977797,2026-08-29 11:55:02.151848,2026-08-29 11:55:03.882359,0 days 00:00:01.730511,0.5685996695034162,3,19,0.5210355783251001,3,0.6473064817618691,0.6851979810687185,0.5659235388361655,COMPLETE
6,3.415619199975692,2026-08-29 11:55:04.278224,2026-08-29 11:55:05.742098,0 days 00:00:01.463874,0.39130793957375193,3,26,0.6221139040318746,7,0.5961318958579598,34.10790248082747,0.6243456294076555,COMPLETE
7,3.5165432098765432,2026-08-29 11:55:05.916166,2026-08-29 11:55:07.259321,0 days 00:00:01.343155,0.5790807735114661,4,36,0.801857491122601,4,3.6920619335626064e-05,226.09080191624543,0.8047686258073887,COMPLETE
8,3.3803822920457898,2026-08-29 11:55:07.409413,2026-08-29 11:55:08.952880,0 days 00:00:01.543467,0.7938904491043391,5,15,0.05874353139508637,15,0.031153937069115314,0.7684483673874448,0.8285743972896857,COMPLETE
9,3.5154320987654324,2026-08-29 11:55:09.146757,2026-08-29 11:55:10.709259,0 days 00:00:01.562502,0.74126878194512,4,50,0.5004279714746291,11,0.0002643862245975746,2.401833769836101,0.7868321773844915,COMPLETE
10,3.3414341621631336,2026-08-29 11:55:10.862600,2026-08-29 11:55:12.700885,0 days 00:00:01.838285,0.9880888632998539,2,6,0.3002800635424314,3,0.006337115636150469,0.0010057978209447092,0.9988726053516701,COMPLETE
11,3.332757391968677,2026-08-29 11:55:12.889025,2026-08-29 11:55:14.852129,0 days 00:00:01.963104,0.9877131856783191,2,5,0.33671530477926315,3,0.007867287928812227,0.0018100809843714324,0.9724299175303193,COMPLETE
12,3.383110764027336,2026-08-29 11:55:15.248695,2026-08-29 11:55:17.018906,0 days 00:00:01.770211,0.9841081125826188,5,5,0.3695527474315017,28,0.002413376408883314,0.027191228467868055,0.9696940419598745,COMPLETE
13,3.515432098765432,2026-08-29 11:55:17.231215,2026-08-29 11:55:18.742430,0 days 00:00:01.511215,0.8986509227695819,2,11,0.3756296123953302,3,15.822296908305312,14.148840579408185,0.9159758044801837,COMPLETE
