number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
0,3.354715276647497,2026-08-29 11:53:40.380223,2026-08-29 11:53:42.190505,0 days 00:00:01.810282,0.5395907823879094,0.7155350116417496,3,15,0.00045045270750070034,0.032869784334126885,0.8062471914430749,COMPLETE
1,3.4505826926525724,2026-08-29 11:53:42.482626,2026-08-29 11:53:43.727569,0 days 00:00:01.244943,0.4919627896202563,1.9687780228206633,2,9,0.007222918069586425,0.014591216708644347,0.8615902125574169,COMPLETE
2,3.521343231201172,2026-08-29 11:53:43.863770,2026-08-29 11:53:45.125484,0 days 00:00:01.261714,0.7090072880384823,1.964545714952274,3,29,28.685936353204884,4.584855787748904,0.7048556432476945,COMPLETE
3,3.369037298508632,2026-08-29 11:53:45.334677,2026-08-29 11:53:47.035475,0 days 00:00:01.700798,0.6325088405974555,1.8242180043830118,2,4,0.4047690972886321,42.341358787439795,0.8211172718226174,COMPLETE
4,3.4711955506124617,2026-08-29 11:53:47.194092,2026-08-29 11:53:48.677339,0 days 00:00:01.483247,0.47194391516466805,0.025159386550659968,2,23,0.8137696670217525,6.645511623240726,0.7847035982790921,COMPLETE
5,3.516725799183787,2026-08-29 11:53:49.031414,2026-08-29 11:53:50.365829,0 days 00:00:01.334415,0.973450656407475,0.049045619810533125,5,30,0.02709127721898411,0.16801272321361083,0.6894764270749287,COMPLETE
6,3.418539070788725,2026-08-29 11:53:50.490102,2026-08-29 11:53:52.378978,0 days 00:00:01.888876,0.8328103949735441,1.0126960501523088,3,2,0.02257214060845831,0.7141263211261578,0.7013382327331343,COMPLETE
7,3.4232983059353295,2026-08-29 11:53:52.605506,2026-08-29 11:53:54.387800,0 days 00:00:01.782294,0.39130793957375193,1.8663417120956238,4,15,0.5961318958579598,34.10790248082747,0.6243456294076555,COMPLETE
8,3.383601365266023,2026-08-29 11:53:54.553548,2026-08-29 11:53:55.863894,0 days 00:00:01.310346,0.7179991261662281,2.9327173775609148,4,3,0.001917540450209472,0.003017786845012373,0.8538204319984354,COMPLETE
9,3.531208603470414,2026-08-29 11:53:56.180535,2026-08-29 11:53:57.568024,0 days 00:00:01.387489,0.49737435032978,1.618085937057927,5,29,0.10225609921148712,5.50011817566983,0.747964314549465,COMPLETE
10,3.380981774977696,2026-08-29 11:53:57.706250,2026-08-29 11:53:59.458056,0 days 00:00:01.751806,0.9973169427203459,2.900128098907924,4,16,1.0349133845137371e-05,0.0012014971676727528,0.994439366683992,COMPLETE
11,3.4151603321970243,2026-08-29 11:53:59.621258,2026-08-29 11:54:01.575584,0 days 00:00:01.954326,0.6380213690692579,0.850178836045653,3,11,0.00018173739212129275,170.204256154082,0.8615499983799958,COMPLETE
12,3.3512789408365884,2026-08-29 11:54:01.758551,2026-08-29 11:54:02.954615,0 days 00:00:01.196064,0.6051749114935805,0.8227550179057455,2,7,0.0003374425498505899,0.041388637825665126,0.9734208996165372,COMPLETE
13,3.3834198845757384,2026-08-29 11:54:03.297664,2026-08-29 11:54:04.716735,0 days 00:00:01.419071,0.580662318928657,0.8032919500647853,3,20,0.00033391985780043335,0.04395196449402423,0.9933582894302132,COMPLETE
14,3.363411114539629,2026-08-29 11:54:04.911249,2026-08-29 11:54:06.488161,0 days 00:00:01.576912,0.3614717732062806,0.5818209323833301,2,9,3.8828813972263474e-05,0.015586679358300189,0.9244471916255904,COMPLETE
15,3.476739765685281,2026-08-29 11:54:06.670103,2026-08-29 11:54:08.241425,0 days 00:00:01.571322,0.5632449245311354,1.291433398386502,3,13,0.000809829777678375,0.23452336463700563,0.5514512525178266,COMPLETE
16,3.3607886985496243,2026-08-29 11:54:08.563807,2026-08-29 11:54:10.030660,0 days 00:00:01.466853,0.7648941115374722,0.4945820036261434,2,7,7.170179173534728e-05,0.04549110795473064,0.9253608894807763,COMPLETE
17,3.404532915280189,2026-08-29 11:54:10.156625,2026-08-29 11:54:11.399738,0 days 00:00:01.243113,0.8450254396134051,1.276897903595325,3,18,0.002401592622482051,0.006315150617292355,0.9262306008474244,COMPLETE
18,3.5364591810438366,2026-08-29 11:54:11.570449,2026-08-29 11:54:12.808106,0 days 00:00:01.237657,0.44257228367056833,0.45245466994201744,4,24,1.105590516372381e-05,0.6747622980697825,0.6277861135774299,COMPLETE
19,3.2826724582248263,2026-08-29 11:54:12.941611,2026-08-29 11:54:14.619252,0 days 00:00:01.677641,0.5622374937826243,2.3856283341057436,2,6,0.0002914676322995355,0.07123980129847192,0.763489233700524,COMPLETE
20,3.3980367213119695,2026-08-29 11:54:15.266418,2026-08-29 11:54:16.692244,0 days 00:00:01.425826,0.6404902589682022,2.5178426381678944,2,6,7.204354336928277e-05,0.6852041247718988,0.557686309675718,COMPLETE
21,3.3205635635941118,2026-08-29 11:54:16.826700,2026-08-29 11:54:18.619101,0 days 00:00:01.792401,0.5498632926384943,2.3580137208832026,2,1,0.00040771622565018823,0.09246568182943217,0.7609332375547609,COMPLETE
22,3.3248912669994213,2026-08-29 11:54:18.753277,2026-08-29 11:54:20.276029,0 days 00:00:01.522752,0.5867936980183709,2.4236000519514183,2,1,0.002024709385896328,0.16316924397098978,0.757100674035578,COMPLETE
23,3.2998174267050664,2026-08-29 11:54:20.489748,2026-08-29 11:54:22.192669,0 days 00:00:01.702921,0.41524831246147786,2.3749007747656323,2,1,0.0037336216953270797,0.14821500123201395,0.7518258258000183,COMPLETE
