scheme,status,feasible,repeat,fold,N,n_groups,mean,SD,n_gt_TrainQ90,n_gt_TrainQ95,wasserstein_vs_train,ks_vs_train
CURRENT_GROUP_CV,OK_EXISTING,True,0,0,33,14,9.376393939393939,0.8595641678851679,4,2,0.1214876543209877,0.1358024691358024
CURRENT_GROUP_CV,OK_EXISTING,True,0,1,33,15,9.378,0.741870103185187,3,2,0.07129236812570149,0.08698092031425364
CURRENT_GROUP_CV,OK_EXISTING,True,0,2,32,18,9.427781249999999,0.6460447270232272,3,0,0.1722858796296295,0.1396604938271605
CURRENT_GROUP_CV,OK_EXISTING,True,0,3,32,19,9.24540625,0.8310951135108499,2,2,0.19424498456790115,0.18711419753086422
CURRENT_GROUP_CV,OK_EXISTING,True,0,4,32,19,9.546125,0.9571091807474044,5,3,0.17018441358024686,0.1103395061728395
CURRENT_GROUP_CV,OK_EXISTING,True,1,0,33,14,9.389333333333331,0.8946859667876023,4,2,0.10490628507295183,0.11447811447811451
CURRENT_GROUP_CV,OK_EXISTING,True,1,1,33,15,9.435363636363634,0.8203758215820134,5,2,0.0925864197530864,0.0998877665544331
CURRENT_GROUP_CV,OK_EXISTING,True,1,2,32,18,9.28521875,0.5375538823330088,1,0,0.15632600308641978,0.0864197530864198
CURRENT_GROUP_CV,OK_EXISTING,True,1,3,32,19,9.502937500000002,0.9768504338747513,4,3,0.12543209876543202,0.0790895061728395
CURRENT_GROUP_CV,OK_EXISTING,True,1,4,32,19,9.35865625,0.7820553403970516,3,2,0.06007754629629626,0.10378086419753085
CURRENT_GROUP_CV,OK_EXISTING,True,2,0,33,14,9.39921212121212,0.8558672413689432,5,1,0.08782323232323232,0.08754208754208753
CURRENT_GROUP_CV,OK_EXISTING,True,2,1,33,15,9.338454545454544,0.7646806968806117,3,2,0.07006228956228953,0.08529741863075202
CURRENT_GROUP_CV,OK_EXISTING,True,2,2,32,18,9.4309375,0.7832042512611561,3,1,0.08589969135802465,0.1284722222222222
CURRENT_GROUP_CV,OK_EXISTING,True,2,3,32,19,9.47703125,0.9368331859764437,4,3,0.11241242283950616,0.09722222222222221
CURRENT_GROUP_CV,OK_EXISTING,True,2,4,32,19,9.32859375,0.7323695902574539,2,2,0.1014155092592592,0.12885802469135804
SGKF_Q5,OK,True,0,0,35,16,9.339114285714285,0.8382906196691037,4,1,0.10077442680776012,0.1333333333333333
SGKF_Q5,OK,True,0,1,35,17,9.453714285714286,0.9124652957600011,4,4,0.08941040564373892,0.07248677248677249
SGKF_Q5,OK,True,0,2,30,17,9.4315,0.7006005674936424,4,0,0.15522962962962947,0.11975308641975313
SGKF_Q5,OK,True,0,3,33,19,9.409575757575757,0.922095610223766,4,3,0.09824635241301902,0.10549943883277224
SGKF_Q5,OK,True,0,4,29,16,9.334586206896551,0.6402994007962982,1,1,0.12647190293742022,0.1445295870583227
SGKF_Q5,OK,True,1,0,35,16,9.3736,0.8476590671476636,5,1,0.07858853615520282,0.08659611992945326
SGKF_Q5,OK,True,1,1,35,17,9.362114285714284,0.7471690403047465,3,2,0.061004761904761874,0.06860670194003526
SGKF_Q5,OK,True,1,2,30,17,9.432633333333333,0.8216786217684284,3,2,0.07552592592592597,0.13209876543209872
SGKF_Q5,OK,True,1,3,33,18,9.426424242424243,0.9190781397106228,4,2,0.08987934904601566,0.09539842873176207
