model,role,true_band,pred_band,count,row_frac,n_true
CONST_MEDIAN,cv,LOW,LOW,144,1.0,144
CONST_MEDIAN,cv,LOW,MEDIUM,0,0.0,144
CONST_MEDIAN,cv,LOW,HIGH,0,0.0,144
CONST_MEDIAN,cv,MEDIUM,LOW,12,1.0,12
CONST_MEDIAN,cv,MEDIUM,MEDIUM,0,0.0,12
CONST_MEDIAN,cv,MEDIUM,HIGH,0,0.0,12
CONST_MEDIAN,cv,HIGH,LOW,6,1.0,6
CONST_MEDIAN,cv,HIGH,MEDIUM,0,0.0,6
CONST_MEDIAN,cv,HIGH,HIGH,0,0.0,6
CONST_MEDIAN,public,LOW,LOW,73,1.0,73
CONST_MEDIAN,public,LOW,MEDIUM,0,0.0,73
CONST_MEDIAN,public,LOW,HIGH,0,0.0,73
CONST_MEDIAN,public,MEDIUM,LOW,5,1.0,5
CONST_MEDIAN,public,MEDIUM,MEDIUM,0,0.0,5
CONST_MEDIAN,public,MEDIUM,HIGH,0,0.0,5
CONST_MEDIAN,public,HIGH,LOW,3,1.0,3
CONST_MEDIAN,public,HIGH,MEDIUM,0,0.0,3
CONST_MEDIAN,public,HIGH,HIGH,0,0.0,3
CONST_MEDIAN,private,LOW,LOW,76,1.0,76
CONST_MEDIAN,private,LOW,MEDIUM,0,0.0,76
CONST_MEDIAN,private,LOW,HIGH,0,0.0,76
CONST_MEDIAN,private,MEDIUM,LOW,1,1.0,1
CONST_MEDIAN,private,MEDIUM,MEDIUM,0,0.0,1
CONST_MEDIAN,private,MEDIUM,HIGH,0,0.0,1
CONST_MEDIAN,private,HIGH,LOW,4,1.0,4
CONST_MEDIAN,private,HIGH,MEDIUM,0,0.0,4
CONST_MEDIAN,private,HIGH,HIGH,0,0.0,4
SEQ_SIMPLE_Ridge,cv,LOW,LOW,141,0.9791666666666666,144
SEQ_SIMPLE_Ridge,cv,LOW,MEDIUM,3,0.020833333333333332,144
SEQ_SIMPLE_Ridge,cv,LOW,HIGH,0,0.0,144
SEQ_SIMPLE_Ridge,cv,MEDIUM,LOW,10,0.8333333333333334,12
SEQ_SIMPLE_Ridge,cv,MEDIUM,MEDIUM,2,0.16666666666666666,12
SEQ_SIMPLE_Ridge,cv,MEDIUM,HIGH,0,0.0,12
SEQ_SIMPLE_Ridge,cv,HIGH,LOW,5,0.8333333333333334,6
SEQ_SIMPLE_Ridge,cv,HIGH,MEDIUM,1,0.16666666666666666,6
SEQ_SIMPLE_Ridge,cv,HIGH,HIGH,0,0.0,6
SEQ_SIMPLE_Ridge,public,LOW,LOW,72,0.9863013698630136,73
SEQ_SIMPLE_Ridge,public,LOW,MEDIUM,1,0.0136986301369863,73
SEQ_SIMPLE_Ridge,public,LOW,HIGH,0,0.0,73
SEQ_SIMPLE_Ridge,public,MEDIUM,LOW,5,1.0,5
SEQ_SIMPLE_Ridge,public,MEDIUM,MEDIUM,0,0.0,5
SEQ_SIMPLE_Ridge,public,MEDIUM,HIGH,0,0.0,5
SEQ_SIMPLE_Ridge,public,HIGH,LOW,3,1.0,3
SEQ_SIMPLE_Ridge,public,HIGH,MEDIUM,0,0.0,3
SEQ_SIMPLE_Ridge,public,HIGH,HIGH,0,0.0,3
SEQ_SIMPLE_Ridge,private,LOW,LOW,73,0.9605263157894737,76
SEQ_SIMPLE_Ridge,private,LOW,MEDIUM,3,0.039473684210526314,76
SEQ_SIMPLE_Ridge,private,LOW,HIGH,0,0.0,76
SEQ_SIMPLE_Ridge,private,MEDIUM,LOW,1,1.0,1
SEQ_SIMPLE_Ridge,private,MEDIUM,MEDIUM,0,0.0,1
SEQ_SIMPLE_Ridge,private,MEDIUM,HIGH,0,0.0,1
SEQ_SIMPLE_Ridge,private,HIGH,LOW,4,1.0,4
SEQ_SIMPLE_Ridge,private,HIGH,MEDIUM,0,0.0,4
SEQ_SIMPLE_Ridge,private,HIGH,HIGH,0,0.0,4
PLM_ESM2_PCA64_SVR,cv,LOW,LOW,142,0.9861111111111112,144
PLM_ESM2_PCA64_SVR,cv,LOW,MEDIUM,2,0.013888888888888888,144
PLM_ESM2_PCA64_SVR,cv,LOW,HIGH,0,0.0,144
PLM_ESM2_PCA64_SVR,cv,MEDIUM,LOW,11,0.9166666666666666,12
PLM_ESM2_PCA64_SVR,cv,MEDIUM,MEDIUM,1,0.08333333333333333,12
PLM_ESM2_PCA64_SVR,cv,MEDIUM,HIGH,0,0.0,12
PLM_ESM2_PCA64_SVR,cv,HIGH,LOW,4,0.6666666666666666,6
PLM_ESM2_PCA64_SVR,cv,HIGH,MEDIUM,2,0.3333333333333333,6
PLM_ESM2_PCA64_SVR,cv,HIGH,HIGH,0,0.0,6
PLM_ESM2_PCA64_SVR,public,LOW,LOW,71,0.9726027397260274,73
PLM_ESM2_PCA64_SVR,public,LOW,MEDIUM,2,0.0273972602739726,73
PLM_ESM2_PCA64_SVR,public,LOW,HIGH,0,0.0,73
PLM_ESM2_PCA64_SVR,public,MEDIUM,LOW,5,1.0,5
PLM_ESM2_PCA64_SVR,public,MEDIUM,MEDIUM,0,0.0,5
PLM_ESM2_PCA64_SVR,public,MEDIUM,HIGH,0,0.0,5
PLM_ESM2_PCA64_SVR,public,HIGH,LOW,3,1.0,3
PLM_ESM2_PCA64_SVR,public,HIGH,MEDIUM,0,0.0,3
PLM_ESM2_PCA64_SVR,public,HIGH,HIGH,0,0.0,3
PLM_ESM2_PCA64_SVR,private,LOW,LOW,75,0.9868421052631579,76
PLM_ESM2_PCA64_SVR,private,LOW,MEDIUM,1,0.013157894736842105,76
PLM_ESM2_PCA64_SVR,private,LOW,HIGH,0,0.0,76
PLM_ESM2_PCA64_SVR,private,MEDIUM,LOW,1,1.0,1
PLM_ESM2_PCA64_SVR,private,MEDIUM,MEDIUM,0,0.0,1
PLM_ESM2_PCA64_SVR,private,MEDIUM,HIGH,0,0.0,1
PLM_ESM2_PCA64_SVR,private,HIGH,LOW,3,0.75,4
PLM_ESM2_PCA64_SVR,private,HIGH,MEDIUM,1,0.25,4
PLM_ESM2_PCA64_SVR,private,HIGH,HIGH,0,0.0,4
ESMFN_STRUCTURE_ElasticNet,cv,LOW,LOW,143,0.9930555555555556,144
