role,model,rank_MAE,rank_HIGH_to_LOW,rank_elev_recog,rank_HIGH_MAE,overall_MAE,HIGH_to_LOW_rate,elevated_pred_ge10.5_rate,HIGH_band_MAE
cv,SEQ_SIMPLE_Ridge,5.0,4.0,2.0,5.0,0.5646725573788314,0.8333333333333334,0.16666666666666666,2.2259584729512443
cv,PLM_ESM2_PCA64_SVR,2.0,2.0,2.0,1.0,0.4900908734965928,0.6666666666666666,0.16666666666666666,1.971748668535312
cv,ESMFN_STRUCTURE_ElasticNet,3.0,1.0,1.0,3.0,0.4970255757352063,0.5,0.2777777777777778,2.0449952118722057
cv,FUSION_ESM2_ESMFN_ElasticNet,4.0,4.0,2.0,4.0,0.5212224504834979,0.8333333333333334,0.16666666666666666,2.0807668493973495
cv,NESTED_STACK_NNLS,1.0,2.0,2.0,2.0,0.466697778544225,0.6666666666666666,0.16666666666666666,2.0172098536788785
public,SEQ_SIMPLE_Ridge,5.0,2.0,2.0,3.0,0.669532127226486,1.0,0.0,2.9244626645262564
public,PLM_ESM2_PCA64_SVR,4.0,2.0,2.0,5.0,0.6092298343440837,1.0,0.0,3.327849400892914
public,ESMFN_STRUCTURE_ElasticNet,1.0,2.0,2.0,1.0,0.5031072596812927,1.0,0.0,2.7989887197486794
public,FUSION_ESM2_ESMFN_ElasticNet,3.0,1.0,1.0,2.0,0.5288075244267564,0.6666666666666666,0.125,2.8234088997368434
public,NESTED_STACK_NNLS,2.0,2.0,2.0,4.0,0.5134573676932476,1.0,0.0,3.0714963411546825
private,SEQ_SIMPLE_Ridge,5.0,5.0,5.0,5.0,0.5822576837296752,1.0,0.0,1.99128457531745
private,PLM_ESM2_PCA64_SVR,4.0,3.0,3.0,2.0,0.5031315016969587,0.75,0.2,1.5849814971839988
private,ESMFN_STRUCTURE_ElasticNet,3.0,1.0,1.0,4.0,0.446758045744606,0.5,0.4,1.6269267645038856
private,FUSION_ESM2_ESMFN_ElasticNet,2.0,3.0,3.0,1.0,0.43271525131060895,0.75,0.2,1.5258881182942634
private,NESTED_STACK_NNLS,1.0,1.0,1.0,3.0,0.4312598336544275,0.5,0.4,1.605313501438364
