model,role,winsor,Pearson,Spearman
SEQ_SIMPLE_Ridge,cv,0.0,0.38341986881919793,0.36280815278167705
SEQ_SIMPLE_Ridge,cv,0.01,0.3877854566985429,0.36280815278167705
SEQ_SIMPLE_Ridge,cv,0.025,0.39577610045730316,0.36280815278167705
SEQ_SIMPLE_Ridge,cv,0.05,0.4046799299467144,0.36280815278167705
SEQ_SIMPLE_Ridge,public,0.0,0.2791698458348464,0.3476954876306225
SEQ_SIMPLE_Ridge,public,0.01,0.31590867111475524,0.3476954876306225
SEQ_SIMPLE_Ridge,public,0.025,0.32011256783678144,0.3476954876306225
SEQ_SIMPLE_Ridge,public,0.05,0.324877380512194,0.3476954876306225
SEQ_SIMPLE_Ridge,private,0.0,0.38796571636184873,0.488030443449736
SEQ_SIMPLE_Ridge,private,0.01,0.4010284477964116,0.488030443449736
SEQ_SIMPLE_Ridge,private,0.025,0.40128756166043483,0.488030443449736
SEQ_SIMPLE_Ridge,private,0.05,0.4170793516190405,0.488030443449736
PLM_ESM2_PCA64_SVR,cv,0.0,0.5290205556465044,0.5424134522551052
PLM_ESM2_PCA64_SVR,cv,0.01,0.528309357546448,0.5424134522551052
PLM_ESM2_PCA64_SVR,cv,0.025,0.53243799326367,0.5424134522551052
PLM_ESM2_PCA64_SVR,cv,0.05,0.5359866383279448,0.5424134522551052
PLM_ESM2_PCA64_SVR,public,0.0,0.21821545831524394,0.33999401564088283
PLM_ESM2_PCA64_SVR,public,0.01,0.23990347171820195,0.33999401564088283
PLM_ESM2_PCA64_SVR,public,0.025,0.2426391838560172,0.33999401564088283
PLM_ESM2_PCA64_SVR,public,0.05,0.2584139740537262,0.33999401564088283
PLM_ESM2_PCA64_SVR,private,0.0,0.5877205739110342,0.5471894127279046
PLM_ESM2_PCA64_SVR,private,0.01,0.5928164175711669,0.5471894127279046
PLM_ESM2_PCA64_SVR,private,0.025,0.5938392882043118,0.5471894127279046
PLM_ESM2_PCA64_SVR,private,0.05,0.5947289501907808,0.5471894127279046
ESMFN_STRUCTURE_ElasticNet,cv,0.0,0.5201533864978656,0.5228901245983482
ESMFN_STRUCTURE_ElasticNet,cv,0.01,0.5224341382288994,0.5228901245983482
ESMFN_STRUCTURE_ElasticNet,cv,0.025,0.5282909627120754,0.5228901245983482
ESMFN_STRUCTURE_ElasticNet,cv,0.05,0.5365784982823296,0.5228901245983482
ESMFN_STRUCTURE_ElasticNet,public,0.0,0.4787006093964799,0.4117238544661415
ESMFN_STRUCTURE_ElasticNet,public,0.01,0.5020637427180252,0.4117238544661415
ESMFN_STRUCTURE_ElasticNet,public,0.025,0.5095126919612859,0.4117238544661415
ESMFN_STRUCTURE_ElasticNet,public,0.05,0.5051043224865674,0.4117238544661415
ESMFN_STRUCTURE_ElasticNet,private,0.0,0.6483574912921652,0.5916913210931006
ESMFN_STRUCTURE_ElasticNet,private,0.01,0.6513549105773638,0.5916913210931006
ESMFN_STRUCTURE_ElasticNet,private,0.025,0.6591267275870611,0.5916913210931006
ESMFN_STRUCTURE_ElasticNet,private,0.05,0.6723788688518294,0.5916913210931006
FUSION_ESM2_ESMFN_ElasticNet,cv,0.0,0.46442794309422714,0.49632693875089456
FUSION_ESM2_ESMFN_ElasticNet,cv,0.01,0.474350539197119,0.49632693875089456
FUSION_ESM2_ESMFN_ElasticNet,cv,0.025,0.48726330390959144,0.49632693875089456
FUSION_ESM2_ESMFN_ElasticNet,cv,0.05,0.4999688540436195,0.49632693875089456
FUSION_ESM2_ESMFN_ElasticNet,public,0.0,0.4365546860974038,0.43664635986402345
FUSION_ESM2_ESMFN_ElasticNet,public,0.01,0.4657552121570819,0.43664635986402345
FUSION_ESM2_ESMFN_ElasticNet,public,0.025,0.47540619765541414,0.43664635986402345
FUSION_ESM2_ESMFN_ElasticNet,public,0.05,0.4753904813814023,0.43664635986402345
FUSION_ESM2_ESMFN_ElasticNet,private,0.0,0.642169080514912,0.5431694484097086
FUSION_ESM2_ESMFN_ElasticNet,private,0.01,0.6507826536165583,0.5431694484097086
FUSION_ESM2_ESMFN_ElasticNet,private,0.025,0.6587969543915991,0.5431694484097086
FUSION_ESM2_ESMFN_ElasticNet,private,0.05,0.6674847057431779,0.5431694484097086
NESTED_STACK_NNLS,cv,0.0,0.5640973216570419,0.5742522976688826
NESTED_STACK_NNLS,cv,0.01,0.5637433033929448,0.5742522976688826
NESTED_STACK_NNLS,cv,0.025,0.5712788078209325,0.5742522976688826
NESTED_STACK_NNLS,cv,0.05,0.5773213353145662,0.5742522976688826
NESTED_STACK_NNLS,public,0.0,0.3933882825252269,0.43202773516636434
NESTED_STACK_NNLS,public,0.01,0.4232955448718814,0.43202773516636434
NESTED_STACK_NNLS,public,0.025,0.42781204061859485,0.43202773516636434
NESTED_STACK_NNLS,public,0.05,0.4356596174982619,0.43202773516636434
NESTED_STACK_NNLS,private,0.0,0.6852431476775287,0.6455430341084825
NESTED_STACK_NNLS,private,0.01,0.6885318081352977,0.6455430341084825
NESTED_STACK_NNLS,private,0.025,0.6923177471391263,0.6455430341084825
NESTED_STACK_NNLS,private,0.05,0.7003410024692689,0.6455430341084825
