target,trajectory,policy,final_model,final_private_mae,private_regret
TmApp,0,CV_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,0,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,0,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,1,CV_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,1,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,1,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,2,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,2,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,2,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,3,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,3,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,3,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,4,CV_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,4,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,4,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,5,CV_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
