split_id,bank,target,left_out_family,n_models_kept,spearman_cv_public,spearman_public_private,public_winner_regret
GEN_0000_A_20261007,A,TmApp,ensemble,4,0.0,0.19999999999999998,0.6491236300950809
GEN_0000_A_20261007,A,TmApp,other,4,-0.7999999999999999,0.0,0.5102603924688527
GEN_0000_A_20261007,A,TmApp,plm,4,-0.39999999999999997,-0.39999999999999997,0.5611818051663033
GEN_0000_A_20261007,A,TmApp,seq,4,-0.39999999999999997,0.0,0.6491236300950809
GEN_0000_A_20261007,A,TmApp,simple,4,-0.7999999999999999,-0.7999999999999999,0.6491236300950809
GEN_0000_A_20261007,A,HIC,ensemble,5,0.3,0.8999999999999998,0.014341776904928882
GEN_0000_A_20261007,A,HIC,plm,4,1.0,1.0,0.0
GEN_0000_A_20261007,A,HIC,seq,5,0.3,0.7,0.01022563136537602
GEN_0000_A_20261007,A,HIC,simple,5,0.7,0.7,0.01022563136537602
GEN_0000_A_20261007,A,HIC,structure,5,0.6,0.8999999999999998,0.01022563136537602
GEN_0000_A_20261007,B,TmApp,bio,6,-0.2571428571428572,-0.2571428571428572,0.5132661599263892
GEN_0000_A_20261007,B,TmApp,plm,7,0.5,0.39285714285714296,0.10139913831899428
GEN_0000_A_20261007,B,TmApp,seq,8,0.0,-0.04761904761904763,0.49088585943186924
GEN_0000_A_20261007,B,TmApp,simple,9,-0.26666666666666666,-0.38333333333333336,0.49088585943186924
GEN_0000_A_20261007,B,HIC,plm,8,0.880952380952381,0.9047619047619048,0.0
GEN_0000_A_20261007,B,HIC,seq,7,0.8571428571428573,0.7142857142857144,0.0010051373791352125
GEN_0000_A_20261007,B,HIC,simple,9,0.9166666666666666,0.8499999999999999,0.0010051373791352125
GEN_0000_A_20261007,B,HIC,structure,6,1.0,1.0,0.0
GEN_0001_B_20271100,A,TmApp,ensemble,4,0.7999999999999999,0.7999999999999999,0.0
GEN_0001_B_20271100,A,TmApp,other,4,0.6000000000000001,1.0,0.0
GEN_0001_B_20271100,A,TmApp,plm,4,0.7999999999999999,0.7999999999999999,0.0
GEN_0001_B_20271100,A,TmApp,seq,4,0.7999999999999999,1.0,0.0
GEN_0001_B_20271100,A,TmApp,simple,4,0.7999999999999999,0.7999999999999999,0.0
GEN_0001_B_20271100,A,HIC,ensemble,5,0.09999999999999999,0.8999999999999998,0.06298310279822666
GEN_0001_B_20271100,A,HIC,plm,4,1.0,0.7999999999999999,0.023107179721963744
GEN_0001_B_20271100,A,HIC,seq,5,-0.3,0.6,0.06298310279822666
GEN_0001_B_20271100,A,HIC,simple,5,0.3,0.6,0.06298310279822666
GEN_0001_B_20271100,A,HIC,structure,5,0.3,0.8999999999999998,0.03987592307626292
GEN_0001_B_20271100,B,TmApp,bio,6,0.3714285714285715,0.6,0.0
GEN_0001_B_20271100,B,TmApp,plm,7,0.25,0.5714285714285715,0.08911337031624145
GEN_0001_B_20271100,B,TmApp,seq,8,0.28571428571428575,0.6904761904761906,0.0
GEN_0001_B_20271100,B,TmApp,simple,9,0.06666666666666667,0.5666666666666667,0.0
GEN_0001_B_20271100,B,HIC,plm,8,0.9285714285714287,0.8095238095238096,0.0
GEN_0001_B_20271100,B,HIC,seq,7,0.8928571428571429,0.8571428571428573,0.0
GEN_0001_B_20271100,B,HIC,simple,9,0.8833333333333333,0.7,0.0
GEN_0001_B_20271100,B,HIC,structure,6,0.942857142857143,0.8285714285714287,0.0
GEN_0002_B_20270923,A,TmApp,ensemble,4,0.7999999999999999,0.7999999999999999,0.0
GEN_0002_B_20270923,A,TmApp,other,4,0.0,0.39999999999999997,0.07840258803338562
GEN_0002_B_20270923,A,TmApp,plm,4,0.0,0.19999999999999998,0.5559260735685876
GEN_0002_B_20270923,A,TmApp,seq,4,0.39999999999999997,0.39999999999999997,0.07840258803338562
GEN_0002_B_20270923,A,TmApp,simple,4,-0.19999999999999998,-0.39999999999999997,0.07840258803338562
GEN_0002_B_20270923,A,HIC,ensemble,5,0.09999999999999999,0.8999999999999998,0.051938104061571844
