target,persona,submission_order,best_cv_mae_so_far,best_public_mae_so_far,private_of_cv_best_so_far,private_of_public_best_so_far,if_ended_today_selected,if_ended_today_private_mae,best_private_mae_so_far
TmApp,A_CV_FIRST,1,3.544381313131313,3.7839506172839505,3.771604938271605,3.771604938271605,TmApp_A_CV_FIRST_S01,3.771604938271605,3.771604938271605
TmApp,A_CV_FIRST,2,3.544381313131313,3.5762688250328276,3.771604938271605,3.653053588136578,TmApp_A_CV_FIRST_S01,3.771604938271605,3.653053588136578
TmApp,A_CV_FIRST,3,3.2267017166911938,3.5762688250328276,3.578850739299944,3.653053588136578,TmApp_A_CV_FIRST_S03,3.578850739299944,3.578850739299944
TmApp,A_CV_FIRST,4,3.2267017166911938,3.5762688250328276,3.578850739299944,3.653053588136578,TmApp_A_CV_FIRST_S03,3.578850739299944,3.394606791718048
TmApp,A_CV_FIRST,5,3.2267017166911938,3.5249414977478475,3.578850739299944,3.5028792565811013,TmApp_A_CV_FIRST_S03,3.578850739299944,3.394606791718048
TmApp,A_CV_FIRST,6,3.2267017166911938,3.5249414977478475,3.578850739299944,3.5028792565811013,TmApp_A_CV_FIRST_S03,3.578850739299944,3.394606791718048
TmApp,A_CV_FIRST,7,3.0948278772753293,3.5249414977478475,3.5278364618396725,3.5028792565811013,TmApp_A_CV_FIRST_S07,3.5278364618396725,3.394606791718048
TmApp,A_CV_FIRST,8,2.736083958345015,3.4648764347285614,3.3517733714767,3.3517733714767,TmApp_A_CV_FIRST_S08,3.3517733714767,3.3517733714767
TmApp,A_CV_FIRST,9,2.736083958345015,3.464876434728561,3.3517733714767,3.3517733714767,TmApp_A_CV_FIRST_S08,3.3517733714767,3.3517733714767
TmApp,B_BALANCED,1,3.544381313131313,3.7839506172839505,3.771604938271605,3.771604938271605,TmApp_B_BALANCED_S01,3.771604938271605,3.771604938271605
TmApp,B_BALANCED,2,3.544381313131313,3.5762688250328276,3.771604938271605,3.653053588136578,TmApp_B_BALANCED_S02,3.653053588136578,3.653053588136578
TmApp,B_BALANCED,3,3.2267017166911938,3.5762688250328276,3.578850739299944,3.653053588136578,TmApp_B_BALANCED_S03,3.578850739299944,3.578850739299944
TmApp,B_BALANCED,4,3.2267017166911938,3.5762688250328276,3.578850739299944,3.653053588136578,TmApp_B_BALANCED_S04,3.394606791718048,3.394606791718048
TmApp,B_BALANCED,5,3.2267017166911938,3.5249414977478475,3.578850739299944,3.5028792565811013,TmApp_B_BALANCED_S05,3.5028792565811013,3.394606791718048
TmApp,B_BALANCED,6,3.156706072962881,3.5249414977478475,3.5025905286206678,3.5028792565811013,TmApp_B_BALANCED_S06,3.5025905286206678,3.394606791718048
TmApp,B_BALANCED,7,3.156706072962881,3.494887249363428,3.5025905286206678,3.4727383630152437,TmApp_B_BALANCED_S07,3.4727383630152437,3.394606791718048
TmApp,B_BALANCED,8,3.156706072962881,3.494887249363428,3.5025905286206678,3.4727383630152437,TmApp_B_BALANCED_S07,3.4727383630152437,3.394606791718048
TmApp,C_PUBLIC_DRIVEN,1,3.544381313131313,3.7839506172839505,3.771604938271605,3.771604938271605,TmApp_C_PUBLIC_DRIVEN_S01,3.771604938271605,3.771604938271605
TmApp,C_PUBLIC_DRIVEN,2,3.544381313131313,3.5762688250328276,3.771604938271605,3.653053588136578,TmApp_C_PUBLIC_DRIVEN_S02,3.653053588136578,3.653053588136578
TmApp,C_PUBLIC_DRIVEN,3,3.2267017166911938,3.5762688250328276,3.578850739299944,3.653053588136578,TmApp_C_PUBLIC_DRIVEN_S02,3.653053588136578,3.578850739299944
TmApp,C_PUBLIC_DRIVEN,4,3.2267017166911938,3.5762688250328276,3.578850739299944,3.653053588136578,TmApp_C_PUBLIC_DRIVEN_S02,3.653053588136578,3.394606791718048
TmApp,C_PUBLIC_DRIVEN,5,3.2267017166911938,3.5249414977478475,3.578850739299944,3.5028792565811013,TmApp_C_PUBLIC_DRIVEN_S05,3.5028792565811013,3.394606791718048
TmApp,C_PUBLIC_DRIVEN,6,3.2267017166911938,3.417763928905745,3.578850739299944,3.492103428488829,TmApp_C_PUBLIC_DRIVEN_S06,3.492103428488829,3.394606791718048
TmApp,C_PUBLIC_DRIVEN,7,3.0948278772753293,3.417763928905745,3.5278364618396725,3.492103428488829,TmApp_C_PUBLIC_DRIVEN_S06,3.492103428488829,3.394606791718048
TmApp,C_PUBLIC_DRIVEN,8,3.0948278772753293,3.417763928905745,3.5278364618396725,3.492103428488829,TmApp_C_PUBLIC_DRIVEN_S06,3.492103428488829,3.394606791718048
TmApp,C_PUBLIC_DRIVEN,9,3.0948278772753293,3.417763928905745,3.5278364618396725,3.492103428488829,TmApp_C_PUBLIC_DRIVEN_S06,3.492103428488829,3.35207567920519
HIC,A_CV_FIRST,1,0.5188811237373737,0.5408271604938271,0.5041234567901235,0.5041234567901235,HIC_A_CV_FIRST_S01,0.5041234567901235,0.5041234567901235
HIC,A_CV_FIRST,2,0.5188811237373737,0.5408271604938271,0.5041234567901235,0.5041234567901235,HIC_A_CV_FIRST_S01,0.5041234567901235,0.5041234567901235
HIC,A_CV_FIRST,3,0.4872309683131382,0.534171606524239,0.46743320302104524,0.46743320302104524,HIC_A_CV_FIRST_S03,0.46743320302104524,0.46743320302104524
HIC,A_CV_FIRST,4,0.47795781488736383,0.5260061809498255,0.4734627182286842,0.4734627182286842,HIC_A_CV_FIRST_S04,0.4734627182286842,0.46743320302104524
HIC,A_CV_FIRST,5,0.47795781488736383,0.5260061809498255,0.4734627182286842,0.4734627182286842,HIC_A_CV_FIRST_S04,0.4734627182286842,0.46743320302104524
HIC,A_CV_FIRST,6,0.47795781488736383,0.513408336546995,0.4734627182286842,0.44367945518073937,HIC_A_CV_FIRST_S04,0.4734627182286842,0.44367945518073937
HIC,A_CV_FIRST,7,0.47795781488736383,0.513408336546995,0.4734627182286842,0.44367945518073937,HIC_A_CV_FIRST_S04,0.4734627182286842,0.44367945518073937
HIC,B_BALANCED,1,0.5188811237373737,0.5408271604938271,0.5041234567901235,0.5041234567901235,HIC_B_BALANCED_S01,0.5041234567901235,0.5041234567901235
HIC,B_BALANCED,2,0.5188811237373737,0.5408271604938271,0.5041234567901235,0.5041234567901235,HIC_B_BALANCED_S01,0.5041234567901235,0.5041234567901235
HIC,B_BALANCED,3,0.4872309683131382,0.534171606524239,0.46743320302104524,0.46743320302104524,HIC_B_BALANCED_S03,0.46743320302104524,0.46743320302104524
HIC,B_BALANCED,4,0.47795781488736383,0.5260061809498255,0.4734627182286842,0.4734627182286842,HIC_B_BALANCED_S04,0.4734627182286842,0.46743320302104524
HIC,B_BALANCED,5,0.47795781488736383,0.5260061809498255,0.4734627182286842,0.4734627182286842,HIC_B_BALANCED_S04,0.4734627182286842,0.46743320302104524
HIC,B_BALANCED,6,0.4732561097708334,0.5159184901375522,0.45826540519197684,0.45826540519197684,HIC_B_BALANCED_S06,0.45826540519197684,0.45826540519197684
HIC,B_BALANCED,7,0.4732561097708334,0.513408336546995,0.45826540519197684,0.44367945518073937,HIC_B_BALANCED_S06,0.45826540519197684,0.44367945518073937
HIC,B_BALANCED,8,0.47265089161251994,0.5091125257852236,0.44938229706119553,0.44938229706119553,HIC_B_BALANCED_S08,0.44938229706119553,0.44367945518073937
HIC,B_BALANCED,9,0.47265089161251994,0.5091125257852236,0.44938229706119553,0.44938229706119553,HIC_B_BALANCED_S08,0.44938229706119553,0.44367945518073937
