target,persona,submission_order,selected_private_mae,best_private_mae_so_far,private_regret
TmApp,A_CV_FIRST,1,3.771604938271605,3.771604938271605,0.0
TmApp,A_CV_FIRST,2,3.771604938271605,3.653053588136578,0.11855135013502682
TmApp,A_CV_FIRST,3,3.578850739299944,3.578850739299944,0.0
TmApp,A_CV_FIRST,4,3.578850739299944,3.394606791718048,0.184243947581896
TmApp,A_CV_FIRST,5,3.578850739299944,3.394606791718048,0.184243947581896
TmApp,A_CV_FIRST,6,3.578850739299944,3.394606791718048,0.184243947581896
TmApp,A_CV_FIRST,7,3.5278364618396725,3.394606791718048,0.13322967012162445
TmApp,A_CV_FIRST,8,3.3517733714767,3.3517733714767,0.0
TmApp,A_CV_FIRST,9,3.3517733714767,3.3517733714767,0.0
TmApp,B_BALANCED,1,3.771604938271605,3.771604938271605,0.0
TmApp,B_BALANCED,2,3.653053588136578,3.653053588136578,0.0
TmApp,B_BALANCED,3,3.578850739299944,3.578850739299944,0.0
TmApp,B_BALANCED,4,3.394606791718048,3.394606791718048,0.0
TmApp,B_BALANCED,5,3.5028792565811013,3.394606791718048,0.10827246486305331
TmApp,B_BALANCED,6,3.5025905286206678,3.394606791718048,0.10798373690261975
TmApp,B_BALANCED,7,3.4727383630152437,3.394606791718048,0.07813157129719572
TmApp,B_BALANCED,8,3.4727383630152437,3.394606791718048,0.07813157129719572
TmApp,C_PUBLIC_DRIVEN,1,3.771604938271605,3.771604938271605,0.0
TmApp,C_PUBLIC_DRIVEN,2,3.653053588136578,3.653053588136578,0.0
TmApp,C_PUBLIC_DRIVEN,3,3.653053588136578,3.578850739299944,0.07420284883663397
TmApp,C_PUBLIC_DRIVEN,4,3.653053588136578,3.394606791718048,0.25844679641852997
TmApp,C_PUBLIC_DRIVEN,5,3.5028792565811013,3.394606791718048,0.10827246486305331
TmApp,C_PUBLIC_DRIVEN,6,3.492103428488829,3.394606791718048,0.09749663677078102
TmApp,C_PUBLIC_DRIVEN,7,3.492103428488829,3.394606791718048,0.09749663677078102
TmApp,C_PUBLIC_DRIVEN,8,3.492103428488829,3.394606791718048,0.09749663677078102
TmApp,C_PUBLIC_DRIVEN,9,3.492103428488829,3.35207567920519,0.14002774928363904
HIC,A_CV_FIRST,1,0.5041234567901235,0.5041234567901235,0.0
HIC,A_CV_FIRST,2,0.5041234567901235,0.5041234567901235,0.0
HIC,A_CV_FIRST,3,0.46743320302104524,0.46743320302104524,0.0
HIC,A_CV_FIRST,4,0.4734627182286842,0.46743320302104524,0.006029515207638947
HIC,A_CV_FIRST,5,0.4734627182286842,0.46743320302104524,0.006029515207638947
HIC,A_CV_FIRST,6,0.4734627182286842,0.44367945518073937,0.02978326304794482
HIC,A_CV_FIRST,7,0.4734627182286842,0.44367945518073937,0.02978326304794482
HIC,B_BALANCED,1,0.5041234567901235,0.5041234567901235,0.0
HIC,B_BALANCED,2,0.5041234567901235,0.5041234567901235,0.0
HIC,B_BALANCED,3,0.46743320302104524,0.46743320302104524,0.0
HIC,B_BALANCED,4,0.4734627182286842,0.46743320302104524,0.006029515207638947
HIC,B_BALANCED,5,0.4734627182286842,0.46743320302104524,0.006029515207638947
HIC,B_BALANCED,6,0.45826540519197684,0.45826540519197684,0.0
HIC,B_BALANCED,7,0.45826540519197684,0.44367945518073937,0.01458595001123747
HIC,B_BALANCED,8,0.44938229706119553,0.44367945518073937,0.0057028418804561665
HIC,B_BALANCED,9,0.44938229706119553,0.44367945518073937,0.0057028418804561665
HIC,C_PUBLIC_DRIVEN,1,0.5041234567901235,0.5041234567901235,0.0
HIC,C_PUBLIC_DRIVEN,2,0.5041234567901235,0.5041234567901235,0.0
HIC,C_PUBLIC_DRIVEN,3,0.46743320302104524,0.46743320302104524,0.0
HIC,C_PUBLIC_DRIVEN,4,0.4734627182286842,0.46743320302104524,0.006029515207638947
HIC,C_PUBLIC_DRIVEN,5,0.4734627182286842,0.46743320302104524,0.006029515207638947
HIC,C_PUBLIC_DRIVEN,6,0.4558586081790777,0.4558586081790777,0.0
HIC,C_PUBLIC_DRIVEN,7,0.4558586081790777,0.4558586081790777,0.0
HIC,C_PUBLIC_DRIVEN,8,0.44367945518073937,0.44367945518073937,0.0
HIC,C_PUBLIC_DRIVEN,9,0.44367945518073937,0.44367945518073937,0.0
