antibody_id,viscosity_cP,n_values_seen,conflict,label_source,condition_note
mAb3,30.81743112,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb15,8.676155498,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb16,8.461479744,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb19,14.06641887,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb29,41.52837007,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb35,9.004238528,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb36,4.59336002,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb37,5.85501493,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb38,5.246524349,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb40,4.269707644,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb44,31.56403862,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb45,14.99627131,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb46,8.406661549,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb47,14.36949594,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb48,7.51856763,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb49,36.4584765,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb50,6.655023353,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb51,11.25612366,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb52,8.863187753,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb53,15.80601448,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb54,9.179957601,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb55,7.998517928,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb56,18.7205202,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb57,21.53953532,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb58,10.31617707,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb59,13.50850883,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb60,12.14847183,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb61,11.9215508,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb62,8.660984952,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb68,15.53895727,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb69,15.29001356,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb70,11.75564588,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb71,17.34177467,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb72,31.40244361,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb73,7.607143459,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb76,8.541835049,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb77,9.326658792,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb78,5.36488133,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb79,5.145107059,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb80,8.482852977,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb81,27.27314731,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb82,25.44219923,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb83,29.86814248,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb84,54.46408526,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb86,30.93618972,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb87,11.52078912,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb88,13.22769832,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb90,34.24078878,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb94,10.31122951,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb98,6.686048981,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb99,6.864522147,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb100,6.696672289,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb101,4.777579396,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb102,10.40362048,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb103,5.368881773,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb104,11.59254738,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb105,32.42505869,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb106,134.6453325,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb108,21.47469317,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb110,10.18966616,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb111,14.95755154,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb112,12.30237102,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb113,10.01422384,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb114,124.2433432,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb115,9.69082,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb116,27.00670546,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb117,24.83144305,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb118,58.53092967,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb119,87.25116915,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb120,1039.877321,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb121,329.9824936,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb122,12.11161828,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb123,53.4667378,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb124,95.74383907,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb125,44.33817834,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb126,18.79497675,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb129,20.4154715,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
