generator,feature,confound,spearman
esmfold,log_lambda_1,n_CA,-0.08157955090186707
esmfold,log_lambda_1,n_edges,0.17158147432690876
esmfold,log_lambda_1,mean_degree,0.6682231829076122
esmfold,log_lambda_1,structure_confidence,0.03507113686680251
esmfold,log_lambda_2,n_CA,-0.22643269978964028
esmfold,log_lambda_2,n_edges,-0.015706038757833458
esmfold,log_lambda_2,mean_degree,0.5270189932620504
esmfold,log_lambda_2,structure_confidence,0.05743342771206549
esmfold,log_lambda_3,n_CA,-0.0682115705637701
esmfold,log_lambda_3,n_edges,0.11731624688724304
esmfold,log_lambda_3,mean_degree,0.5062482337044496
esmfold,log_lambda_3,structure_confidence,-0.016076843692942766
esmfold,log_lambda_5,n_CA,-0.6118967630164944
esmfold,log_lambda_5,n_edges,-0.34447668061942033
esmfold,log_lambda_5,mean_degree,0.5391300067993434
esmfold,log_lambda_5,structure_confidence,0.2658622423328306
esmfold,log_lambda_10,n_CA,-0.5886287886678588
esmfold,log_lambda_10,n_edges,-0.33109961855151415
esmfold,log_lambda_10,mean_degree,0.5275715065447736
esmfold,log_lambda_10,structure_confidence,0.2094519859225742
esmfold,log_lambda_20,n_CA,-0.5854164982524793
esmfold,log_lambda_20,n_edges,-0.3138595106151011
esmfold,log_lambda_20,mean_degree,0.5531250694616318
esmfold,log_lambda_20,structure_confidence,0.2600068799449605
esmfold,log_gmean_lambda_1_3,n_CA,-0.14320191207731328
esmfold,log_gmean_lambda_1_3,n_edges,0.10648161869717601
esmfold,log_gmean_lambda_1_3,mean_degree,0.6546142797523103
esmfold,log_gmean_lambda_1_3,structure_confidence,0.03850440581090736
esmfold,log_gmean_lambda_1_5,n_CA,-0.4737707507725772
esmfold,log_gmean_lambda_1_5,n_edges,-0.19726566635967538
esmfold,log_gmean_lambda_1_5,mean_degree,0.6173801414877647
esmfold,log_gmean_lambda_1_5,structure_confidence,0.19904104151782173
esmfold,log_gmean_lambda_1_10,n_CA,-0.5415542163547535
esmfold,log_gmean_lambda_1_10,n_edges,-0.26002737193272757
esmfold,log_gmean_lambda_1_10,mean_degree,0.6047769465779307
esmfold,log_gmean_lambda_1_10,structure_confidence,0.23421872932708848
esmfold,log_gmean_lambda_1_20,n_CA,-0.5669618314622844
esmfold,log_gmean_lambda_1_20,n_edges,-0.2881559133834334
esmfold,log_gmean_lambda_1_20,mean_degree,0.588506383010838
esmfold,log_gmean_lambda_1_20,structure_confidence,0.2371961578153529
esmfold,log_softness_1_5,n_CA,0.367957557903535
esmfold,log_softness_1_5,n_edges,0.08995068257514773
esmfold,log_softness_1_5,mean_degree,-0.6560809449606633
esmfold,log_softness_1_5,structure_confidence,-0.14867561059511525
esmfold,log_softness_1_10,n_CA,0.4553496816471914
esmfold,log_softness_1_10,n_edges,0.16989904358218547
esmfold,log_softness_1_10,mean_degree,-0.6456405255445035
esmfold,log_softness_1_10,structure_confidence,-0.1918922494773888
esmfold,log_softness_1_20,n_CA,0.5006441082148589
esmfold,log_softness_1_20,n_edges,0.2168530977195222
esmfold,log_softness_1_20,mean_degree,-0.6246404341645718
esmfold,log_softness_1_20,structure_confidence,-0.2058835878030925
esmfold,softness_fraction_first5,n_CA,-0.24069685362906632
esmfold,softness_fraction_first5,n_edges,-0.26404707067963584
esmfold,softness_fraction_first5,mean_degree,-0.18638097096289594
esmfold,softness_fraction_first5,structure_confidence,0.019257495170807867
esmfold,spectral_slope_1_20,n_CA,-0.16693459517920317
esmfold,spectral_slope_1_20,n_edges,-0.22977872429662968
esmfold,spectral_slope_1_20,mean_degree,-0.2792728840525785
esmfold,spectral_slope_1_20,structure_confidence,-0.030437934958058802
esmfold,lambda2_over_lambda1,n_CA,-0.26716969154086057
esmfold,lambda2_over_lambda1,n_edges,-0.2863037753537752
esmfold,lambda2_over_lambda1,mean_degree,-0.11414620997421329
esmfold,lambda2_over_lambda1,structure_confidence,0.15909890361902745
esmfold,lambda5_over_lambda1,n_CA,-0.5324886822401841
esmfold,lambda5_over_lambda1,n_edges,-0.47886456303443525
esmfold,lambda5_over_lambda1,mean_degree,-0.023512156879925163
esmfold,lambda5_over_lambda1,structure_confidence,0.23738138710274936
esmfold,collectivity_mode1,n_CA,-0.6433211894018911
esmfold,collectivity_mode1,n_edges,-0.6317113762877499
esmfold,collectivity_mode1,mean_degree,-0.12148994415252998
esmfold,collectivity_mode1,structure_confidence,0.30159949899887983
esmfold,collectivity_mean_modes1_5,n_CA,-0.6333697379152501
esmfold,collectivity_mean_modes1_5,n_edges,-0.4418020444205732
esmfold,collectivity_mean_modes1_5,mean_degree,0.3241732323194568
esmfold,collectivity_mean_modes1_5,structure_confidence,0.27374030853907017
esmfold,collectivity_mean_modes1_10,n_CA,-0.5886192398578605
esmfold,collectivity_mean_modes1_10,n_edges,-0.4103853802215297
esmfold,collectivity_mean_modes1_10,mean_degree,0.32111676835506864
esmfold,collectivity_mean_modes1_10,structure_confidence,0.17250385894348744
abodybuilder2,log_lambda_1,n_CA,-0.07052698015856153
abodybuilder2,log_lambda_1,n_edges,0.19582425113033378
abodybuilder2,log_lambda_1,mean_degree,0.6588853516861001
abodybuilder2,log_lambda_1,structure_confidence,-0.017692395896730266
abodybuilder2,log_lambda_2,n_CA,-0.3523733694967409
abodybuilder2,log_lambda_2,n_edges,-0.12521883757338811
abodybuilder2,log_lambda_2,mean_degree,0.5151438921197469
abodybuilder2,log_lambda_2,structure_confidence,-0.35468056768366374
abodybuilder2,log_lambda_3,n_CA,-0.3425395098369318
abodybuilder2,log_lambda_3,n_edges,-0.09721186299532808
abodybuilder2,log_lambda_3,mean_degree,0.5231641834710761
abodybuilder2,log_lambda_3,structure_confidence,-0.3656083900046749
abodybuilder2,log_lambda_5,n_CA,-0.6970445627509029
abodybuilder2,log_lambda_5,n_edges,-0.43619028233272467
abodybuilder2,log_lambda_5,mean_degree,0.476367801563227
abodybuilder2,log_lambda_5,structure_confidence,-0.509737591842855
abodybuilder2,log_lambda_10,n_CA,-0.6836986861396539
abodybuilder2,log_lambda_10,n_edges,-0.41530501072591874
abodybuilder2,log_lambda_10,mean_degree,0.500728042906129
abodybuilder2,log_lambda_10,structure_confidence,-0.49825161193582257
abodybuilder2,log_lambda_20,n_CA,-0.704338262121329
abodybuilder2,log_lambda_20,n_edges,-0.4320467460585406
abodybuilder2,log_lambda_20,mean_degree,0.5080324636278679
abodybuilder2,log_lambda_20,structure_confidence,-0.5398879803833364
abodybuilder2,log_gmean_lambda_1_3,n_CA,-0.2630164896810113
abodybuilder2,log_gmean_lambda_1_3,n_edges,0.01241614313903389
abodybuilder2,log_gmean_lambda_1_3,mean_degree,0.6346002608824305
abodybuilder2,log_gmean_lambda_1_3,structure_confidence,-0.22268194367265576
abodybuilder2,log_gmean_lambda_1_5,n_CA,-0.5911710709150192
abodybuilder2,log_gmean_lambda_1_5,n_edges,-0.30666261158933716
abodybuilder2,log_gmean_lambda_1_5,mean_degree,0.5692351686246436
abodybuilder2,log_gmean_lambda_1_5,structure_confidence,-0.4604186181895161
abodybuilder2,log_gmean_lambda_1_10,n_CA,-0.6380002034452034
abodybuilder2,log_gmean_lambda_1_10,n_edges,-0.35026835609128104
abodybuilder2,log_gmean_lambda_1_10,mean_degree,0.563710898352189
abodybuilder2,log_gmean_lambda_1_10,structure_confidence,-0.4808361779259613
abodybuilder2,log_gmean_lambda_1_20,n_CA,-0.6846468476065298
abodybuilder2,log_gmean_lambda_1_20,n_edges,-0.40259126261010736
abodybuilder2,log_gmean_lambda_1_20,mean_degree,0.534206726085624
abodybuilder2,log_gmean_lambda_1_20,structure_confidence,-0.5200652712727016
abodybuilder2,log_softness_1_5,n_CA,0.48349055520185014
abodybuilder2,log_softness_1_5,n_edges,0.190799543036942
abodybuilder2,log_softness_1_5,mean_degree,-0.6200551033466121
abodybuilder2,log_softness_1_5,structure_confidence,0.3770809628394768
abodybuilder2,log_softness_1_10,n_CA,0.5584952199303909
abodybuilder2,log_softness_1_10,n_edges,0.26181211266170173
abodybuilder2,log_softness_1_10,mean_degree,-0.6052661475825794
abodybuilder2,log_softness_1_10,structure_confidence,0.4227772044490311
abodybuilder2,log_softness_1_20,n_CA,0.6070730224989815
abodybuilder2,log_softness_1_20,n_edges,0.31234003954880873
abodybuilder2,log_softness_1_20,mean_degree,-0.5868480911305397
abodybuilder2,log_softness_1_20,structure_confidence,0.4621527171372373
abodybuilder2,softness_fraction_first5,n_CA,-0.25484925102554845
abodybuilder2,softness_fraction_first5,n_edges,-0.27455479214455014
abodybuilder2,softness_fraction_first5,mean_degree,-0.15211245343410076
abodybuilder2,softness_fraction_first5,structure_confidence,-0.016810704488723068
abodybuilder2,spectral_slope_1_20,n_CA,-0.17172880511764713
abodybuilder2,spectral_slope_1_20,n_edges,-0.2407080916943717
abodybuilder2,spectral_slope_1_20,mean_degree,-0.24938759367219157
abodybuilder2,spectral_slope_1_20,structure_confidence,0.01040635777477883
abodybuilder2,lambda2_over_lambda1,n_CA,-0.2991090463469103
abodybuilder2,lambda2_over_lambda1,n_edges,-0.3959903242455203
abodybuilder2,lambda2_over_lambda1,mean_degree,-0.2780030137869883
abodybuilder2,lambda2_over_lambda1,structure_confidence,-0.30407733763770917
abodybuilder2,lambda5_over_lambda1,n_CA,-0.5570149775508277
abodybuilder2,lambda5_over_lambda1,n_edges,-0.527783638567303
