id,generator,extraction_status,pdb_path,error
ADI-38499,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-38499.pdb,
ADI-37125,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-37125.pdb,
ADI-38500,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-38500.pdb,
ADI-37124,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-37124.pdb,
ADI-37123,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-37123.pdb,
ADI-38498,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-38498.pdb,
ADI-38501,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-38501.pdb,
ADI-38503,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-38503.pdb,
ADI-38502,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-38502.pdb,
ADI-45368,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45368.pdb,
ADI-45370,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45370.pdb,
ADI-45373,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45373.pdb,
ADI-45378,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45378.pdb,
ADI-45379,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45379.pdb,
ADI-45375,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45375.pdb,
ADI-45388,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45388.pdb,
ADI-45382,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45382.pdb,
ADI-45383,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45383.pdb,
ADI-45390,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45390.pdb,
ADI-45391,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45391.pdb,
ADI-45389,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45389.pdb,
ADI-45393,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45393.pdb,
ADI-45397,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45397.pdb,
ADI-45395,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45395.pdb,
ADI-45402,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45402.pdb,
ADI-45404,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45404.pdb,
ADI-45407,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45407.pdb,
ADI-45408,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45408.pdb,
ADI-45405,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45405.pdb,
ADI-45406,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45406.pdb,
ADI-45409,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45409.pdb,
ADI-45410,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45410.pdb,
ADI-45411,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45411.pdb,
ADI-45422,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45422.pdb,
ADI-45425,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45425.pdb,
ADI-45428,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45428.pdb,
ADI-45433,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45433.pdb,
ADI-45429,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45429.pdb,
ADI-45438,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45438.pdb,
ADI-45430,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45430.pdb,
ADI-45435,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45435.pdb,
ADI-45439,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-45439.pdb,
