feature,pair,n,pearson,spearman,top20_jaccard,bottom20_jaccard
corr_H_absPhi,esmfold_vs_abodybuilder2,324,0.3910557092779371,0.3906436276714915,0.25,0.23809523809523808
corr_H_absPhi,esmfold_vs_boltz2,324,0.3554656416310274,0.3478980004057404,0.21495327102803738,0.23809523809523808
corr_H_absPhi,abodybuilder2_vs_boltz2,324,0.2783924217520184,0.28177149762289083,0.2037037037037037,0.17117117117117117
corr_H_phi,esmfold_vs_abodybuilder2,324,0.4213241440927928,0.4001513587891297,0.2621359223300971,0.23809523809523808
corr_H_phi,esmfold_vs_boltz2,324,0.4707396973036806,0.4762160302717579,0.31313131313131315,0.2871287128712871
corr_H_phi,abodybuilder2_vs_boltz2,324,0.47545888601911046,0.458114365854304,0.31313131313131315,0.23809523809523808
area_frac_highH_highAbsPhi,esmfold_vs_abodybuilder2,324,0.43208489863994487,0.4217007576759899,0.21495327102803738,0.25
area_frac_highH_highAbsPhi,esmfold_vs_boltz2,324,0.42061234270191195,0.3713621408977447,0.31313131313131315,0.25
area_frac_highH_highAbsPhi,abodybuilder2_vs_boltz2,324,0.4258752657702218,0.40301376871036326,0.3,0.2037037037037037
area_frac_highH_positivePhi,esmfold_vs_abodybuilder2,324,0.8351638948096538,0.8276316230495798,0.5116279069767442,0.4606741573033708
area_frac_highH_positivePhi,esmfold_vs_boltz2,324,0.834268057848903,0.8327121977895973,0.5116279069767442,0.5294117647058824
area_frac_highH_positivePhi,abodybuilder2_vs_boltz2,324,0.8507837207334635,0.8566819260317714,0.4942528735632184,0.4942528735632184
area_frac_highH_negativePhi,esmfold_vs_abodybuilder2,324,0.8336075640385802,0.8270134864562111,0.4772727272727273,0.5476190476190477
area_frac_highH_negativePhi,esmfold_vs_boltz2,324,0.8342103658323037,0.8352164977551975,0.5116279069767442,0.4942528735632184
area_frac_highH_negativePhi,abodybuilder2_vs_boltz2,324,0.848140776986867,0.8539602903689592,0.5294117647058824,0.4772727272727273
largest_highH_highAbsPhi_patch_area_fraction,esmfold_vs_abodybuilder2,324,0.01670550976384462,0.04743422155186862,0.1016949152542373,0.14035087719298245
largest_highH_highAbsPhi_patch_area_fraction,esmfold_vs_boltz2,324,0.07133677648358015,0.08521640955077488,0.14035087719298245,0.1926605504587156
largest_highH_highAbsPhi_patch_area_fraction,abodybuilder2_vs_boltz2,324,-0.06190755674087988,-0.004486782567277924,0.0743801652892562,0.17117117117117117
largest_highH_positivePhi_patch_area_fraction,esmfold_vs_abodybuilder2,324,0.05027471222289187,0.1362726575110476,0.09243697478991597,0.25
largest_highH_positivePhi_patch_area_fraction,esmfold_vs_boltz2,324,0.17284384272560457,0.15031303749570007,0.1016949152542373,0.1926605504587156
largest_highH_positivePhi_patch_area_fraction,abodybuilder2_vs_boltz2,324,0.10748526303029579,0.16795109946812736,0.1111111111111111,0.17117117117117117
largest_highH_negativePhi_patch_area_fraction,esmfold_vs_abodybuilder2,324,0.014013501376125639,0.06809416704153547,0.08333333333333333,0.16071428571428573
largest_highH_negativePhi_patch_area_fraction,esmfold_vs_boltz2,324,0.08275308968123794,0.10390939641713638,0.1111111111111111,0.14035087719298245
largest_highH_negativePhi_patch_area_fraction,abodybuilder2_vs_boltz2,324,-0.07365845632787481,-0.04036022686177486,0.0743801652892562,0.1504424778761062
CDR_area_frac_highH_highAbsPhi,esmfold_vs_abodybuilder2,324,0.32215495370382463,0.3187915994107945,0.17117117117117117,0.23809523809523808
CDR_area_frac_highH_highAbsPhi,esmfold_vs_boltz2,324,0.4037588658046523,0.4010764467730413,0.22641509433962265,0.3
CDR_area_frac_highH_highAbsPhi,abodybuilder2_vs_boltz2,324,0.3511421935748716,0.28828415936775076,0.2037037037037037,0.2037037037037037
