split,k,n_tr,n_va,n_te,tr_hash,va_hash,te_hash
Primary,0,97,33,32,32e42af20ef05779,9bfe384a08ccf32c,9ffea2815a0560c9
Primary,1,96,33,33,6d4a67b9e6d76999,abc47f70393be72d,9bfe384a08ccf32c
Primary,2,97,32,33,ef334c85cfacf4e6,7bd8aed57d319a7d,abc47f70393be72d
Primary,3,98,32,32,21a4307d6ab30566,92a6b6d494a148af,7bd8aed57d319a7d
Primary,4,98,32,32,dc7c6c57be3483a9,9ffea2815a0560c9,92a6b6d494a148af
Shadow,0,97,33,32,4e7b0c371d724f0a,b5f970b952370d50,44c2c9f5fa9beee6
Shadow,1,97,32,33,aec4cddda0f35d47,0c7da1c7a8a6856a,b5f970b952370d50
Shadow,2,98,32,32,4838043524cbeaf9,aac1832695650387,0c7da1c7a8a6856a
Shadow,3,97,33,32,275132f49aae55d8,f56e9d4fff0ead3a,aac1832695650387
Shadow,4,97,32,33,40c1f03ebfa05351,44c2c9f5fa9beee6,f56e9d4fff0ead3a
