feature,spearman,pearson,n
VH_ca_rmsd_median,0.9328031789782274,0.9437147291855881,291
VL_ca_rmsd_median,0.9244315434198553,0.9632771269747958,307
mean_ca_rmsd_median,0.8896278629503942,0.9426742628055621,322
max_ca_rmsd_q90,0.6943932602019186,0.8930324389255202,322
VH_ca_rmsf_mean,0.5115000594987762,0.4107190138673019,324
VL_ca_rmsf_mean,0.7394215015621431,0.7093673812403996,324
mean_ca_rmsf_mean,0.5591130656428859,0.6497634538968682,324
absdiff_ca_rmsf_mean,0.46098881223826066,0.3503875678006032,324
mean_ca_rmsf_q90,0.5718713072663978,0.6329951883038806,324
max_ca_rmsf_q90,0.6326341044723287,0.8050949381558713,324
VH_rg_mean,0.7866832490981099,0.7460068013635556,324
VL_rg_mean,0.8101734980991948,0.8027812803895257,324
absdiff_rg_mean,0.6550529667557533,0.6716165628821157,324
mean_rg_sd,0.533183256435243,0.5720421850279142,324
