family,generator,mode,split,MAE,Pearson,Spearman,delta_vs_ref,boot_lo,boot_hi,p_improve,ref,n_features,n
NEW_COMBINED,reassess,PLM_PLUS,CV,3.02560513814299,0.4800580810181395,0.4645863197331198,-0.002907595097929594,-0.14633187373105,0.13867301003138605,0.5225,PLM_ONLY,30,162
NEW_COMBINED,reassess,PLM_PLUS,Public,3.3399737451340155,0.5106463989085357,0.5009382074720788,-0.1101493674952585,-0.26562964678088835,0.045739747589742884,0.9195,PLM_ONLY,30,81
NEW_COMBINED,reassess,PLM_PLUS,Private,3.3371562204464307,0.5078487375818459,0.5481827367344552,0.06606760340722273,-0.07485376552432078,0.2056560361202511,0.1811,PLM_ONLY,30,81
NEW_COMBINED,reassess_SHADOW,PLM_PLUS,Shadow,2.9343314990772833,0.5336618936130936,0.5385268024984434,-0.0966138226315385,-0.23584835080678712,0.04178482517160631,0.9125,PLM_ONLY,30,162
NEW_CONTACT,reassess,PLM_PLUS,CV,2.9973065350325165,0.5056267106339434,0.4995315781754822,-0.03120619820840309,-0.1663104071587901,0.10375709389459276,0.6738,PLM_ONLY,15,162
NEW_CONTACT,reassess,PLM_PLUS,Public,3.355296782993911,0.5239937484137288,0.5239706286075125,-0.09482632963536286,-0.26797683035567077,0.07899118029787876,0.8539,PLM_ONLY,15,81
NEW_CONTACT,reassess,PLM_PLUS,Private,3.3297586915193493,0.516836665987391,0.5780073507445093,0.05867007448014139,-0.10784763638092791,0.23278235663053373,0.2457,PLM_ONLY,15,81
NEW_CONTACT,reassess_SHADOW,PLM_PLUS,Shadow,2.9484509616036,0.5286286619982199,0.5247919513449513,-0.08249436010522171,-0.22360645404875346,0.06332137845239084,0.8629,PLM_ONLY,15,162
NEW_FLEX,reassess,PLM_PLUS,CV,3.008878016542566,0.5147678281588114,0.500083910459861,-0.019634716698353483,-0.12774694802146105,0.08848396108247937,0.6409,PLM_ONLY,15,162
NEW_FLEX,reassess,PLM_PLUS,Public,3.308849985173935,0.4979189827551579,0.5096290474392764,-0.14127312745533915,-0.27782252221457954,-0.00625313430389714,0.9796,PLM_ONLY,15,81
NEW_FLEX,reassess,PLM_PLUS,Private,3.262149650805866,0.523581710582954,0.5408226822535814,-0.008938966233341894,-0.13740340276026508,0.12207578874621995,0.5514,PLM_ONLY,15,81
NEW_FLEX,reassess_SHADOW,PLM_PLUS,Shadow,3.012165896860834,0.5151148884216353,0.5435825499301362,-0.01877942484798778,-0.11459393281993431,0.07506645478969493,0.6518,PLM_ONLY,15,162
NEW_PAIRWISE,reassess,PLM_PLUS,CV,2.9866901482239667,0.516022692598583,0.505860091305961,-0.04182258501695291,-0.11847657487190938,0.03511024822990479,0.8564,PLM_ONLY,6,162
NEW_PAIRWISE,reassess,PLM_PLUS,Public,3.30802150075785,0.5041424536646973,0.5099906948761429,-0.142101611871424,-0.26768859245660015,-0.01744363379949497,0.9868,PLM_ONLY,6,81
NEW_PAIRWISE,reassess,PLM_PLUS,Private,3.2680825755839127,0.5243794779191429,0.5534964473427665,-0.003006041455295261,-0.1309673334391156,0.12920214222400445,0.5145,PLM_ONLY,6,81
NEW_PAIRWISE,reassess_SHADOW,PLM_PLUS,Shadow,2.991701353742018,0.5241003481266158,0.538539516029286,-0.03924396796680396,-0.12325833410237891,0.044153502961268305,0.8211,PLM_ONLY,6,162
NEW_SHAPE,reassess,PLM_PLUS,CV,3.047540858355296,0.4914713939662422,0.46368789688691797,0.019028125114376238,-0.10172721148307654,0.13807121727611107,0.3767,PLM_ONLY,6,162
NEW_SHAPE,reassess,PLM_PLUS,Public,3.4295512763625,0.47516551806051266,0.45203669311829014,-0.020571836266773946,-0.12880956444299896,0.08329402455271986,0.6534,PLM_ONLY,6,81
NEW_SHAPE,reassess,PLM_PLUS,Private,3.3491945020901315,0.4773855276741897,0.5538808434293253,0.07810588505092353,-0.04339006580217928,0.20142601098207505,0.1069,PLM_ONLY,6,81
NEW_SHAPE,reassess_SHADOW,PLM_PLUS,Shadow,3.0119204607447965,0.5196205813865327,0.5313535458742088,-0.019024860964025336,-0.16811821473446148,0.1289530104612062,0.5944,PLM_ONLY,6,162
OLD_BIOEMU,reassess,PLM_PLUS,CV,3.0881196073103374,0.4699718174108028,0.4674454515581397,0.05960687406941778,-0.0764757757245004,0.19269935387363724,0.1916,PLM_ONLY,25,162
OLD_BIOEMU,reassess,PLM_PLUS,Public,3.412224893521893,0.4347755233888548,0.47725030035732474,-0.03789821910738089,-0.18786074993449234,0.11507488285778696,0.6848,PLM_ONLY,25,81
OLD_BIOEMU,reassess,PLM_PLUS,Private,3.3202566997643816,0.518969720242129,0.563106349506734,0.0491680827251737,-0.11575081492765787,0.2194486706033783,0.2838,PLM_ONLY,25,81
OLD_BIOEMU,reassess_SHADOW,PLM_PLUS,Shadow,3.0681358350498593,0.4822828558093509,0.4832596713116463,0.03719051334103751,-0.10161572105517244,0.1720578306498409,0.2873,PLM_ONLY,25,162
NEW_VS_OLD,reassess,INCREMENTAL_OLD_BIOEMU,CV,3.46312238555191,0.015361765210898382,0.0854886066139093,-0.0012036007714693042,-0.14224287621029313,0.138128661331779,0.4947,OLD_BIOEMU,30,162
