family,generator,mode,split,MAE,Pearson,Spearman,delta_vs_ref,boot_lo,boot_hi,p_improve,ref,n_features,n
NEW_COMBINED,reassess,RESIDUAL_RECON,CV,3.0477706285403428,0.46789780122713925,0.4602199281959971,0.019257895299423122,-0.10891153181828801,0.15396805698440133,0.3912,PLM_ONLY,30,162
NEW_COMBINED,reassess_SHADOW,RESIDUAL_RECON,Shadow,3.025555460041819,0.48131767225420047,0.4980229058488413,-0.005389861667002727,-0.15150708810066751,0.13929987327721596,0.5233,PLM_ONLY,30,162
NEW_CONTACT,reassess,RESIDUAL_RECON,CV,2.9813948175670206,0.5042579378871723,0.4969846341633722,-0.047117915673899,-0.17842993327120635,0.08603120860072593,0.7586,PLM_ONLY,15,162
NEW_CONTACT,reassess_SHADOW,RESIDUAL_RECON,Shadow,3.0090914335030545,0.5061300894571261,0.5161990171099731,-0.02185388820576728,-0.16544755748684453,0.12318925323984366,0.6173,PLM_ONLY,15,162
NEW_FLEX,reassess,RESIDUAL_RECON,CV,3.032970737435169,0.4931551156802954,0.4893367390543516,0.004458004194249465,-0.11015126357400715,0.11746307433649836,0.4715,PLM_ONLY,15,162
NEW_FLEX,reassess_SHADOW,RESIDUAL_RECON,Shadow,2.99244735761209,0.5232598956711936,0.5501427318448556,-0.038497964096731785,-0.12686173199369724,0.05035829697562817,0.8107,PLM_ONLY,15,162
NEW_PAIRWISE,reassess,RESIDUAL_RECON,CV,3.010333593215983,0.5050339262130655,0.49518778847096834,-0.01817914002493648,-0.09820050954051833,0.06370775928122993,0.6796,PLM_ONLY,6,162
NEW_PAIRWISE,reassess_SHADOW,RESIDUAL_RECON,Shadow,2.9670272508831523,0.5071017384197452,0.5273685602623605,-0.06391807082566947,-0.19256627488739214,0.0674531691346769,0.8358,PLM_ONLY,6,162
NEW_SHAPE,reassess,RESIDUAL_RECON,CV,3.0500237401056745,0.48516467499381666,0.4623995924282133,0.021511006864754822,-0.07472949690538654,0.11797043060755472,0.3297,PLM_ONLY,6,162
NEW_SHAPE,reassess_SHADOW,RESIDUAL_RECON,Shadow,3.0260290893665616,0.5066149831786143,0.5140857457610453,-0.0049162323422602405,-0.11204358604384418,0.10410647861148732,0.5383,PLM_ONLY,6,162
OLD_BIOEMU,reassess,RESIDUAL_RECON,CV,3.1001967065857636,0.46416054723973743,0.46231907339954426,0.071683973344844,-0.04832554136991356,0.19475106180710658,0.1258,PLM_ONLY,25,162
OLD_BIOEMU,reassess_SHADOW,RESIDUAL_RECON,Shadow,3.1216168816353624,0.4800005673930112,0.500689922096686,0.09067155992654063,-0.02400448398821344,0.20856939938078786,0.063,PLM_ONLY,25,162
