id,chain,n_pass,n_fail,rg_pass,rg_fail,d_rg,gap_pass,gap_fail,break_pass,break_fail
ADI-45448,VH,122,6,1.3723325825144836,1.381778956641097,0.00944637412661331,4.192374229431152,4.229641914367676,0.0,0.0
ADI-45448,VL,125,3,1.3510771490083335,1.337241399377552,-0.013835749630781491,4.184763908386231,4.208916187286377,0.0,0.0
ADI-45469,VH,118,10,1.4040620615858277,1.3900109095260342,-0.01405115205979346,4.2014594078063965,4.237607002258301,0.0,0.0
ADI-45469,VL,121,7,1.3217134023838746,1.3156151679044352,-0.006098234479439357,4.185492992401123,4.238811016082764,0.0,0.1428571428571428
ADI-47085,VH,116,12,1.3802242591083034,1.3797279990475275,-0.0004962600607758549,4.195847034454346,4.291367053985596,0.0,0.1666666666666666
ADI-47085,VL,125,3,1.3108824519130071,1.3146373839224934,0.0037549320094862892,4.194129467010498,4.19307279586792,0.0,0.0
ADI-47135,VH,119,9,1.456360232115941,1.4832959289892846,0.02693569687334363,4.19874382019043,4.6877760887146,0.0,0.2222222222222222
ADI-47143,VH,123,5,1.526987385254568,1.482286854409277,-0.0447005308452908,4.201486110687256,4.182915210723877,0.0,0.0
ADI-47148,VH,126,2,1.4121518452202677,1.391402380524955,-0.020749464695312803,4.212318420410156,4.163536071777344,0.0,0.0
ADI-47219,VL,126,2,1.3488779259503565,1.3378957428852356,-0.010982183065120887,4.192959785461426,4.285094261169434,0.0,0.0
ADI-47233,VH,120,8,1.4490273168338386,1.4755862331493246,0.026558916315486014,4.202950477600098,4.177420616149902,0.0,0.0
ADI-47233,VL,121,7,1.3066942279540044,1.311320057206699,0.004625829252694613,4.1861491203308105,4.199526309967041,0.0,0.0
ADI-47246,VH,125,3,1.3335984728834276,2.274846982049884,0.9412485091664562,4.183108806610107,138.81297302246094,0.0,0.3333333333333333
ADI-47246,VL,126,2,1.3073457833016218,1.3021556368601948,-0.005190146441427013,4.175545692443848,4.379571914672852,0.0,0.5
ADI-47251,VH,119,9,1.3921873365773836,1.394683337367228,0.002496000789844466,4.193873882293701,4.294551849365234,0.0,0.2222222222222222
ADI-47251,VL,125,3,1.3019711088408636,1.3024079096163648,0.00043680077550112273,4.186375617980957,4.646303176879883,0.0,0.3333333333333333
ADI-47256,VH,126,2,1.384633420858331,1.3827769215671712,-0.00185649929115983,4.200567722320557,4.144569396972656,0.0,0.0
ADI-47256,VL,107,21,1.394059479940089,1.375012971489016,-0.01904650845107292,4.195059299468994,4.192841529846191,0.0,0.0
ADI-47309,VL,126,2,1.2980301059400048,1.2962560564809782,-0.0017740494590265943,4.187408447265625,5.116808891296387,0.0,0.5
