id,VH_CH1_com_distance,VL_CL_com_distance,VH_VL_contacts_8A,CH1_CL_contacts_8A,Fab_Rg,elbow_proxy_angle_deg
ADI-38502,34.202545166015625,37.336483001708984,38,46,24.263328552246094,142.80135857588442
ADI-38501,33.66133499145508,37.454193115234375,39,39,24.13316535949707,142.84427601331083
ADI-47173,35.365013122558594,37.87333679199219,41,47,24.502866744995117,151.47951924379277
ADI-47054,37.30970764160156,34.37171936035156,40,33,24.17418098449707,172.0600910390091
ADI-47278,34.31145477294922,36.83938980102539,40,38,24.063520431518555,149.50871796453058
ADI-47055,33.86024856567383,37.00851058959961,41,38,24.1107177734375,143.03029936356185
ADI-47174,34.884910583496094,37.77346420288086,43,39,24.390422821044922,149.74051167104912
ADI-47056,34.577674865722656,37.58351135253906,39,40,24.377004623413086,144.47740039870368
ADI-47279,37.18830108642578,35.36792755126953,43,32,24.40380859375,164.3802466646118
ADI-47057,35.27177047729492,37.208953857421875,46,38,24.443710327148438,147.6738420641811
ADI-47280,34.267677307128906,37.6871223449707,37,41,24.31439781188965,143.6018986269209
ADI-47058,37.84329605102539,34.191585540771484,36,30,24.31510353088379,173.00860326202616
ADI-47281,35.1120491027832,36.8422737121582,41,31,24.287166595458984,147.72921042227395
ADI-47175,35.12648391723633,37.136165618896484,44,46,24.362085342407227,146.64706728115445
ADI-47282,35.15913772583008,36.31264114379883,53,38,24.1727352142334,153.57070047978675
ADI-47283,35.392826080322266,37.54598617553711,42,50,24.454727172851562,153.1421363775104
ADI-47059,34.22975158691406,37.121307373046875,37,39,24.18458366394043,144.40764434485214
ADI-47060,33.26813888549805,37.29055404663086,42,47,24.00790786743164,141.8019006166005
ADI-47178,34.282684326171875,37.39131164550781,37,47,24.241727828979492,144.65164642429121
ADI-47177,35.430824279785156,36.878318786621094,37,45,24.34766387939453,148.93740314996188
ADI-47284,34.90612030029297,36.81664276123047,38,32,24.267087936401367,149.28904970422363
ADI-47179,34.615135192871094,37.0400390625,37,38,24.23380470275879,146.32537948488616
ADI-47180,34.36949157714844,36.75503158569336,33,41,24.1008243560791,150.70181058665779
ADI-45439,34.32518768310547,37.53843307495117,39,39,24.27242088317871,144.3702605723373
ADI-45368,33.80545425415039,37.463253021240234,36,47,24.17030143737793,141.2537188688793
ADI-47062,33.4242057800293,37.45792007446289,45,46,24.054574966430664,140.82777041475936
ADI-47182,34.205867767333984,36.62999725341797,48,47,24.130435943603516,144.55979495836522
ADI-47063,34.397789001464844,37.34477615356445,34,47,24.31497573852539,143.89142363065332
ADI-47183,33.60158157348633,37.40326690673828,41,47,24.06595230102539,143.73895690592013
ADI-47064,37.30560302734375,35.589622497558594,39,31,24.552040100097656,161.8814348123461
ADI-47066,34.1197395324707,37.77157974243164,44,39,24.331336975097656,144.8528253365462
ADI-45379,33.83442306518555,36.874717712402344,38,47,24.0023136138916,146.94530433067177
ADI-47067,37.819618225097656,34.837303161621094,44,35,24.497041702270508,166.34760153296557
ADI-47068,34.46571731567383,37.952693939208984,37,46,24.403038024902344,148.14669466796545
ADI-47069,35.22522735595703,37.34897232055664,34,38,24.43474006652832,148.99085771206495
ADI-47070,36.59247589111328,36.140193939208984,41,39,24.5319881439209,155.5597177804508
ADI-45442,34.03019714355469,37.35912322998047,44,46,24.20475959777832,144.6223550318715
ADI-47184,34.835365295410156,36.95787048339844,45,38,24.25775718688965,148.89986226791757
ADI-47073,35.84556579589844,36.59315490722656,39,32,24.401718139648438,153.00954060133213
ADI-46682,32.83228302001953,37.279502868652344,32,46,23.921171188354492,141.30424137057767
ADI-47074,33.35649490356445,37.32865524291992,50,41,24.159582138061523,137.30052421008597
ADI-47186,34.370506286621094,37.58726119995117,53,32,24.34075164794922,137.90780980754124
