id,DELTA_GEOM__K_all_bb_mean,DELTA_GEOM__K_all_bb_median,DELTA_GEOM__K_all_bb_q90,DELTA_GEOM__K_all_bb_iqr,DELTA_GEOM__K_all_bb_frac_neg,DELTA_GEOM__K_FW_mean,DELTA_GEOM__K_FW_median,DELTA_GEOM__K_FW_q90,DELTA_GEOM__K_CDR_mean,DELTA_GEOM__K_CDR_median,DELTA_GEOM__K_CDR_q90,DELTA_GEOM__K_HCDR3_mean,DELTA_GEOM__K_HCDR3_median,DELTA_GEOM__K_HCDR3_q90,DELTA_GEOM__K_chi1_mean,DELTA_GEOM__K_chi1_median,DELTA_GEOM__K_chi1_q90
ADI-37123,-0.9617596728549955,0.6010997955343758,-2.038730139854124,0.801466394045832,0.0,-15.253718981933414,-2.454490831765373,-14.371294278234387,-1.4631402535346112,-1.402566189580213,0.08014663940458888,-1.4401349268011074,-0.6010997955343704,-2.7249857397558372,-0.04541642899593157,-0.15628594683894015,0.5914821988058296
ADI-37124,0.5159439911670134,-0.7012830947901065,-0.8565672086364629,0.18784368610450386,0.0,-0.32665321296215666,-1.6279786129056024,0.1402566189580483,-1.8346066676205446,-2.955407328044018,-6.837510174203537,-1.966347706141832,-2.4043991821375084,5.049238282488787,6.94470630440717,-0.04007331970228911,-0.2308223214851992
ADI-37125,0.16655473501263174,0.5009164962786485,-6.496886956734059,-9.580027991329132,0.0,-19.562889175761732,-10.653492042854275,-16.12951118017247,-2.661118886480317,1.527795313649877,-20.312163924099153,2.2262231844111895,-2.2290784084399817,4.027368630080318,-0.8669194828929072,-1.4266101814015855,-3.1329321343251717
ADI-38498,-1.7193958734764578,-3.1307281017415463,-8.61576373599273,1.1145392042199873,0.0,-8.735774979892831,-8.715947035248465,-17.68235231863627,-5.084302437228267,2.780086554346493,-13.299332976198087,-7.524684121015127,-7.517754776149932,-21.759812598344425,-4.881598228400849,-1.442639509282504,-20.11039475939812
ADI-38499,-2.421931259507261,-0.35064154739505327,-13.304342141160888,-0.5635310583134725,0.0,-11.985034053067906,-0.40073319702291954,-22.047338667208408,-4.81085768764861,-2.4094083471002925,-8.16493888934194,0.8578194998771806,4.708615065019288,-5.545145613804621,-5.03120528862274,-0.12422729107710317,-32.51949893840981
ADI-38500,1.4150891019871779,0.07513747444179586,7.744169032467838,0.46334775905775416,0.0,-12.957183818661242,-6.525940113518221,-32.21393987567973,1.8307392976125136,0.200366598511458,7.4035458149984095,-3.4751081929331207,1.3524745399523486,-9.352110985522351,-0.13023828903244272,0.11621262713664571,-1.3232210165696756
ADI-38501,2.135156565387728,-0.4257790218368491,1.3324378801012031,2.892792766009194,0.0,-5.9965476033750384,-2.699939914941911,-18.74429529074699,-1.058366984901184,-0.8265122188597669,3.3912046798064353,4.546386427019954,2.0136843150401624,1.7782535617891995,-0.6899289875411228,0.07613930743435304,-4.327918527847515
ADI-38502,-0.9868054976689393,0.12522912406966213,1.1521079414408888,-1.6154557004986358,0.0,-11.598185490681054,-3.9321944957873836,-4.708615065019302,-4.18920149047365,-4.491217305634354,-4.828835024126164,-6.29822347430995,-3.6817362476480575,-8.179966384230312,-1.814653493852111,-1.6951014234069444,-6.3965032908798225
ADI-38503,4.361730391346313,-0.25045824813932605,-24.600009132244395,-10.456631859816753,0.0,-18.08525019051809,-3.1056822769276113,-122.53419331968273,-1.0581860983886529,-0.12522912406966213,-6.1863187290412895,0.3694259160054969,-2.2541242332539184,0.2604765780648961,0.7052904267603282,-0.4327918527847512,18.904187836359142
ADI-45368,-20.998419524000894,0.551008145906513,9.081616077531876,1.9786201603006575,0.0,-10.93363886962953,-1.4526578392080758,-0.12021995910681937,-44.17811676314248,0.17532077369752663,16.940995904143847,-24.970687339490574,-6.662189400506012,-58.08627690847196,-0.3867075351271154,-0.5490044799213969,0.73334175055194
ADI-45370,0.3994809057822195,-0.45082484665078404,-3.0004898127091053,0.6887601823831346,0.0,-11.995341373279793,-5.359806510181528,-11.571171064036761,-0.6810917401386405,-0.7513747444179728,-2.209041748588831,-3.003022223884738,-3.8069653717177214,-2.5146008113188003,-1.9889724345570814,-1.851387370245881,-4.958672579961588
ADI-45373,-1.5766346720370379,1.7031160873474018,-8.996460273164516,-0.48839358387167664,0.0,-13.227466486476995,-6.361639502738823,-16.51020771734421,-0.9152554693107753,0.27550407295325563,-9.126698562196964,1.5002449063545455,6.634138076714407,3.200856411220556,-0.8355287157927833,0.13224195501756242,-0.3534466797742173
ADI-45375,11.422148406393866,-3.306048875439073,17.46194906027364,2.479536656579306,0.0,-0.6969702037571466,-4.608431765763555,20.73794294593604,-2.2829547604841736,-2.554674131021102,2.2240692434771887,37.410475436768756,-40.9248777459655,91.43729723070433,8.184307660531402,0.032058655761831645,0.18914606899481967
ADI-45378,-2.619793275537326,-0.050091649627866275,3.8420295264572246,-6.336593677924888,0.0,-11.3212912551848,-2.7049490799046954,-6.036043780157712,-10.453478362783372,-15.879052932033124,-5.685402232762641,-1.9358752859515462,-15.002449063545491,0.36566904228341457,-3.296698434175207,-0.040073319702292665,-8.068362188859435
ADI-45379,-5.1068436795607965,-1.202199591068755,-26.363235199145223,4.758706714647161,0.0,-7.7447135069203625,-3.7819195469037936,-12.713260675552064,-11.997882347130563,-0.7012830947901065,-42.993662875596286,-16.122338966703012,-9.79391933524012,-13.569827884188541,-0.8796093674653029,-0.5730484717427728,-2.5422514019133935
ADI-45382,-4.6585234153914215,-0.9016496933015627,-33.335992827343986,8.778561597283286,-0.025,-8.836337305964069,-1.527795313649877,-26.107767786043027,-8.13050088022279,-0.1753207736975284,-37.01772907499205,-21.456575966642674,-12.25642483094595,-70.84962923365191,-1.2369298014774035,-1.8433727063054217,-0.4616446429704055
ADI-45383,-1.4639284603743477,5.35980651018153,-21.36408856628431,-4.746183802240182,0.0,-14.222728979131581,-0.8766038684876296,-24.043991821375073,-2.4337911941985695,-1.3524745399523486,-14.992430733619898,-9.048221644446645,1.1020162918130225,-15.328044786126618,-1.537479699244594,-2.68491242005355,-4.0321774284446
ADI-45388,-1.740684824568298,0.6261456203483107,-10.258769843786695,-4.332927692810294,0.0,-8.645976421703473,-1.431619346364375,-21.905078382265188,-0.3318571787846025,1.0268788173712267,-4.783752539461091,-12.831810913004688,-2.0036659851145906,-37.75908548948445,-2.5292943618763175,-1.430617513371816,0.6267467201438492
ADI-45389,-2.110110740573802,-0.8014663940458355,-3.3861955148436493,-5.021687875193443,0.0,-12.405784643922875,-4.2557865523833875,-23.50700933736438,0.655721792885938,-0.15027494888359527,5.695420562688213,-2.828842426650958,0.6882592658868631,-7.749178197430652,-2.076465849240421,0.30856456170764623,6.190526427610035
ADI-45390,-2.0124320237994624,-0.2254124233253929,0.2304215882881806,-12.009472998280575,-0.025,-11.960981498571385,-2.3292617076957125,-11.501042754557716,-4.01359342643266,-0.10018329925572722,-1.7281619121613403,-5.564013468497787,1.678070262533467,-19.530734189904457,-3.3260855352902183,-1.7552114029603807,-4.922606592229524
ADI-45391,-0.7125537159563748,0.22541242332539113,-4.828835024126164,-5.422421072216359,0.0,-11.565054873617193,-4.758706714647152,-13.03384723317042,-2.659286586664983,0.17532077369752663,-6.010997955343797,-5.3911137911989435,0.7263289196040397,-19.165065147621046,-0.07613930743435304,-2.099841952400091,1.2062069230389802
ADI-45393,0.24670137441722773,0.12522912406966036,10.198659864233278,-16.142034092579408,0.0,-5.920039868227839,-4.5583401161356925,-1.0970071268502437,-9.239630186282987,-0.5259623210925799,-9.777890007359176,-2.5859814120385067,0.40073319702291244,-11.40586862026477,-16.58367547013176,-3.245938895885635,-20.493495695752028
