id,K_full_median,K_full_mean,K_full_q90,K_full_n_sites
ADI-47109,14.526578392080776,37.57441427452305,96.24609559497932,108
ADI-38502,15.332052118096843,42.04088259474867,97.4683318458992,108
ADI-38501,16.580336026823232,35.5759429789995,87.93088175675375,108
ADI-47173,14.226028494313589,38.97790808724452,100.734307401636,108
ADI-47054,14.7770366402201,46.54171007612644,89.23326464707826,108
ADI-47278,16.830794274962557,41.09919668667048,101.55581045553298,108
ADI-47055,14.626761691336506,38.849302414940695,99.14139294346992,108
ADI-47174,13.72511199803494,40.36373995535647,99.97291432729244,108
ADI-47056,14.642791019217425,36.8607752394914,98.98109966466076,108
ADI-47279,13.492686743761649,45.42110421656265,102.53760678823912,108
ADI-47057,14.55462971587238,43.0319551588674,126.5114703001352,108
ADI-47280,14.025661895802129,35.49093559433473,93.23057828738186,108
ADI-47058,14.70290099877086,41.381268331463815,90.83619743516992,108
ADI-47281,13.967555582233809,36.42905942955051,99.98293265721804,108
ADI-47175,15.81092828853923,41.61380490051407,107.52673509117446,108
ADI-47282,16.4801527275675,40.24860337106367,91.39722391100202,108
ADI-47283,14.67685334096437,36.9504578447881,98.53027481800996,108
ADI-47059,14.919296925163238,36.56705264804387,94.3626495689716,108
ADI-47060,14.426395092825048,40.96565605925515,102.68788173712274,108
ADI-47178,14.927311589103695,42.141919307294366,113.72808131510408,108
ADI-47177,15.378136435754476,42.670441868256816,104.15055790625638,108
ADI-47284,13.015814239304376,38.976757834549375,119.11794281506236,108
ADI-47179,15.929144581660989,41.66400786491889,120.580618984196,108
ADI-47180,13.124012202500564,39.950576608240695,108.217999856039,108
ADI-45439,14.326211793569318,39.11360080034756,96.26733445442154,108
ADI-45368,13.4445987601189,34.81896539080834,95.29435425204989,108
ADI-47062,13.474653749895618,40.43494430767934,107.0258185948958,108
ADI-47182,13.975570246174264,40.4033309110253,97.92917502247558,108
ADI-47063,15.017476558433852,48.13087693680187,107.26625851310956,108
ADI-47183,12.623095706221916,38.36118711801138,105.11231757911138,108
ADI-47064,13.975570246174264,41.862036853114375,100.55397746297568,108
ADI-47066,13.374470450639889,37.33341778242454,90.48555588777486,108
ADI-45379,13.875386946918535,39.14309921623953,104.1405395763308,108
ADI-47067,13.875386946918535,46.74719715437765,113.21714648889989,108
ADI-47068,14.530585724051006,40.94183469698768,102.19698357076966,108
ADI-47069,15.528411384638073,43.462965975220925,107.6080839301701,108
ADI-47070,13.9254785965464,42.76828755719658,104.11048458655408,108
ADI-45442,15.804917290583886,36.6679038359613,93.6613664741815,108
ADI-47184,17.532077369752663,42.67571076769914,97.89912003269886,108
ADI-47073,15.484330732965551,39.45266561093973,107.0258185948958,108
ADI-46682,16.951014234069433,37.905093371918255,95.09398765353842,108
ADI-47074,13.474653749895618,35.12367104024837,94.86356606525024,108
ADI-47186,15.879052932033126,37.83429717377754,98.55271587704324,108
ADI-45370,12.422729107710458,33.45361544165535,89.82434611268707,108
ADI-47077,14.326211793569318,43.09570142113456,104.9920976200045,108
ADI-47079,13.424562100267751,37.69797367693846,98.68054976689356,108
ADI-47289,13.568826051196002,38.37428515676593,104.24072287558651,108
ADI-47191,13.274287151384158,39.18495357237303,99.44194284123706,108
ADI-47192,13.474653749895618,46.62545589331911,112.24496775292228,108
ADI-47290,15.07758653798729,54.783307741861854,106.2143338709244,108
ADI-47195,13.224195501756292,36.88545001504883,101.31617200371328,108
ADI-47196,13.524745399523482,43.00175174938808,101.68604874456544,108
ADI-47083,13.262265155473472,41.694656533506,124.55789596464848,108
ADI-47198,14.226028494313589,40.43449904857153,102.8882483356342,108
ADI-47199,14.85517961363957,41.60092949131343,101.78623204382116,108
ADI-47201,15.879052932033126,46.44356754778148,124.287401056658,108
ADI-45447,16.430061077939637,35.67423392704707,97.70877176411295,108
ADI-47293,14.526578392080776,36.65877602425133,94.2925212594926,108
ADI-45378,16.930977574218286,38.56804707851164,106.22435220084998,108
ADI-47204,14.65882034709834,52.62506263648824,105.9939306125618,108
ADI-47093,17.682352318636255,41.27344141752415,98.06943164143358,108
ADI-47297,16.22969447942818,40.07914517561889,106.38464547965916,108
ADI-45440,16.379969428311774,40.62391969401616,111.19344384393416,108
ADI-47209,13.624928698779213,39.36591429476939,95.31439091190104,108
ADI-46678,14.626761691336506,37.30744433446935,94.38268622882276,108
ADI-47099,15.678686333521666,40.4457789459692,106.66515871757518,108
ADI-47300,15.92914458166099,46.03062683021963,107.6269183904302,108
ADI-47100,14.726944990592235,49.3236147718298,118.25636644146309,108
ADI-47215,13.9254785965464,39.65748480052922,103.74982470923348,108
ADI-47216,13.574837049151348,37.07323804376485,93.31072492678643,108
ADI-47217,14.326211793569318,46.24720828124026,117.6552666459287,108
ADI-46710,14.815106293937278,36.37729805826839,82.0701587502936,108
ADI-47301,13.324378801012024,38.44879184747168,90.24511596956113,108
ADI-47187,15.879052932033124,39.58876647822491,94.2925212594926,108
ADI-47105,16.12951118017245,36.98036441486223,105.19246421851597,108
ADI-47106,14.8591869456098,44.09823940727921,112.06503854745898,108
ADI-45490,15.883060264003356,41.81331808573556,116.2226454665718,108
ADI-47302,16.880885924590423,39.365877189843744,92.97010170931696,108
ADI-47304,14.827128289847966,38.89572067692917,101.64597542486314,108
ADI-47112,13.061898556962012,38.5768780508164,111.63425036065937,108
ADI-47113,13.093957212723843,38.04694550267924,97.42825852619691,108
ADI-47224,15.598539694117084,42.96282868238095,109.16974119896842,108
ADI-47225,13.474653749895616,35.29105135985673,88.68225650117174,108
ADI-45429,15.227861486870884,35.327451291919644,92.0684520160154,108
ADI-47119,13.885405276844107,34.52798856385892,84.21408135436621,108
ADI-47308,14.426395092825048,38.30812707433149,97.2932114388002,108
ADI-47121,14.12584519505786,48.44207594823069,123.72637458082592,108
ADI-47122,17.982902216403446,42.56231811491193,110.10144588204672,108
