family,metric,value,N
DELTA_GEOM,spearman_absmean_vs_n_atoms_C,0.09882055370722857,199
DELTA_GEOM,spearman_absmean_vs_R1_F_rms_C,-0.01146946855489569,199
DELTA_GEOM,spearman_absmean_vs_severe_clash_C,,199
DELTA_GEOM,spearman_absmean_vs_n_site_evals_C,,199
DELTA_GEOM,spearman_absmean_vs_HL_correction,0.03163849550784224,199
DELTA_GEOM,spearman_absmean_vs_mean_bfactor,-0.09229785290086796,199
DELTA_GEOM,finite_rate,1.0,199
DELTA_GEOM,feature_dim,17.0,199
DELTA_GEOM,outlier_frac_absz_gt5,0.07537688442211055,199
DELTA_ENV,spearman_absmean_vs_n_atoms_C,0.005657200311621324,199
DELTA_ENV,spearman_absmean_vs_R1_F_rms_C,0.021250190345667733,199
DELTA_ENV,spearman_absmean_vs_severe_clash_C,,199
DELTA_ENV,spearman_absmean_vs_n_site_evals_C,,199
DELTA_ENV,spearman_absmean_vs_HL_correction,-0.10340794883508451,199
DELTA_ENV,spearman_absmean_vs_mean_bfactor,-0.00334551545606822,199
DELTA_ENV,finite_rate,1.0,199
DELTA_ENV,feature_dim,17.0,199
DELTA_ENV,outlier_frac_absz_gt5,0.05527638190954774,199
CONSTANT,spearman_absmean_vs_n_atoms_C,0.022197087575329268,199
CONSTANT,spearman_absmean_vs_R1_F_rms_C,0.012486675803258719,199
CONSTANT,spearman_absmean_vs_severe_clash_C,,199
CONSTANT,spearman_absmean_vs_n_site_evals_C,,199
CONSTANT,spearman_absmean_vs_HL_correction,0.04650677630577128,199
CONSTANT,spearman_absmean_vs_mean_bfactor,-0.07199025430181209,199
CONSTANT,finite_rate,1.0,199
CONSTANT,feature_dim,21.0,199
CONSTANT,outlier_frac_absz_gt5,0.020100502512562814,199
INTERFACE,spearman_absmean_vs_n_atoms_C,0.01616908557437287,199
INTERFACE,spearman_absmean_vs_R1_F_rms_C,0.007466118471143596,199
INTERFACE,spearman_absmean_vs_severe_clash_C,,199
INTERFACE,spearman_absmean_vs_n_site_evals_C,,199
INTERFACE,spearman_absmean_vs_HL_correction,-0.054953555657073244,199
INTERFACE,spearman_absmean_vs_mean_bfactor,0.024697731079640628,199
INTERFACE,finite_rate,1.0,199
INTERFACE,feature_dim,15.0,199
INTERFACE,outlier_frac_absz_gt5,0.005025125628140704,199
FULL_FAB_NORMALIZED,spearman_absmean_vs_n_atoms_C,-0.044894414801363136,199
FULL_FAB_NORMALIZED,spearman_absmean_vs_R1_F_rms_C,0.16252322217146337,199
FULL_FAB_NORMALIZED,spearman_absmean_vs_severe_clash_C,,199
FULL_FAB_NORMALIZED,spearman_absmean_vs_n_site_evals_C,,199
FULL_FAB_NORMALIZED,spearman_absmean_vs_HL_correction,0.18082381604994674,199
FULL_FAB_NORMALIZED,spearman_absmean_vs_mean_bfactor,-0.18023907415867216,199
FULL_FAB_NORMALIZED,finite_rate,1.0,199
FULL_FAB_NORMALIZED,feature_dim,3.0,199
FULL_FAB_NORMALIZED,outlier_frac_absz_gt5,0.005025125628140704,199
PREP_RELAX_SENSITIVITY,spearman_absmean_vs_n_atoms_C,0.06729708031533813,199
PREP_RELAX_SENSITIVITY,spearman_absmean_vs_R1_F_rms_C,0.041087254454088624,199
PREP_RELAX_SENSITIVITY,spearman_absmean_vs_severe_clash_C,,199
PREP_RELAX_SENSITIVITY,spearman_absmean_vs_n_site_evals_C,,199
PREP_RELAX_SENSITIVITY,spearman_absmean_vs_HL_correction,0.02516065174356632,199
PREP_RELAX_SENSITIVITY,spearman_absmean_vs_mean_bfactor,-0.1658215319019339,199
PREP_RELAX_SENSITIVITY,finite_rate,1.0,199
PREP_RELAX_SENSITIVITY,feature_dim,17.0,199
PREP_RELAX_SENSITIVITY,outlier_frac_absz_gt5,0.07035175879396985,199
COMBINED_PREDECLARED,spearman_absmean_vs_n_atoms_C,0.0494780414333901,199
COMBINED_PREDECLARED,spearman_absmean_vs_R1_F_rms_C,0.028212273488655397,199
COMBINED_PREDECLARED,spearman_absmean_vs_severe_clash_C,,199
COMBINED_PREDECLARED,spearman_absmean_vs_n_site_evals_C,,199
COMBINED_PREDECLARED,spearman_absmean_vs_HL_correction,0.015402771432922185,199
COMBINED_PREDECLARED,spearman_absmean_vs_mean_bfactor,-0.08537840718745242,199
COMBINED_PREDECLARED,finite_rate,1.0,199
COMBINED_PREDECLARED,feature_dim,90.0,199
COMBINED_PREDECLARED,outlier_frac_absz_gt5,0.21105527638190955,199
pool_B,empty_frac_K_all_bb_n,0.0,199
pool_B,empty_frac_K_FW_n,0.0,199
pool_B,empty_frac_K_CDR_n,0.0,199
pool_B,empty_frac_K_HCDR3_n,0.0,199
pool_B,empty_frac_K_chi1_n,0.0,199
pool_B,empty_frac_K_VH_FW_n,0.0,199
pool_B,empty_frac_K_HCDR_n,0.005025125628140704,199
pool_B,empty_frac_K_VL_FW_n,0.0,199
pool_B,empty_frac_K_LCDR_n,0.005025125628140704,199
pool_B,empty_frac_K_LCDR3_n,1.0,199
pool_B,empty_frac_K_CH1_n,1.0,199
pool_B,empty_frac_K_CL_n,1.0,199
pool_B,empty_frac_K_VH_CH1_n,1.0,199
pool_B,empty_frac_K_VL_CL_n,1.0,199
pool_B,empty_frac_K_CH1_CL_n,1.0,199
pool_B,empty_frac_K_SS_neigh_n,1.0,199
pool_B,empty_frac_K_all_n,0.0,199
pool_C,empty_frac_K_all_bb_n,0.0,199
pool_C,empty_frac_K_FW_n,0.0,199
pool_C,empty_frac_K_CDR_n,0.0,199
pool_C,empty_frac_K_HCDR3_n,0.0,199
pool_C,empty_frac_K_chi1_n,0.0,199
pool_C,empty_frac_K_VH_FW_n,0.0,199
pool_C,empty_frac_K_HCDR_n,0.005025125628140704,199
pool_C,empty_frac_K_VL_FW_n,0.0,199
pool_C,empty_frac_K_LCDR_n,0.005025125628140704,199
pool_C,empty_frac_K_LCDR3_n,1.0,199
pool_C,empty_frac_K_CH1_n,0.0,199
pool_C,empty_frac_K_CL_n,0.0,199
pool_C,empty_frac_K_VH_CH1_n,0.0,199
pool_C,empty_frac_K_VL_CL_n,0.0,199
pool_C,empty_frac_K_CH1_CL_n,0.0,199
pool_C,empty_frac_K_SS_neigh_n,0.0,199
pool_C,empty_frac_K_all_n,0.0,199
pool_M,empty_frac_K_all_bb_n,0.0,199
pool_M,empty_frac_K_FW_n,0.0,199
pool_M,empty_frac_K_CDR_n,0.0,199
pool_M,empty_frac_K_HCDR3_n,0.0,199
pool_M,empty_frac_K_chi1_n,0.0,199
pool_M,empty_frac_K_VH_FW_n,0.0,199
pool_M,empty_frac_K_HCDR_n,0.005025125628140704,199
pool_M,empty_frac_K_VL_FW_n,0.0,199
pool_M,empty_frac_K_LCDR_n,0.005025125628140704,199
pool_M,empty_frac_K_LCDR3_n,1.0,199
pool_M,empty_frac_K_CH1_n,1.0,199
pool_M,empty_frac_K_CL_n,1.0,199
pool_M,empty_frac_K_VH_CH1_n,1.0,199
pool_M,empty_frac_K_VL_CL_n,1.0,199
pool_M,empty_frac_K_CH1_CL_n,1.0,199
pool_M,empty_frac_K_SS_neigh_n,1.0,199
pool_M,empty_frac_K_all_n,0.0,199
