rank,target,family,free_primary_delta,free_shadow_delta,free_worst_delta,survives_fixed_alpha,SCIENTIFIC_VERDICT,COMPETITION_VERDICT,selected_for_combo,notes
1,TmApp,INTERIM_PREP_RELAX_SENSITIVITY,0.0770838096689385,0.0582691604701457,0.0582691604701457,True,SCI_ROBUST_POSITIVE,COMP_PRIORITY,True,non-redundant preferred: skip nested BioEmu combined with parts
2,TmApp,INTERIM_CONSTANT,0.1159861554896979,0.0511702476199729,0.0511702476199729,True,SCI_ROBUST_POSITIVE,COMP_PRIORITY,True,non-redundant preferred: skip nested BioEmu combined with parts
3,TmApp,BIOEMU_NEW_PAIRWISE,0.03436714549222,0.0329163996806944,0.0329163996806944,True,SCI_ROBUST_POSITIVE,COMP_PRIORITY,True,non-redundant preferred: skip nested BioEmu combined with parts
4,TmApp,M1_PROTEINMPNN,0.0258456347215521,0.0192340852938985,0.0192340852938985,True,SCI_ROBUST_POSITIVE,COMP_TRY,True,non-redundant preferred: skip nested BioEmu combined with parts
5,TmApp,BIOEMU_NEW_FLEX,0.02710219928719,0.0149953739953025,0.0149953739953025,True,SCI_ROBUST_POSITIVE,COMP_TRY,True,non-redundant preferred: skip nested BioEmu combined with parts
6,TmApp,BIOEMU_NEW_CONTACT,0.0139687427691193,0.0280835797309699,0.0139687427691193,True,SCI_ROBUST_POSITIVE,COMP_TRY,False,non-redundant preferred: skip nested BioEmu combined with parts
7,TmApp,S2_GENERATOR_DISAGREEMENT,0.0072639843928321,0.0642950769389232,0.0072639843928321,True,SCI_WEAK_POSITIVE,COMP_TRY,False,non-redundant preferred: skip nested BioEmu combined with parts
8,TmApp,M3_SAPROT,0.0057655243557865,0.0257038834053835,0.0057655243557865,True,SCI_WEAK_POSITIVE,COMP_TRY,False,non-redundant preferred: skip nested BioEmu combined with parts
1,HIC,HYDRO_FIELD,0.0082079395382711,0.0028911654672589,0.0028911654672589,True,SCI_WEAK_POSITIVE,COMP_TRY,True,non-redundant preferred: skip nested BioEmu combined with parts
2,HIC,TITRATION_SHAPE,0.0022203835229731,0.0086691729406241,0.0022203835229731,True,SCI_WEAK_POSITIVE,COMP_TRY,True,non-redundant preferred: skip nested BioEmu combined with parts
3,HIC,HIC_SURFACE_ALL,0.022775289265698,0.0017707681657923,0.0017707681657923,True,SCI_WEAK_POSITIVE,COMP_TRY,True,non-redundant preferred: skip nested BioEmu combined with parts
4,HIC,CONTINUOUS_SURFACE,0.016628018937312,0.0017655289368072,0.0017655289368072,True,SCI_WEAK_POSITIVE,COMP_TRY,True,non-redundant preferred: skip nested BioEmu combined with parts
5,HIC,STATIC_SAP,0.0064502664180348,0.0005894198526502,0.0005894198526502,True,SCI_WEAK_POSITIVE,COMP_TRY,True,non-redundant preferred: skip nested BioEmu combined with parts
6,HIC,AROMATIC_TOPO,0.006147270328386,5.239228985209898e-06,5.239228985209898e-06,True,SCI_WEAK_POSITIVE,COMP_TRY,False,non-redundant preferred: skip nested BioEmu combined with parts
