scope,target,family,N_primary,N_shadow,base_dim,struct_dim,primary_base_mae,primary_plus_mae,primary_delta,shadow_base_mae,shadow_plus_mae,shadow_delta,verdict,boot_primary_ci_lo,boot_primary_ci_hi,boot_primary_p_improve,boot_shadow_ci_lo,boot_shadow_ci_hi,boot_shadow_p_improve,label,per_fold_primary_delta,per_fold_shadow_delta,coverage_primary,coverage_shadow
GapClosure,TmApp,PACKING_CAVITY,162,162,558,33,2.7629769100217336,2.8408296436600855,-0.07785273363835188,2.8973641403873263,3.032093582135909,-0.1347294417485827,SIMPLE_CV_NO_IMPROVEMENT,,,,,,,SIMPLE_TVT_CV,"[-0.07096954175151238, -0.13257688162662884, -0.08521746870007973, 0.0635195127461925, -0.16207901126441948]","[-0.03379943094038218, -0.22625178530560364, -0.16200552931717604, -0.18846636250086268, -0.06252055514897092]","[(97, 33, 32), (96, 33, 33), (97, 32, 33), (98, 32, 32), (98, 32, 32)]","[(97, 33, 32), (97, 32, 33), (98, 32, 32), (97, 33, 32), (97, 32, 33)]"
GapClosure,TmApp,BURIED_UNSAT,161,161,558,20,2.758265401959897,2.76548205782324,-0.007216655863342858,2.8859736801983553,2.836088023120725,0.04988565707763026,SIMPLE_CV_MIXED,,,,,,,SIMPLE_TVT_CV,"[0.0013038818218449322, 0.1803847549014601, -0.19526661800596612, 0.03636880903063, -0.060526007058989695]","[0.0699046161149206, -0.041756557187530685, 0.15596287683335408, -0.061306108709651586, 0.13028956842073836]","[(96, 33, 32), (95, 33, 33), (96, 32, 33), (98, 31, 32), (98, 32, 31)]","[(96, 33, 32), (97, 31, 33), (98, 32, 31), (96, 33, 32), (96, 32, 33)]"
GapClosure,TmApp,FAB_INTERFACE,162,162,558,29,2.7629769100217336,2.7884166583937455,-0.025439748372011906,2.8973641403873263,2.9237091809644506,-0.02634504057712439,SIMPLE_CV_NO_IMPROVEMENT,,,,,,,SIMPLE_TVT_CV,"[0.0016399984700021797, 0.019246056296130742, 0.03882332017364298, 0.0069171495273012695, -0.197229918615069]","[0.07096817383126552, -0.013254345641122711, -0.07367697623206926, -0.1681458435451879, 0.04960137887680682]","[(97, 33, 32), (96, 33, 33), (97, 32, 33), (98, 32, 32), (98, 32, 32)]","[(97, 33, 32), (97, 32, 33), (98, 32, 32), (97, 33, 32), (97, 32, 33)]"
GapClosure,TmApp,CORE_DEFECT,161,161,558,53,2.758265401959897,2.8414861398749953,-0.08322073791509821,2.8859736801983553,2.9557564604658024,-0.06978278026744711,SIMPLE_CV_NO_IMPROVEMENT,,,,,,,SIMPLE_TVT_CV,"[-0.0478468563851262, 0.08586708181155789, -0.32472754872734466, 0.08179478097979542, -0.21298312848836343]","[0.024260484867911103, -0.21248315667279538, 0.07089119496501572, -0.27349020118471534, 0.04711031592016823]","[(96, 33, 32), (95, 33, 33), (96, 32, 33), (98, 31, 32), (98, 32, 31)]","[(96, 33, 32), (97, 31, 33), (98, 32, 31), (96, 33, 32), (96, 32, 33)]"
GapClosure,TmApp,GAP_ALL,161,161,558,82,2.758265401959897,2.9149667966552095,-0.1567013946953124,2.8859736801983553,3.005219842481863,-0.11924616228350748,SIMPLE_CV_NO_IMPROVEMENT,,,,,,,SIMPLE_TVT_CV,"[-0.022374265267160354, 0.0893908275488986, -0.38613411558977306, -0.0865667680150426, -0.3854929992118046]","[0.07274842010345894, -0.20588067530795406, -0.03052315129862082, -0.41622478129264495, -0.014154805883971111]","[(96, 33, 32), (95, 33, 33), (96, 32, 33), (98, 31, 32), (98, 32, 31)]","[(96, 33, 32), (97, 31, 33), (98, 32, 31), (96, 33, 32), (96, 32, 33)]"
GapClosure,HIC,CONTINUOUS_SURFACE,162,162,1414,45,0.5283867651592855,0.5117587462219735,0.016628018937312028,0.5590561585035284,0.5572906295667212,0.001765528936807259,SIMPLE_CV_CONSISTENT_IMPROVEMENT,-0.00532313563589721,0.038765365399592314,0.9319,-0.021514748795921888,0.024962985408063697,0.5571,SIMPLE_TVT_CV,"[0.010281169341259389, 0.02850682310160496, 0.010692396744579558, 0.022750133485395452, 0.010723847577109424]","[0.045892784125141195, -0.004835119627154216, -0.029582570896974303, -0.012920428332365841, 0.010215197539188758]","[(97, 33, 32), (96, 33, 33), (97, 32, 33), (98, 32, 32), (98, 32, 32)]","[(97, 33, 32), (97, 32, 33), (98, 32, 32), (97, 33, 32), (97, 32, 33)]"
GapClosure,HIC,HIC_SURFACE_ALL,162,162,1395,64,0.5345340354876716,0.5117587462219736,0.02277528926569805,0.5590613977325137,0.5572906295667214,0.001770768165792358,SIMPLE_CV_CONSISTENT_IMPROVEMENT,-0.0034508954438853393,0.04978730774537314,0.9551,-0.027286133527374055,0.03023062695410627,0.5482,SIMPLE_TVT_CV,"[0.025784865034551296, 0.048899444768464306, 0.03651035532648317, -0.005604675459070285, 0.0070408559842009]","[0.013222162758046663, 0.019541998657681026, -0.019483735657519707, -0.01593195317039875, 0.010671858223963437]","[(97, 33, 32), (96, 33, 33), (97, 32, 33), (98, 32, 32), (98, 32, 32)]","[(97, 33, 32), (97, 32, 33), (98, 32, 32), (97, 33, 32), (97, 32, 33)]"
InterimFeNNix,TmApp,DELTA_GEOM,100,100,558,17,3.167554420289552,3.1421731580021977,0.025381262287354378,2.9265831224278975,2.963190196872605,-0.036607074444707344,SIMPLE_CV_MIXED,,,,,,,PROVISIONAL_SIMPLE_CV,"[0.04419052327004236, 0.18331213453319561, -0.0985529063157129, -0.0767462796128382, 0.04436128743105838]","[0.03814827544230415, 0.06907309773527492, -0.26248327486067957, -0.07738647578572078, 0.02068786443244708]","[(55, 22, 23), (62, 16, 22), (62, 22, 16), (61, 17, 22), (60, 23, 17)]","[(59, 23, 18), (59, 18, 23), (61, 21, 18), (59, 20, 21), (62, 18, 20)]"
InterimFeNNix,TmApp,DELTA_ENV,100,100,558,17,3.167554420289552,3.1387439644710673,0.028810455818484737,2.9265831224278975,3.1662463468057456,-0.23966322437784804,SIMPLE_CV_MIXED,,,,,,,PROVISIONAL_SIMPLE_CV,"[0.025738162715559287, 0.335275009602233, -0.09264496339839834, -0.05748200851503915, -0.13765051589136768]","[-0.12248772776806804, 0.016046427737799185, -0.8278170590202354, -0.07569417455294003, -0.2820163223976486]","[(55, 22, 23), (62, 16, 22), (62, 22, 16), (61, 17, 22), (60, 23, 17)]","[(59, 23, 18), (59, 18, 23), (61, 21, 18), (59, 20, 21), (62, 18, 20)]"
InterimFeNNix,TmApp,CONSTANT,100,100,558,20,3.167554420289552,3.051568264799854,0.11598615548969793,2.9265831224278975,2.8754128748079246,0.05117024761997291,SIMPLE_CV_CONSISTENT_IMPROVEMENT,-0.018154781317471252,0.2553604684226081,0.9551,-0.09678899701239348,0.19804717868397423,0.7493,PROVISIONAL_SIMPLE_CV,"[0.30068036128018605, 0.2858044958583119, -0.08320380109145109, -0.13567787869598247, 0.15949661643632984]","[0.06022158920101228, 0.15240657202570773, -0.2155580327180373, 0.15158591130724552, 0.061221272563019014]","[(55, 22, 23), (62, 16, 22), (62, 22, 16), (61, 17, 22), (60, 23, 17)]","[(59, 23, 18), (59, 18, 23), (61, 21, 18), (59, 20, 21), (62, 18, 20)]"
