scope,target,family,strict_framework,strict_nested_primary_delta,strict_nested_shadow_delta,simple_tvt_primary_delta,simple_tvt_shadow_delta,simple_verdict,interpretation,label
GapClosure,TmApp,PACKING_CAVITY,,,,-0.07785273363835188,-0.1347294417485827,SIMPLE_CV_NO_IMPROVEMENT,SIMPLE_ONLY_NEGATIVE,SIMPLE_TVT_CV
GapClosure,TmApp,BURIED_UNSAT,,,,-0.007216655863342858,0.04988565707763026,SIMPLE_CV_MIXED,MIXED,SIMPLE_TVT_CV
GapClosure,TmApp,FAB_INTERFACE,residual_plus_oof,-0.0692585337237674,-0.0727191509022819,-0.025439748372011906,-0.02634504057712439,SIMPLE_CV_NO_IMPROVEMENT,BOTH_NEGATIVE,SIMPLE_TVT_CV
GapClosure,TmApp,CORE_DEFECT,residual_plus_oof,-0.157693262079221,-0.1721994880103983,-0.08322073791509821,-0.06978278026744711,SIMPLE_CV_NO_IMPROVEMENT,BOTH_NEGATIVE,SIMPLE_TVT_CV
GapClosure,TmApp,GAP_ALL,residual_plus_oof,-0.1959880052062033,-0.2551563820702633,-0.1567013946953124,-0.11924616228350748,SIMPLE_CV_NO_IMPROVEMENT,BOTH_NEGATIVE,SIMPLE_TVT_CV
GapClosure,HIC,CONTINUOUS_SURFACE,,,,0.016628018937312028,0.001765528936807259,SIMPLE_CV_CONSISTENT_IMPROVEMENT,SIMPLE_ONLY_POSITIVE,SIMPLE_TVT_CV
GapClosure,HIC,HIC_SURFACE_ALL,residual_plus_oof,-0.0658009968702467,-0.0894520314089256,0.02277528926569805,0.001770768165792358,SIMPLE_CV_CONSISTENT_IMPROVEMENT,STRICT_NEGATIVE_SIMPLE_POSITIVE,SIMPLE_TVT_CV
InterimFeNNix,TmApp,DELTA_GEOM,residual_plus_oof,-0.1334519608576982,-0.168535819519739,0.025381262287354378,-0.036607074444707344,SIMPLE_CV_MIXED,MIXED,PROVISIONAL_SIMPLE_CV
InterimFeNNix,TmApp,DELTA_ENV,residual_plus_oof,-0.0453130034461204,-0.2479491764534422,0.028810455818484737,-0.23966322437784804,SIMPLE_CV_MIXED,MIXED,PROVISIONAL_SIMPLE_CV
InterimFeNNix,TmApp,CONSTANT,residual_plus_oof,-0.1181578977460304,-0.0917122596652908,0.11598615548969793,0.05117024761997291,SIMPLE_CV_CONSISTENT_IMPROVEMENT,STRICT_NEGATIVE_SIMPLE_POSITIVE,PROVISIONAL_SIMPLE_CV
InterimFeNNix,TmApp,INTERFACE,residual_plus_oof,0.0083557960344964,-0.0431798475239886,0.061986015884865964,-0.03093247986105263,SIMPLE_CV_MIXED,MIXED,PROVISIONAL_SIMPLE_CV
InterimFeNNix,TmApp,FULL_FAB_NORMALIZED,residual_plus_oof,-0.0127890756045467,-0.0087500949695256,-0.008269344421701241,-0.006958932643406079,SIMPLE_CV_NO_IMPROVEMENT,BOTH_NEGATIVE,PROVISIONAL_SIMPLE_CV
InterimFeNNix,TmApp,COMBINED_PREDECLARED,residual_plus_oof,-0.2378065764990689,-0.2202504181750977,0.08956884336552706,-0.15903681342534792,SIMPLE_CV_MIXED,MIXED,PROVISIONAL_SIMPLE_CV
