id,generator,n_atoms,R0_E,R0_F_rms,R0_F_q90,R0_F_max,R0_severe_clash,R0_all_clash,R0_min_heavy_dist,R1_E,R1_F_rms,R1_F_q90,R1_F_max,R1_severe_clash,R1_all_clash,R1_min_heavy_dist,delta_severe_clash,delta_F_rms,sidechain_heavy_RMSD,backbone_RMSD,converged,steps,final_fmax,optimizer,failure_mode
ADI-46684,esmfold,3572,-438.2170104980469,27.829274390783304,4.2216451460461855,1167.8272955562768,1140,1886,1.169209128155141,-878.5892333984375,1.3587980436795537,1.7011078123495176,16.963655831524186,1142,1878,1.169209128155141,2,-26.47047634710375,0.2412505120695784,0.0,False,200,1.134420930465807,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-46705,esmfold,3476,-607.6574096679688,3.2756801774390474,4.15710793704185,14.10108639980449,1103,1819,1.1794336958486389,-871.7852783203125,1.256225735729674,1.5940823540968403,12.982844687508388,1106,1818,1.1794336958486389,3,-2.0194544417093736,0.229508745870303,0.0,False,200,0.3054079969447582,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47078,esmfold,3294,-579.7379150390625,3.3762185796923423,4.191863045030632,24.869709807373297,1011,1705,1.199447413291841,-848.55615234375,1.19543950081577,1.5528640709489947,10.755085291989378,1014,1704,1.194190026840345,3,-2.180779078876572,0.2510370567959158,0.0,False,200,1.5089808207395774,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-46684,abodybuilder2,3572,-915.40478515625,0.7802303504827452,1.3521970942962511,2.8367428446383984,1133,1876,1.213913133401131,-942.8217163085938,0.4765551408895042,0.8859157794036424,2.7718967074094376,1142,1876,1.205538593933437,9,-0.303675209593241,0.0631800377423623,0.0,False,200,0.2628890781740834,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-46705,abodybuilder2,3476,-888.6260986328125,0.7591430174014602,1.291473292070285,3.9326131126446016,1100,1818,1.2166652823681283,-915.693115234375,0.4728974631181557,0.8899298330918585,2.215765061886404,1107,1818,1.21807453569102,7,-0.2862455542833044,0.073005803674632,0.0,False,200,1.5863890456544454,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-47078,abodybuilder2,3294,-852.695556640625,0.9744511332892722,1.2884827659149898,25.557916703687003,1008,1704,1.21238652102079,-880.4931640625,0.4601697141248363,0.8600396794794428,2.2852815816303784,1014,1704,1.2108087447110214,6,-0.5142814191644359,0.069928782341372,0.0,False,200,0.2510241227455682,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-37123,esmfold,3413,-615.1082153320312,3.2142161636766544,4.126131385946247,10.93648124761914,0,0,2.015245512728427,-873.9428100585938,1.1019640605460523,1.52457624176206,9.243094333967004,0,0,2.034536632516255,0,-2.112252103130602,0.1796174679731102,0.0,False,200,0.2950509749011433,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-37125,esmfold,3490,-593.6688842773438,3.400271866350312,4.20017003711999,25.94097839439246,0,0,2.023776605990327,-877.3805541992188,1.2908323004073152,1.7102090188303414,10.533666946884315,0,0,2.036579306549852,0,-2.1094395659429965,0.2513041519232128,0.0,False,200,0.2809943750489522,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-38499,esmfold,3333,-561.93310546875,3.503068442711562,4.138875067440611,40.62585415166976,1,5,1.081915612115352,-852.4074096679688,1.1936586143443495,1.6133060154504115,10.272394870164106,0,0,2.0324877604295275,-1,-2.309409828367212,0.235911037151556,0.0,False,200,1.2241048913279269,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-38501,esmfold,3447,-607.1771240234375,3.408395592594197,4.1785643724839066,27.28085019468479,0,1,1.8299901015864088,-878.9743041992188,1.2216538108759425,1.4882912588725214,18.11480916129084,0,0,2.029270134142955,0,-2.186741781718254,0.2458682447412641,0.0,False,200,1.150724175025973,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-38503,esmfold,3446,-560.82666015625,3.3062995561284296,4.165844939260234,17.030084332347155,0,4,1.626473940856627,-838.7014770507812,1.1967556887857669,1.6312439245511865,15.18355210289901,0,0,2.0310964436685004,0,-2.109543867342663,0.2718069626824577,0.0,False,200,0.9031566859562952,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45370,esmfold,3362,-575.4530029296875,3.313275953985401,4.167026607460691,12.691982613285766,0,2,1.952430574563658,-839.1742553710938,1.2929013587634968,1.58136687781254,10.633183661547626,0,0,2.0336506640826366,0,-2.020374595221904,0.2539058935316864,0.0,False,200,1.6247084265203289,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45375,esmfold,3543,-610.6448364257812,3.4601826408212792,4.205602218318228,26.30218872861863,0,5,1.7401764176567305,-906.046875,1.257973395751095,1.579544183995096,17.439750878172713,0,0,2.035490112897661,0,-2.2022092450701845,0.2503646904140399,0.0,False,200,0.3404672337022802,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45379,esmfold,3412,-593.9888305664062,3.402284134601339,4.234552554831129,26.13156544859804,0,1,1.9775171119058184,-863.7944946289062,1.2910228220986433,1.6694128060937097,13.9739694031977,0,0,2.037778199145929,0,-2.111261312502696,0.2460733210774454,0.0,False,200,0.96905977707818,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45383,esmfold,3555,-617.8236694335938,3.266714901421997,4.187135436405958,14.127464374086877,0,4,1.743573958182375,-907.6092529296876,1.1588340443394676,1.4299698545018953,9.009026093071204,0,0,2.0328595254878867,0,-2.107880857082529,0.2326123486641107,0.0,False,200,1.093722141927728,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45389,esmfold,3334,-588.0115966796875,3.3578505372385723,4.147649735566048,28.24204131950507,0,0,2.2221580096871625,-841.4900512695312,1.2079146205678102,1.608910186780318,8.597457436289453,0,0,2.034761986658768,0,-2.149935916670762,0.2430873797505151,0.0,False,200,0.2115262556266453,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45391,esmfold,3388,-598.67333984375,3.4002429988308496,4.168337366878843,31.186612157269884,0,2,1.7621319369498851,-866.3776245117188,1.1749486370027176,1.5486830238394864,9.86863349450955,0,0,2.044705665740924,0,-2.225294361828132,0.252784071292984,0.0,False,200,0.3517849171287389,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45395,esmfold,3444,-586.7508544921875,3.3178554207871804,4.188660932616408,12.951933795835158,0,0,2.022412921458761,-859.7869873046875,1.2727483054678548,1.6095830678041088,11.694894107011033,0,0,2.0354721126291566,0,-2.045107115319325,0.2359754223835188,0.0,False,200,0.5917912827490702,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45402,esmfold,3597,-616.7063598632812,3.390853073395692,4.166769394072168,27.142475228048617,0,0,2.008128351247556,-899.992919921875,1.2300081084401788,1.617837242778517,13.425686285688686,0,0,2.032797061939943,0,-2.160844964955513,0.2425411276465188,0.0,False,200,0.6539222074080131,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45405,esmfold,3402,-560.4085083007812,3.3479551461825405,4.171449739676545,17.81145739117635,0,7,1.5441044185971222,-847.6041870117188,1.2980236151612146,1.713491383323678,14.990081528141886,0,1,1.8258450236743649,0,-2.049931531021326,0.2503949607409426,0.0,False,200,1.412181494199567,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45407,esmfold,3416,-606.8487548828125,3.266164685852913,4.151206206358566,12.885700758533748,0,1,1.9386337520946173,-867.9234008789062,1.2082864127973314,1.5636841244055677,11.732903693844683,0,0,2.033190486554513,0,-2.0578782730555814,0.2430246635284982,0.0,False,200,0.8177376682968881,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45409,esmfold,3453,-586.8125610351562,3.3955321726354883,4.165380938977207,27.394257457191365,0,0,2.06352874683526,-861.2398681640625,1.2307677910504915,1.702243725165155,9.80639622336593,0,0,2.031944488379116,0,-2.1647643815849964,0.2324245653742455,0.0,False,200,2.287204197555497,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45411,esmfold,3392,-572.4312744140625,5.349334385119615,4.210884849072129,171.43467479446804,1,4,1.4172548722825975,-872.4183349609375,1.2371007591283991,1.606228789310331,17.291558604816508,0,0,2.034579052135872,-1,-4.112233625991216,0.2529620045249623,0.0,False,200,0.3674861390949893,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45425,esmfold,3531,-626.865478515625,3.2512851508937537,4.130975721819879,12.25852950080051,0,1,1.912705935045405,-896.6923828125,1.1896370528912492,1.4717974273033216,11.64004104742338,0,0,2.029963778234846,0,-2.0616480980025047,0.2348954558402492,0.0,False,200,0.4631180137517491,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45429,esmfold,3459,-603.8917236328125,3.4534736533124444,4.166929088728036,29.23568170263716,0,1,1.6917538652572952,-881.5665283203125,1.241974991978571,1.6701238812366086,12.191621253036754,0,1,1.6917538652572952,0,-2.2114986613338736,0.2447904760512466,0.0,False,200,1.0426100191528271,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
