generator,feature,meaning,units,single_delta_vs_PLM_CV,loo_MAE_without_minus_full_CV,single_CV_MAE,single_delta_vs_PLM_Public,single_delta_vs_PLM_Private,single_boot_vs_PLM_lo,single_boot_vs_PLM_hi
ESMFold,exposed_TYR_count,Exposed Tyr count (SASA threshold),count,-0.006104783207408426,-0.0006356233490085739,0.4907455819948386,-0.004752125068230195,-0.007253261378823539,-0.012772581091500914,0.0008119993084892892
ESMFold,exposed_TRP_count,Exposed Trp count,count,0.004232018718458241,-0.0007235037289587409,0.5010823839207053,-0.003757441428122621,0.0014840607889887725,0.0004676672405110827,0.008076319701826826
ESMFold,exposed_PHE_count,Exposed Phe count,count,-0.0009913395156556648,-0.0003305373219584795,0.49585902568659135,0.004472218529461336,0.00038460269411233483,-0.004951460947039793,0.00299723952385274
ESMFold,exposed_aromatic_total_count,Exposed Y+W+F count,count,-0.009664462932287843,-0.00016869002708796987,0.48718590226995917,-0.004056269155866765,-0.006036442436811451,-0.019297869493080103,-1.0347958196939827e-05
ESMFold,aromatic_exposed_SASA_total,Total exposed aromatic SASA,Angstrom^2,-0.025166592858341164,0.0004224608466449342,0.47168377234390585,-0.021334963277119368,-0.012177041935571287,-0.04062793364506111,-0.009650315232347042
ESMFold,aromatic_exposed_SASA_fraction,Exposed aromatic SASA / total SASA,fraction,-0.022830366680006486,0.00018034977822711795,0.4740199985222405,-0.017976663950959093,-0.011212620707954035,-0.037342065175007794,-0.007746762795462591
ESMFold,strongly_exposed_aromatic_count,Strongly exposed aromatic residue count,count,-0.03160147862422552,0.0018638722390914575,0.4652488865780215,-0.028489096385851065,-0.01642942972858924,-0.052020404958243935,-0.011184616439115915
ESMFold,strongly_exposed_aromatic_SASA,Strongly exposed aromatic SASA,Angstrom^2,-0.035751764188135526,0.004384540489289546,0.4610986010141115,-0.027051809407452554,-0.01627407605901393,-0.05624690148254642,-0.014586006911926819
ESMFold,CDR_exposed_aromatic_count,CDR exposed aromatic count,count,-0.015200795391023703,0.00012050619661635453,0.4816495698112233,-0.014342442698767055,-0.007786304313197767,-0.02630532868369385,-0.004132881142407512
ESMFold,CDR_aromatic_SASA,CDR aromatic exposed SASA,Angstrom^2,-0.029063046770512357,0.0006766504161890841,0.46778731843173466,-0.033296181187926155,-0.013139077869594062,-0.045173539411018135,-0.012404708140149972
ESMFold,CDR_aromatic_fraction,CDR aromatic SASA / aromatic exposed SASA,fraction,-0.002966115393636337,-0.0015669196042886746,0.4938842498086107,-0.005679737952253516,-0.0002593083498118598,-0.007980346276401071,0.0020521768374714144
ESMFold,aromatic_patch_count,Number of aromatic surface patches,count,-0.0001820063480661438,0.00026162640974974893,0.49666835885418087,0.0006495820952205911,-0.0015587650693130173,-0.002697778775210426,0.002433473602050237
ESMFold,largest_aromatic_patch_n_res,Residues in largest aromatic patch,count,-0.00501222777714605,-0.0002950577252271991,0.49183813742510096,-0.0037546544315356645,-0.0003744600569537959,-0.012392307131448795,0.002151579444441806
ESMFold,largest_aromatic_patch_exposed_SASA,Exposed SASA of largest aromatic patch,Angstrom^2,-0.011829226836463647,-0.0014672890489068613,0.48502113836578337,-0.015160990037269895,-0.00913553989368715,-0.025032529970676076,0.0008885853651607841
ESMFold,max_local_aromatic_SASA,Max local-neighborhood aromatic SASA,Angstrom^2,-0.021511790245062834,-0.0021327048022593,0.4753385749571842,-0.023558639369843593,-0.026366513988451745,-0.03832007032525893,-0.004797095359882876
ABB2,exposed_TYR_count,Exposed Tyr count (SASA threshold),count,-0.009749522147664447,6.807687713206168e-05,0.48710084305458257,-0.021129529200878294,-0.015204911698624035,-0.021432834475788195,0.00207479606379113
ABB2,exposed_TRP_count,Exposed Trp count,count,0.004105272520257497,-0.001382735000831914,0.5009556377225045,-0.0010299038515115821,0.0008451122945641321,-0.00010090644658667377,0.008640009435511149
ABB2,exposed_PHE_count,Exposed Phe count,count,0.00014631783599494685,0.00023379082883728808,0.49699668303824196,-6.897884548684452e-05,-0.00014839600684057874,-0.0005555880077379949,0.0008580442092587389
ABB2,exposed_aromatic_total_count,Exposed Y+W+F count,count,-0.007266474963948721,-0.0007463526045417557,0.4895838902382983,-0.023524315091666526,-0.01476489818143173,-0.019919379275447565,0.00540163690612491
ABB2,aromatic_exposed_SASA_total,Total exposed aromatic SASA,Angstrom^2,-0.02529644762368305,0.0009023290419409302,0.47155391757856396,-0.039313585589843325,-0.02406472276483934,-0.04393260920241489,-0.007225360647810218
ABB2,aromatic_exposed_SASA_fraction,Exposed aromatic SASA / total SASA,fraction,-0.02204738782601312,0.00038531862101348624,0.4748029773762339,-0.03669867492870138,-0.022625485999933193,-0.03916490303536299,-0.0049998084487499865
ABB2,strongly_exposed_aromatic_count,Strongly exposed aromatic residue count,count,-0.018678581985448584,-0.00022630991572814008,0.47817178321679843,-0.016330617899755207,-0.01627236789105385,-0.03394963264128598,-0.0032319316580041503
ABB2,strongly_exposed_aromatic_SASA,Strongly exposed aromatic SASA,Angstrom^2,-0.026447186111097698,0.004074421858669075,0.4704031790911493,-0.020174701383151916,-0.019859817218990217,-0.04434324665323286,-0.009391782697301204
ABB2,CDR_exposed_aromatic_count,CDR exposed aromatic count,count,-0.0033638623948804014,0.0006717704541081004,0.4934865028073666,-0.021109056447922936,-0.00924265998417756,-0.013432903972105234,0.00693296528264289
ABB2,CDR_aromatic_SASA,CDR aromatic exposed SASA,Angstrom^2,-0.02035724670276262,-0.00043397808068196264,0.4764931184994844,-0.03887912317440262,-0.015099494681199255,-0.03775446344283874,-0.003825160073011725
ABB2,CDR_aromatic_fraction,CDR aromatic SASA / aromatic exposed SASA,fraction,9.440993191667246e-07,-0.0008345468642398379,0.4968513093015662,-0.0011449121238293891,-4.727998585540849e-05,-0.0029803572391458974,0.0028904135621083513
ABB2,aromatic_patch_count,Number of aromatic surface patches,count,0.0014423546136257404,-0.0018391605436144376,0.49829271981587275,-0.002497148241181524,-0.0015783444585960593,-0.0023791400743464657,0.00529394691349159
ABB2,largest_aromatic_patch_n_res,Residues in largest aromatic patch,count,-0.0018990932664503801,-0.0017452613745180257,0.49495127193579663,-0.01093617613625164,-0.003022053483949405,-0.017355953088865325,0.01308431669253351
ABB2,largest_aromatic_patch_exposed_SASA,Exposed SASA of largest aromatic patch,Angstrom^2,-0.011377371031035033,0.0006355342635357419,0.485472994171212,-0.02438535111555118,-0.004660831517289743,-0.03169560800253776,0.008584270278190404
ABB2,max_local_aromatic_SASA,Max local-neighborhood aromatic SASA,Angstrom^2,-0.01946608417500406,0.0015109153052735858,0.47738428102724295,-0.03596205801207275,-0.019335309198532935,-0.03852618579875366,-0.0003616628621516442
Boltz2,exposed_TYR_count,Exposed Tyr count (SASA threshold),count,-0.007224988519376696,-0.00027042985175657064,0.4896253766828703,-0.013800165658071628,-0.0009782497612101926,-0.01642436020195868,0.002448678800879662
Boltz2,exposed_TRP_count,Exposed Trp count,count,0.0031305791944165606,-0.0011248415980735782,0.4999809443966636,-0.002883582409293095,0.0005242811936724823,-0.000903548475440162,0.0073407207655106985
Boltz2,exposed_PHE_count,Exposed Phe count,count,-0.0006822962041613811,-0.0007738926631519205,0.49616806899808563,0.0017681865499492577,0.0006740878041576748,-0.0031289024550601534,0.0018446092496328117
Boltz2,exposed_aromatic_total_count,Exposed Y+W+F count,count,-0.00907213382952754,-0.0001233083457930495,0.4877782313727195,-0.015543646483174411,-0.0012096711261164739,-0.020749424738810862,0.002422349534445673
Boltz2,aromatic_exposed_SASA_total,Total exposed aromatic SASA,Angstrom^2,-0.030184743332456243,0.0006801991393063367,0.46666562186979077,-0.043107047715919944,-0.0023186522418182087,-0.04762052874055634,-0.012465918502166235
Boltz2,aromatic_exposed_SASA_fraction,Exposed aromatic SASA / total SASA,fraction,-0.028285730257742336,0.0003728513517566312,0.4685646349445047,-0.03880368289834335,-0.002521389364296023,-0.04508085761517171,-0.010865318992212842
Boltz2,strongly_exposed_aromatic_count,Strongly exposed aromatic residue count,count,-0.03356582549703491,0.001305041545531127,0.4632845397052121,-0.03904446569508113,-0.009001850190563265,-0.051783707645746226,-0.015315783385689287
Boltz2,strongly_exposed_aromatic_SASA,Strongly exposed aromatic SASA,Angstrom^2,-0.03949593489668529,0.0040250969634066935,0.4573544303055617,-0.043127713246909116,-0.011222780146240119,-0.05873490753550867,-0.019659355405358767
Boltz2,CDR_exposed_aromatic_count,CDR exposed aromatic count,count,0.0005900777730377671,0.0005211239039593085,0.4974404429752848,-0.010662422796015036,0.0010262939587301623,-0.00670892924120835,0.00819178338595909
Boltz2,CDR_aromatic_SASA,CDR aromatic exposed SASA,Angstrom^2,-0.017789756508909793,-2.6405579086064e-05,0.4790606086933372,-0.037984281476416526,0.0034920239709620438,-0.03304280291194321,-0.002609056882818516
Boltz2,CDR_aromatic_fraction,CDR aromatic SASA / aromatic exposed SASA,fraction,-0.001963615835924859,-0.0011496745620925286,0.49488674936632215,0.002882038315637825,-9.416216823715517e-05,-0.005969904693171993,0.0020782665946215183
Boltz2,aromatic_patch_count,Number of aromatic surface patches,count,-0.003475796124249808,-0.001035397346761724,0.4933745690779972,-0.0022791328103081154,0.0027879641861974225,-0.011442318329002856,0.00474954385579771
Boltz2,largest_aromatic_patch_n_res,Residues in largest aromatic patch,count,0.0003207973513807416,0.0021078069069685457,0.49717116255362775,-0.008156967308425411,-0.00018441787128598008,-0.007913992072539702,0.008466486831304191
Boltz2,largest_aromatic_patch_exposed_SASA,Exposed SASA of largest aromatic patch,Angstrom^2,-0.015132120218182776,0.003597221381613669,0.48171824498406424,-0.031595296304883946,0.0011055196376872356,-0.03410613052627573,0.003734093802629746
Boltz2,max_local_aromatic_SASA,Max local-neighborhood aromatic SASA,Angstrom^2,-0.026440847060520856,0.0026627442144439017,0.47040951814172616,-0.02970827356695288,0.012085850825252153,-0.046006223983174346,-0.006674154197350166
