fold,model,train_mae,val_mae,gap,seed_mae_sd,weight_norm_mean,n_params,pred_sd_over_true_sd
0,M3_MULTIPLICATIVE_R1,0.30026809227735296,0.6805978564787971,-0.38032976420144415,0.001609863212847934,3.64145004104424,112,1.1654041972494789
0,M3_MULTIPLICATIVE_R2,0.17995868309475269,0.6433275019724507,-0.463368818877698,0.030697919180314052,5.213013627190605,159,1.0677708764772764
0,M3_MULTIPLICATIVE_R4,0.04985821821094183,0.6024280891697327,-0.5525698709587908,0.027633688615707704,6.203021886930077,253,1.1277263481090571
0,M4_FILM_R1,0.29145041394517485,0.557364187794555,-0.26591377384938014,0.03981788191346373,4.404094027905353,176,0.9897663027335394
0,M4_FILM_R2,0.16648770633846297,0.6101468140664698,-0.44365910772800676,0.03188898324264713,6.035157110218568,255,1.210999443974131
0,M4_FILM_R4,0.04711884357636488,0.5810653960153798,-0.5339465524390149,0.012004811296058881,7.07247275297123,413,1.0716069940191655
0,M4_ADD_ONLY_R2,0.3891115946861276,0.31945991088259207,0.06965168380353554,0.00015393675231738308,3.2397676578074543,159,0.7518842352464731
0,B0_PLM_ONLY,0.44383480226900596,0.39956799318298564,0.04426680908602032,,,33,0.3786198770148702
0,B1_CURRENT_CONCAT,0.4094410129299174,0.36373739508358677,0.045703617846330646,,,48,0.5459049616192723
0,M2_FULL_BILINEAR_ELASTICNET,0.10778173745580592,0.4647460351709922,-0.3569642977151863,,,528,0.6131160782812777
1,M3_MULTIPLICATIVE_R1,0.2674130551467784,0.5655300141555366,-0.29811695900875823,0.014462966853074272,3.6774453058568226,112,1.0458802902376914
1,M3_MULTIPLICATIVE_R2,0.15825477369968227,0.6295813888288347,-0.47132661512915247,0.11055159464246529,5.160694948440176,159,1.170138034386945
1,M3_MULTIPLICATIVE_R4,0.05197751350358378,0.7008965869883372,-0.6489190734847534,0.05968454287848532,6.505530471747083,253,1.2651562990423768
1,M4_FILM_R1,0.2512857219546816,0.6120092157708864,-0.36072349381620483,0.0049713272656122616,4.204050378118116,176,1.1111169125265774
1,M4_FILM_R2,0.16412498225344535,0.6365756066817009,-0.47245062442825553,0.04921015626988322,5.608750861658288,255,1.23397638270657
1,M4_FILM_R4,0.04608574884948587,0.6696941254793632,-0.6236083766298773,0.027330472932786305,7.176278171725899,413,1.20349929327956
1,M4_ADD_ONLY_R2,0.3485803170336057,0.4435874691639577,-0.09500715213035199,0.00025587105160174926,2.51247507345037,159,0.7277223977600972
1,B0_PLM_ONLY,0.4160743691768482,0.5272385455132798,-0.11116417633643155,,,33,0.33151738240297257
1,B1_CURRENT_CONCAT,0.3713917640011372,0.4691258166699628,-0.09773405266882557,,,48,0.5053897146943288
1,M2_FULL_BILINEAR_ELASTICNET,0.44083673665149053,0.5099234886483703,-0.0690867519968798,,,528,0.32212831337262066
