method,n_comp_requested,fold_a,fold_b,mean_cos2,min_cos2,projection_frobenius
scale_before,32,0,1,0.8507486456252111,0.09922103237938075,3.0906450265254493
scale_before,32,0,2,0.8538655456382445,0.03872908615157344,3.0582029166084364
scale_before,32,0,3,0.8442687815683718,0.037469858514616254,3.1570235950376104
scale_before,32,0,4,0.8494140071048948,0.024594819859271717,3.1044328862590578
scale_before,32,1,2,0.8431037159678159,0.022601003942850785,3.1688108460524744
scale_before,32,1,3,0.837751534867172,0.0023750407779999758,3.2224062078671887
scale_before,32,1,4,0.8446033307559324,0.05742260972920657,3.1536307379939577
scale_before,32,2,3,0.8500432681326505,0.059462629455177225,3.097939773383331
scale_before,32,2,4,0.8536420112205829,0.10876130120072618,3.0605410113054656
scale_before,32,3,4,0.8473485486367438,0.027429643603694688,3.1256507941944545
scale_before,64,0,1,0.818063058871474,0.0018450057977436364,4.825756776346208
scale_before,64,0,2,0.8141356981560042,0.005549286565206996,4.877564006349015
scale_before,64,0,3,0.8170655496291716,2.1160399013390367e-05,4.838967828728142
scale_before,64,0,4,0.810226339074305,0.0022656414404566938,4.928592963360737
scale_before,64,1,2,0.81916145543329,0.006866413839514013,4.811167603039708
scale_before,64,1,3,0.8121086024246367,0.000506449067265081,4.904090016470594
scale_before,64,1,4,0.801750448026548,0.0016407298564538422,5.037453985159751
scale_before,64,2,3,0.8239663994443067,0.01371976585962013,4.746820079919683
scale_before,64,2,4,0.8086764525434698,0.004285779240785498,4.948678012806646
scale_before,64,3,4,0.8115351474698852,0.0017380685645269555,4.9115680921529155
center_only,32,0,1,0.8666712331373903,0.008240531464803403,2.9211369497521056
center_only,32,0,2,0.8667668584912199,0.0003675820426318479,2.9200892206509614
center_only,32,0,3,0.8613094930440878,0.04138155026149764,2.9792939507840406
center_only,32,0,4,0.8582778822412718,0.05728086028081034,3.011679852932349
center_only,32,1,2,0.8705880233002465,0.14629826494370313,2.87791009393696
center_only,32,1,3,0.8510237025676985,0.000350262720495562,3.08779582156387
center_only,32,1,4,0.8462067642920512,0.008785561220002744,3.137318454557766
center_only,32,2,3,0.8608965726841757,0.026180519212667487,2.9837257494972222
center_only,32,2,4,0.8602154946695721,0.05296160777821074,2.991021287310975
center_only,32,3,4,0.8527350924991565,0.0016437740501141654,3.0700088078137524
center_only,64,0,1,0.8254019824309449,0.022110981541170388,4.727424906737183
center_only,64,0,2,0.8197935262547493,0.00032107593317211595,4.802752194251968
center_only,64,0,3,0.8247286266663351,0.00107927691774043,4.7365320421917465
center_only,64,0,4,0.812867313843664,0.0008803129455711076,4.894178565194686
center_only,64,1,2,0.8207661479484925,0.00797108805592846,4.789773800775247
center_only,64,1,3,0.8166686438178214,0.0025095285027192968,4.844214445224207
center_only,64,1,4,0.8039158546217251,0.0016863457606796288,5.009867324432778
center_only,64,2,3,0.8282493318333068,0.00546395920097546,4.688718964209386
center_only,64,2,4,0.8112602342204942,0.002121693731364158,4.915149033323075
center_only,64,3,4,0.8144629401076569,0.0006672509811110353,4.873268273573698
