feature,cv_R2,pearson,spearman,nrmse,family,generator,target,plm
exposed_TYR_count,0.21100088474219614,0.5020863764318431,0.4997787739019224,0.8882562216257561,AROMATIC-TOPO,ABB2,HIC,ESM2_H
exposed_TRP_count,-0.022875481692370414,0.25907205306722086,0.2550096376956694,1.0113730675124708,AROMATIC-TOPO,ABB2,HIC,ESM2_H
exposed_PHE_count,-0.03175113125234863,0.18199082551221024,0.20132303654669442,1.015751510582228,AROMATIC-TOPO,ABB2,HIC,ESM2_H
exposed_aromatic_total_count,0.14269549318917274,0.4215295224222464,0.40873554897160874,0.9259073964548761,AROMATIC-TOPO,ABB2,HIC,ESM2_H
aromatic_exposed_SASA_total,0.2352112668409665,0.5085834130914123,0.422584646911134,0.8745220026729035,AROMATIC-TOPO,ABB2,HIC,ESM2_H
aromatic_exposed_SASA_fraction,0.2015092431896396,0.48007938708466624,0.40249604480065937,0.8935831000648505,AROMATIC-TOPO,ABB2,HIC,ESM2_H
strongly_exposed_aromatic_count,0.15865616402708738,0.4288435488061086,0.37104433377832713,0.9172479686383573,AROMATIC-TOPO,ABB2,HIC,ESM2_H
strongly_exposed_aromatic_SASA,0.19690673355426003,0.4647844007499539,0.413671006652707,0.8961547112221923,AROMATIC-TOPO,ABB2,HIC,ESM2_H
CDR_exposed_aromatic_count,0.15099741586071114,0.42565690227314074,0.4269459874397549,0.9214133622528486,AROMATIC-TOPO,ABB2,HIC,ESM2_H
CDR_aromatic_SASA,0.2589593798244815,0.5241369819395846,0.4277839169810362,0.8608371624038483,AROMATIC-TOPO,ABB2,HIC,ESM2_H
CDR_aromatic_fraction,-0.003071534208986648,0.22966131647274532,0.2899093103360067,1.001534589615494,AROMATIC-TOPO,ABB2,HIC,ESM2_H
aromatic_patch_count,-0.06412533561731837,0.1927063967698914,0.20919627315897027,1.0315645087030083,AROMATIC-TOPO,ABB2,HIC,ESM2_H
largest_aromatic_patch_n_res,0.0858372738215234,0.3657384489296041,0.31584603123392974,0.9561185732830992,AROMATIC-TOPO,ABB2,HIC,ESM2_H
largest_aromatic_patch_exposed_SASA,0.1530388028053451,0.43043122535893974,0.3574385268170277,0.9203049479355435,AROMATIC-TOPO,ABB2,HIC,ESM2_H
max_local_aromatic_SASA,0.2280187489864649,0.5068318080947081,0.4476495319386757,0.8786246360155877,AROMATIC-TOPO,ABB2,HIC,ESM2_H
