feature,cv_R2,pearson,spearman,nrmse,family,generator,target,plm
exposed_TYR_count,0.28959319518751214,0.5548567090601213,0.5163147758744513,0.8428563369944518,AROMATIC-TOPO,ESMFold,HIC,ESM2_H
exposed_TRP_count,-0.08266683456690527,0.19585514328607917,0.15192583006429544,1.0405127748201506,AROMATIC-TOPO,ESMFold,HIC,ESM2_H
exposed_PHE_count,-0.15489886915330087,0.03764691686494174,0.00525372582158067,1.0746622116511226,AROMATIC-TOPO,ESMFold,HIC,ESM2_H
exposed_aromatic_total_count,0.08146259125114641,0.3666085096246101,0.3561468689757968,0.9584035730045621,AROMATIC-TOPO,ESMFold,HIC,ESM2_H
aromatic_exposed_SASA_total,0.19045378220113252,0.4662698258491104,0.4345045804101552,0.8997478634589022,AROMATIC-TOPO,ESMFold,HIC,ESM2_H
aromatic_exposed_SASA_fraction,0.15593500078887623,0.43646901077754474,0.4182095825200653,0.918730101345172,AROMATIC-TOPO,ESMFold,HIC,ESM2_H
strongly_exposed_aromatic_count,0.09192434790034654,0.3862767420886112,0.3609700563555774,0.9529300352584332,AROMATIC-TOPO,ESMFold,HIC,ESM2_H
strongly_exposed_aromatic_SASA,0.1146707753680023,0.40380562821604377,0.36993554617898755,0.9409193507586006,AROMATIC-TOPO,ESMFold,HIC,ESM2_H
CDR_exposed_aromatic_count,0.24943819691758584,0.5152530835152688,0.5072230604231505,0.8663497002258519,AROMATIC-TOPO,ESMFold,HIC,ESM2_H
CDR_aromatic_SASA,0.28001125026973117,0.5432184465555264,0.5175574156635774,0.8485215081129412,AROMATIC-TOPO,ESMFold,HIC,ESM2_H
CDR_aromatic_fraction,-0.05040683637321508,0.2270337681113623,0.20760616679832114,1.0248935731862243,AROMATIC-TOPO,ESMFold,HIC,ESM2_H
aromatic_patch_count,0.016504557519160468,0.26596879621497144,0.28131086196005656,0.9917133872643761,AROMATIC-TOPO,ESMFold,HIC,ESM2_H
largest_aromatic_patch_n_res,0.1870467199791327,0.4665455776764184,0.45604657759184963,0.9016392183237916,AROMATIC-TOPO,ESMFold,HIC,ESM2_H
largest_aromatic_patch_exposed_SASA,0.22450574436218296,0.49972946515762506,0.43926916666313837,0.8806215166788773,AROMATIC-TOPO,ESMFold,HIC,ESM2_H
max_local_aromatic_SASA,0.23151977926766465,0.506122406257564,0.45499964011567107,0.8766300364077905,AROMATIC-TOPO,ESMFold,HIC,ESM2_H
