feature,cv_R2,pearson,spearman,nrmse,family,generator,target,plm
mean_H_surface,0.16973238573761362,0.4329361019989044,0.3868982345909526,0.9111902183822889,HYDRO-FIELD,ABB2,HIC,ESM2_H
q75_H_surface,0.03924759774149178,0.3053011888179683,0.24608890413104872,0.9801797805064275,HYDRO-FIELD,ABB2,HIC,ESM2_H
q90_H_surface,0.19800816394757947,0.4671327177102496,0.44279462177568335,0.8955399689355115,HYDRO-FIELD,ABB2,HIC,ESM2_H
q95_H_surface,0.16836803603898653,0.43482515872036626,0.40017302674011124,0.9119385746273215,HYDRO-FIELD,ABB2,HIC,ESM2_H
max_H_surface,-0.1416340271599068,0.09367378394393282,0.12294636594449879,1.0684727545143948,HYDRO-FIELD,ABB2,HIC,ESM2_H
positive_H_area_fraction,0.131116503142793,0.3959547706252142,0.4114014178031249,0.9321392046289926,HYDRO-FIELD,ABB2,HIC,ESM2_H
top10_H_mean,0.16593448992488613,0.4342549236718596,0.3986939727137113,0.91327187080709,HYDRO-FIELD,ABB2,HIC,ESM2_H
top10_H_area_fraction,-0.12175523809867594,0.13906215410480244,0.1340279806537475,1.059129470649898,HYDRO-FIELD,ABB2,HIC,ESM2_H
high_H_patch_count,0.1918368053353593,0.465970696977521,0.4577127363115214,0.8989789734273136,HYDRO-FIELD,ABB2,HIC,ESM2_H
largest_high_H_patch_area_fraction,-0.19256460441857337,-0.058008001857607565,-0.00359178673395798,1.0920460625756148,HYDRO-FIELD,ABB2,HIC,ESM2_H
largest_high_H_patch_n_vertices,-0.21820596842036277,-0.08031698843159381,-0.08171459817313455,1.1037236830015433,HYDRO-FIELD,ABB2,HIC,ESM2_H
CDR_mean_H,0.16054744065540694,0.4250471316050943,0.4405054751813888,0.9162164369226621,HYDRO-FIELD,ABB2,HIC,ESM2_H
CDR_q90_H,0.07645264051254597,0.34204011539988377,0.3398535905871195,0.9610137144960311,HYDRO-FIELD,ABB2,HIC,ESM2_H
CDR_high_H_area_fraction,0.17714211196552154,0.44698359294878526,0.43167066773361784,0.9071151459484772,HYDRO-FIELD,ABB2,HIC,ESM2_H
