feature,cv_R2,pearson,spearman,nrmse,family,generator,target,plm
mean_abs_delta_pKa,-0.10905229765003166,0.05867027376814145,0.06247168557117876,1.0531155196035487,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
rms_delta_pKa,-0.1456148733285878,-0.07298104306260335,-0.08457563992373275,1.070334000821415,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
max_abs_delta_pKa,-0.04970484887130966,0.09835216535328695,0.1166161995257926,1.0245510474688453,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
mean_signed_delta_pKa,0.17077009955423272,0.4251178770728462,0.3993685794165922,0.910620612787482,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
frac_abs_delta_ge_1,-0.07161565312771967,0.14233738358342887,0.13582014061122266,1.0351887040966454,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
frac_abs_delta_ge_2,-0.07423144647774294,0.06518150275348504,0.05593507561148196,1.0364513719511768,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
max_positive_delta_pKa,-0.0506398416616487,0.10652423636211655,0.1345749440883995,1.0250072398085088,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
max_negative_magnitude_delta_pKa,-0.03099364629599699,0.17440177875920154,0.24350301582443193,1.01537857289444,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
acidic_mean_abs_delta,-0.003588711118994281,0.23537044551425249,0.24091221503864876,1.0017927485795572,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
acidic_mean_signed_delta,0.13545262838757444,0.3859104688696438,0.4068457055920379,0.9298103955127993,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
basic_mean_abs_delta,0.16421970785593287,0.4103613432164312,0.42580243620521024,0.9142102012836316,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
basic_mean_signed_delta,0.051592960341667826,0.2734939761146156,0.24459855961589758,0.973861920217362,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
cdr_mean_abs_delta,-0.08789313861270931,0.053040756553662194,0.11653619095603623,1.0430211592321479,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
cdr_max_abs_delta,-0.07546900635429954,0.05770027605703876,0.06717380566754029,1.0370482179498037,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
cdr_frac_abs_ge_1,-0.08724718580465485,0.06341532827652331,0.10396454809878904,1.0427114585491881,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
framework_mean_abs_delta,-0.0854129278353335,0.13585063217413398,0.1613087379271473,1.0418315256393518,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
cdr_minus_framework_mean_abs_delta,-0.07557718580444805,0.0893376563808324,0.1077875495459019,1.0371003740228528,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
interface_mean_abs_delta,-0.13814526086194356,-0.03452142330758956,-0.022716526053210746,1.066838910453615,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
interface_max_abs_delta,-0.14319595698067045,-0.04737681274042391,-0.024130504728816105,1.0692034217008055,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
interface_frac_abs_ge_1,-0.18494607573294886,-0.08529200389616134,-0.11840535255842752,1.0885522843294728,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
interface_minus_noninterface_mean_abs_delta,-0.15216535488507454,-0.0657778987472976,-0.10806267914830198,1.0733896565930794,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
buried_mean_abs_delta,-0.11039655156995631,0.00015732160332531655,0.010775367805574683,1.0537535535212075,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
buried_max_abs_delta,-0.041102988633557436,0.11253560975652782,0.12301106776346377,1.0203445440789856,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
buried_frac_abs_ge_1,-0.06954290898030013,0.12630344247616002,0.12640241897283766,1.034187076381359,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
buried_minus_exposed_mean_abs_delta,-0.11162326774296671,-0.03994721821562174,-0.04102540218837898,1.0543354626174588,PKA-SHIFT_CORRECTED,ABB2,TmApp,AbLang2_HL_paired
