feature,cv_R2,pearson,spearman,nrmse,family,generator,target,plm
mean_abs_delta_pKa,-0.05155924593955197,0.14098250598325385,0.11868287887910903,1.0254556284506684,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
rms_delta_pKa,-0.09448890859081915,0.07447547176030109,0.0586329193957895,1.0461782393932664,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
max_abs_delta_pKa,-0.1015801368977447,0.0802603442765535,0.05820370167814276,1.0495618785455387,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
mean_signed_delta_pKa,0.18201978891851134,0.43749027484954817,0.4091263843197692,0.9044225843433147,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
frac_abs_delta_ge_1,0.09519693113014549,0.32549959819001223,0.31858951976969574,0.9512113691653544,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
frac_abs_delta_ge_2,-0.060251665831717593,0.09882464135945965,0.10871069227002741,1.0296852265472611,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
max_positive_delta_pKa,-0.09130612306993835,0.09229927567237782,0.07628715971544353,1.0446559831199305,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
max_negative_magnitude_delta_pKa,-0.029700270789177807,0.1708356791444602,0.12630102217118447,1.0147414797803131,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
acidic_mean_abs_delta,-0.04005489694133568,0.18615430862149193,0.19286849887911342,1.0198308177969369,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
acidic_mean_signed_delta,0.03848278048206588,0.2589498513410803,0.2997243709433627,0.9805698442782926,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
basic_mean_abs_delta,0.17064245443320158,0.4167617106119139,0.45801452381283003,0.9106906969736858,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
basic_mean_signed_delta,0.06633739185404042,0.3064315287657183,0.2511752693134395,0.9662621839512707,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
cdr_mean_abs_delta,0.013122772834209817,0.23899924801383476,0.24794336690842422,0.9934169452751916,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
cdr_max_abs_delta,-0.0545259087353569,0.14860289084804196,0.14361633438822535,1.026901119258393,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
cdr_frac_abs_ge_1,-0.0054979314983332195,0.19042042200045955,0.17022223853576898,1.0027451976854496,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
framework_mean_abs_delta,0.045368258554537855,0.27064369521600706,0.26816463226172477,0.9770525786403864,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
cdr_minus_framework_mean_abs_delta,0.061247208980623635,0.2962530767296378,0.30367604200626336,0.968892559066363,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
interface_mean_abs_delta,-0.24742940806938685,-0.21093438907040205,-0.2525505917579502,1.116883793447652,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
interface_max_abs_delta,-0.25079404339824984,-0.18792962995965498,-0.2394884222268434,1.118389039375623,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
interface_frac_abs_ge_1,-0.2286873274444583,-0.18550296238952824,-0.20746841727294968,1.1084616941663186,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
interface_minus_noninterface_mean_abs_delta,-0.25426111383922545,-0.2187709909963008,-0.12297609025626137,1.119937995531863,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
buried_mean_abs_delta,-0.08365839551498055,0.10991027317069416,0.112115964609963,1.0409891428376978,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
buried_max_abs_delta,-0.10016805615409297,0.08241080879919464,0.05631528771697459,1.04888896273743,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
buried_frac_abs_ge_1,-0.03411297331612517,0.15488514248770324,0.13124541734458667,1.016913454179866,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
buried_minus_exposed_mean_abs_delta,-0.05685296259222339,0.13428878021572058,0.1480168962164161,1.0280335415654578,PKA-SHIFT_CORRECTED,Boltz2,TmApp,AbLang2_HL_paired
