feature,cv_R2,pearson,spearman,nrmse,family,generator,target,plm
buried_polar_count,0.19891345287085738,0.44857443525917673,0.45626326950699403,0.8950343832103378,POLAR-SAT,Boltz2,TmApp,AbLang2_HL_paired
buried_unsatisfied_polar_count,0.10930538812474089,0.3474818551553446,0.3371068236322881,0.9437661849604685,POLAR-SAT,Boltz2,TmApp,AbLang2_HL_paired
fraction_buried_polar_unsatisfied,0.029337663871291664,0.24839434442012104,0.218094206755738,0.9852219729912438,POLAR-SAT,Boltz2,TmApp,AbLang2_HL_paired
buried_unsatisfied_per_100_res,0.05077233709871265,0.2750096801255622,0.2512370544611408,0.9742831533492443,POLAR-SAT,Boltz2,TmApp,AbLang2_HL_paired
VH_buried_unsat_count,0.14302804687743964,0.3867410787749926,0.4250493144726342,0.9257277964510076,POLAR-SAT,Boltz2,TmApp,AbLang2_HL_paired
VL_buried_unsat_count,-0.06470675710162088,0.14172854055177408,0.13762087994193395,1.0318462855972366,POLAR-SAT,Boltz2,TmApp,AbLang2_HL_paired
CDR_buried_unsat_count,0.1747145130245117,0.4197035111944859,0.4377456241258946,0.9084522480433428,POLAR-SAT,Boltz2,TmApp,AbLang2_HL_paired
framework_buried_unsat_count,-0.0314236174602589,0.1828728898900616,0.15264226210235443,1.0155902803097356,POLAR-SAT,Boltz2,TmApp,AbLang2_HL_paired
interface_buried_unsat_count,-0.0903131842414735,0.0642923546235625,0.09442692395053799,1.0441806281667536,POLAR-SAT,Boltz2,TmApp,AbLang2_HL_paired
donor_unsat_count,0.11340054962439694,0.35479846916342356,0.3385555950175517,0.9415941006480598,POLAR-SAT,Boltz2,TmApp,AbLang2_HL_paired
acceptor_unsat_count,0.09621052101518668,0.33113900511423355,0.34335031211141226,0.9506784309031258,POLAR-SAT,Boltz2,TmApp,AbLang2_HL_paired
