feature,cv_R2,pearson,spearman,nrmse,family,generator,target,plm
internal_cavity_count,0.17555983140455533,0.4206429556427565,0.3767996550737357,0.9079868768839107,VOID-EXPLICIT,ABB2,TmApp,AbLang2_HL_paired
total_internal_cavity_volume,-0.009364325186129951,0.19630899161926013,0.19079457501752217,1.0046712522940575,VOID-EXPLICIT,ABB2,TmApp,AbLang2_HL_paired
max_internal_cavity_volume,-0.11343799705113167,0.06312634483292542,0.11327581646519862,1.0551957150458413,VOID-EXPLICIT,ABB2,TmApp,AbLang2_HL_paired
mean_internal_cavity_volume,-0.14841428667196777,0.020881029511715624,0.05869100336376382,1.0716409317826265,VOID-EXPLICIT,ABB2,TmApp,AbLang2_HL_paired
max_internal_cavity_depth,-0.027869158342693545,0.17387337228409072,0.17378629391748182,1.0138388226645554,VOID-EXPLICIT,ABB2,TmApp,AbLang2_HL_paired
mean_internal_cavity_depth,-0.06162964169922702,0.1267893241536045,0.1367779985301698,1.0303541341193825,VOID-EXPLICIT,ABB2,TmApp,AbLang2_HL_paired
internal_cavity_area_total,0.024846211196235535,0.24149260632220115,0.21957473577172795,0.9874987538238943,VOID-EXPLICIT,ABB2,TmApp,AbLang2_HL_paired
volume_per_residue,-0.011010598703278474,0.19362805107750294,0.18983257315181878,1.0054902280472748,VOID-EXPLICIT,ABB2,TmApp,AbLang2_HL_paired
interface_cavity_volume,-0.0676936530097394,0.12933750417001993,0.12070913068790108,1.0332926269986242,VOID-EXPLICIT,ABB2,TmApp,AbLang2_HL_paired
interface_cavity_count,0.13567675785181665,0.3777831628175881,0.3175247820470605,0.9296898634199956,VOID-EXPLICIT,ABB2,TmApp,AbLang2_HL_paired
