feature,cv_R2,pearson,spearman,nrmse,family,generator,target,plm
internal_cavity_count,-0.08987750851715726,0.07440796388998953,0.012076924405771914,1.0439719864607375,VOID-EXPLICIT,Boltz2,TmApp,AbLang2_HL_paired
total_internal_cavity_volume,-0.18036244947265923,-0.07766144828363677,-0.04247170386605807,1.0864448672034064,VOID-EXPLICIT,Boltz2,TmApp,AbLang2_HL_paired
max_internal_cavity_volume,-0.22697243186152938,-0.12072158696968453,-0.07141608849689023,1.1076878765525464,VOID-EXPLICIT,Boltz2,TmApp,AbLang2_HL_paired
mean_internal_cavity_volume,-0.23301336658006755,-0.13065606796252438,-0.10822305485980278,1.1104113501671453,VOID-EXPLICIT,Boltz2,TmApp,AbLang2_HL_paired
max_internal_cavity_depth,-0.2075823582744083,-0.12783859424571897,-0.11507074322998528,1.0989005224647233,VOID-EXPLICIT,Boltz2,TmApp,AbLang2_HL_paired
mean_internal_cavity_depth,-0.19282762909222817,-0.1379176247880653,-0.1427377179027398,1.0921664841447762,VOID-EXPLICIT,Boltz2,TmApp,AbLang2_HL_paired
internal_cavity_area_total,-0.16011721983584914,-0.04382433254795777,-0.05325726203156133,1.0770873779948487,VOID-EXPLICIT,Boltz2,TmApp,AbLang2_HL_paired
volume_per_residue,-0.17887857701672538,-0.07354622268553514,-0.043679500952064285,1.0857617496528327,VOID-EXPLICIT,Boltz2,TmApp,AbLang2_HL_paired
interface_cavity_volume,-0.16686495652577515,-0.06272554172060929,-0.0360933713466075,1.080215236203296,VOID-EXPLICIT,Boltz2,TmApp,AbLang2_HL_paired
interface_cavity_count,-0.10283272675138289,0.04122181317762919,0.017693944268147008,1.050158429356537,VOID-EXPLICIT,Boltz2,TmApp,AbLang2_HL_paired
