feature,cv_R2,pearson,spearman,nrmse,family,generator,target,plm
internal_cavity_count,0.050948052589855575,0.25453975923159017,0.2624239844283646,0.9741929723665251,VOID-EXPLICIT,ESMFold,TmApp,AbLang2_HL_paired
total_internal_cavity_volume,-0.03465944130876508,0.1464334053922147,0.1335777173815501,1.0171821082327133,VOID-EXPLICIT,ESMFold,TmApp,AbLang2_HL_paired
max_internal_cavity_volume,-0.08489987133302268,0.07277225229515796,0.05404977530533938,1.0415852683928462,VOID-EXPLICIT,ESMFold,TmApp,AbLang2_HL_paired
mean_internal_cavity_volume,-0.08766343354012451,0.0698355954073479,0.021659057427200885,1.0429110381715665,VOID-EXPLICIT,ESMFold,TmApp,AbLang2_HL_paired
max_internal_cavity_depth,-0.014643454256830113,0.1801420862299985,0.17607235673122154,1.0072951177564595,VOID-EXPLICIT,ESMFold,TmApp,AbLang2_HL_paired
mean_internal_cavity_depth,-0.06682279099811916,0.09235890515177687,0.1008537953726781,1.0328711395888723,VOID-EXPLICIT,ESMFold,TmApp,AbLang2_HL_paired
internal_cavity_area_total,0.009394248898566215,0.20851134640540783,0.1895738453765824,0.995291791939136,VOID-EXPLICIT,ESMFold,TmApp,AbLang2_HL_paired
volume_per_residue,-0.037774298351878066,0.141508123279536,0.1356052559011315,1.018712078237841,VOID-EXPLICIT,ESMFold,TmApp,AbLang2_HL_paired
interface_cavity_volume,-0.05609889546303548,0.11241189246696894,0.09966076041558786,1.0276667239251334,VOID-EXPLICIT,ESMFold,TmApp,AbLang2_HL_paired
interface_cavity_count,0.045353830782589255,0.23733509289679233,0.2240399917572132,0.9770599619343381,VOID-EXPLICIT,ESMFold,TmApp,AbLang2_HL_paired
