block,shape,matched_ids,all_nan,finite_frac,variance,fingerprint
SEQ_BASIC,"[162, 78]",162,False,1.0,999.1732319353,4491fe970a08e29e
AbLang2_HL_paired,"[162, 480]",162,False,1.0,0.031946802483110666,372cf1771e29e623
TmApp_BASE,"[162, 558]",162,False,1.0,144.30933661067021,3d9ec0d262407387
BIOEMU_NEW_PAIRWISE,"[162, 10]",162,False,1.0,0.2452255277515479,6ca4433ddd090755
M1_PROTEINMPNN,"[162, 1]",162,False,1.0,0.005088069454254369,90af80207d2c1513
AbLingua_HL_mean,"[162, 2560]",162,False,1.0,0.5681311156490528,25f06a5405a30094
AROMATIC_TOPO,"[162, 19]",162,False,1.0,35178.35392440376,c85374b3d732558c
HIC_BASE,"[162, 1395]",162,False,1.0,58.6109408346243,4098c18ab9b0e1bb
HIC_BASE_ARO,"[162, 1414]",162,False,1.0,645.4943897653131,5fd082f786c7775f
CONTINUOUS_SURFACE,"[162, 45]",162,False,1.0,17920.262402050295,b5a2d949987cb937
TITRATION_SHAPE,"[162, 18]",162,False,1.0,539.4905053443498,27027e8ca53fe6de
HYDRO_FIELD,"[162, 16]",162,False,1.0,52168.90151202845,59d6d57656b5793d
OPENMM_MD,"[158, 36]",158,False,1.0,930450.8321264001,2cd2196a7353293c
OPENMM_AROMATIC_EXPOSURE,"[158, 7]",158,False,1.0,175613.10217558604,887ccb8c530775e9
OPENMM_DOMAIN_FLEXIBILITY,"[158, 8]",158,False,1.0,0.3544693737371542,ac76048a88cd0793
OPENMM_GLOBAL_DYNAMICS,"[158, 5]",158,False,1.0,80.20243336837144,fa479ca7e1452888
OPENMM_HYDROPHOBIC_EXPOSURE,"[158, 4]",158,False,1.0,4237902.900212852,3e937446c519cca1
OPENMM_INTERFACE_DYNAMICS,"[158, 12]",158,False,1.0,0.06426446608068555,33d87aa09a254ec0
AbLingua_CDR3,"[162, 2560]",162,False,1.0,0.622456622685322,93949045b85dfcf7
INTERIM_CONSTANT,"[100, 20]",100,False,1.0,1385.684931085743,faeb116f3262fd52
