target,family,subfamily,structure_source,scope,N,feature_dim,standalone_primary_mae,standalone_shadow_mae,reference,incremental_primary_mae,incremental_shadow_mae,delta_primary,delta_shadow,bootstrap_ci_low,bootstrap_ci_high,artifact_status,prep_sensitivity,generator_robustness,verdict,notes
HIC,CONT_SURFACE_FV_BM,incr_esm2,fv_esmfold,fv_esmfold,162,15,0.5559927337712215,0.5609686364378538,incr_esm2,0.5049987255620989,0.4951402861598004,0.0560942608605508,0.0462358214582523,,,NOT_TRIGGERED_NO_POSITIVE_INCREMENT,PREP_DEPENDENT,median_spearman=0.45,NO_SIGNAL,
HIC,CONT_SURFACE_FV_BM,incr_esm2_aro,fv_esmfold,fv_esmfold,162,15,0.5559927337712215,0.5609686364378538,incr_esm2_aro,0.491592368759193,0.4818817870428129,0.0355290957751258,0.0258185140587457,,,NOT_TRIGGERED_NO_POSITIVE_INCREMENT,PREP_DEPENDENT,median_spearman=0.45,NO_SIGNAL,
HIC,CONT_SURFACE_FV_BM,incr_incumbent,fv_esmfold,fv_esmfold,162,15,0.5559927337712215,0.5609686364378538,incr_incumbent,0.4795225868955154,0.4820597462567821,0.0543448881246049,0.0568820474858716,,,NOT_TRIGGERED_NO_POSITIVE_INCREMENT,PREP_DEPENDENT,median_spearman=0.45,NO_SIGNAL,
HIC,CONT_SURFACE_FV_BM,residual,fv_esmfold,fv_esmfold,162,15,0.5559927337712215,0.5609686364378538,residual,0.4696102090209987,0.4733920311666879,0.0444325102500882,0.0482143323957774,,,NOT_TRIGGERED_NO_POSITIVE_INCREMENT,PREP_DEPENDENT,median_spearman=0.45,NO_SIGNAL,
HIC,CONT_SURFACE_FV_ESMFOLD,incr_esm2,fv_esmfold,fv_esmfold,162,43,0.5720388522005061,0.5756144375478316,incr_esm2,0.509377473812998,0.5224521567044643,0.0604730091114499,0.0735476920029162,,,NOT_TRIGGERED_NO_POSITIVE_INCREMENT,PREP_DEPENDENT,median_spearman=0.45,NO_SIGNAL,
HIC,CONT_SURFACE_FV_ESMFOLD,incr_esm2_aro,fv_esmfold,fv_esmfold,162,43,0.5720388522005061,0.5756144375478316,incr_esm2_aro,0.5118577739608748,0.5204977494343247,0.0557945009768076,0.0644344764502575,,,NOT_TRIGGERED_NO_POSITIVE_INCREMENT,PREP_DEPENDENT,median_spearman=0.45,NO_SIGNAL,
HIC,CONT_SURFACE_FV_ESMFOLD,incr_incumbent,fv_esmfold,fv_esmfold,162,43,0.5720388522005061,0.5756144375478316,incr_incumbent,0.49565017162147,0.506226588386041,0.0704724728505595,0.0810488896151304,,,NOT_TRIGGERED_NO_POSITIVE_INCREMENT,PREP_DEPENDENT,median_spearman=0.45,NO_SIGNAL,
HIC,CONT_SURFACE_FV_ESMFOLD,residual,fv_esmfold,fv_esmfold,162,43,0.5720388522005061,0.5756144375478316,residual,0.4880260246163717,0.4995486450833825,0.0628483258454612,0.0743709463124719,,,NOT_TRIGGERED_NO_POSITIVE_INCREMENT,PREP_DEPENDENT,median_spearman=0.45,NO_SIGNAL,
HIC,CONT_SURFACE_FV_FP,incr_esm2,fv_esmfold,fv_esmfold,162,15,0.5564822649453137,0.5700433472268791,incr_esm2,0.5049737928203099,0.5111626883451971,0.0560693281187618,0.062258223643649,,,NOT_TRIGGERED_NO_POSITIVE_INCREMENT,PREP_DEPENDENT,median_spearman=0.45,NO_SIGNAL,
HIC,CONT_SURFACE_FV_FP,incr_esm2_aro,fv_esmfold,fv_esmfold,162,15,0.5564822649453137,0.5700433472268791,incr_esm2_aro,0.4949761468915521,0.5013307282809275,0.0389128739074849,0.0452674552968603,,,NOT_TRIGGERED_NO_POSITIVE_INCREMENT,PREP_DEPENDENT,median_spearman=0.45,NO_SIGNAL,
HIC,CONT_SURFACE_FV_FP,incr_incumbent,fv_esmfold,fv_esmfold,162,15,0.5564822649453137,0.5700433472268791,incr_incumbent,0.4845484802249458,0.4995692605119755,0.0593707814540353,0.074391561741065,,,NOT_TRIGGERED_NO_POSITIVE_INCREMENT,PREP_DEPENDENT,median_spearman=0.45,NO_SIGNAL,
HIC,CONT_SURFACE_FV_FP,residual,fv_esmfold,fv_esmfold,162,15,0.5564822649453137,0.5700433472268791,residual,0.4728611226012108,0.4824581893400084,0.0476834238303003,0.0572804905690979,,,NOT_TRIGGERED_NO_POSITIVE_INCREMENT,PREP_DEPENDENT,median_spearman=0.45,NO_SIGNAL,
HIC,CONT_SURFACE_FV_KD,incr_esm2,fv_esmfold,fv_esmfold,162,13,0.5877507818130102,0.5921353543497939,incr_esm2,0.4989534492351377,0.5052043075723437,0.0500489845335896,0.0562998428707956,,,NOT_TRIGGERED_NO_POSITIVE_INCREMENT,PREP_DEPENDENT,median_spearman=0.45,NO_SIGNAL,
HIC,CONT_SURFACE_FV_KD,incr_esm2_aro,fv_esmfold,fv_esmfold,162,13,0.5877507818130102,0.5921353543497939,incr_esm2_aro,0.4746802125556879,0.4755640744729946,0.0186169395716206,0.0195008014889274,,,NOT_TRIGGERED_NO_POSITIVE_INCREMENT,PREP_DEPENDENT,median_spearman=0.45,NO_SIGNAL,
HIC,CONT_SURFACE_FV_KD,incr_incumbent,fv_esmfold,fv_esmfold,162,13,0.5877507818130102,0.5921353543497939,incr_incumbent,0.4712812462456878,0.4859986725160625,0.0461035474747773,0.060820973745152,,,NOT_TRIGGERED_NO_POSITIVE_INCREMENT,PREP_DEPENDENT,median_spearman=0.45,NO_SIGNAL,
HIC,CONT_SURFACE_FV_KD,residual,fv_esmfold,fv_esmfold,162,13,0.5877507818130102,0.5921353543497939,residual,0.4761271083497512,0.4812646957744923,0.0509494095788407,0.0560869970035818,,,NOT_TRIGGERED_NO_POSITIVE_INCREMENT,PREP_DEPENDENT,median_spearman=0.45,NO_SIGNAL,
HIC,DELTA_PATCH_CONTEXT,incr_esm2,fv_vs_fab,fv_vs_fab,162,43,0.5956378024939504,0.5990427315339031,incr_esm2,0.5244637288200106,0.518094356399393,0.0755592641184625,0.069189891697845,,,NOT_TRIGGERED_NO_POSITIVE_INCREMENT,PREP_DEPENDENT,median_spearman=0.45,NO_SIGNAL,
