scale,feat,vs,spearman,median_abs
KD,hydro_area_total,abb2,0.8172196201917565,31.22312014425148
KD,hydro_area_total,boltz2,0.8178808005433393,23.67866714574774
KD,patch_area_max,abb2,0.1108443809372602,2.716334525455202
KD,patch_area_max,boltz2,0.13585668545420868,2.546934704926705
KD,n_patches,abb2,0.8351242100782102,9.0
KD,n_patches,boltz2,0.818235925398412,7.0
KD,aro_frac_max,abb2,0.15733273149711519,0.0
KD,aro_frac_max,boltz2,0.2675536129978966,0.0
FP,hydro_area_total,abb2,0.6717765252749774,37.76964659260153
FP,hydro_area_total,boltz2,0.6265901052278763,32.32094424499121
FP,patch_area_max,abb2,-0.00886101629135685,2.714632676182285
FP,patch_area_max,boltz2,0.1293020384042056,2.538709013685991
FP,n_patches,abb2,0.7129524496939208,11.0
FP,n_patches,boltz2,0.6650627075907889,9.0
FP,aro_frac_max,abb2,0.10901105810341036,0.0
FP,aro_frac_max,boltz2,0.05929184382586053,0.0
BM,hydro_area_total,abb2,0.7136485759395977,37.76635163044335
BM,hydro_area_total,boltz2,0.6941691584416043,31.37714694237451
BM,patch_area_max,abb2,-0.041936263484251106,2.7835810571555033
BM,patch_area_max,boltz2,0.11207818440016584,2.5823461896025846
BM,n_patches,abb2,0.7531663181669254,13.0
BM,n_patches,boltz2,0.703565201222946,9.0
BM,aro_frac_max,abb2,0.09940530785443889,0.0
BM,aro_frac_max,boltz2,0.045665748602958675,0.0
