id,S3_hydro_n,S3_hydro_n_edges,S3_hydro_density,S3_hydro_mean_deg,S3_hydro_max_deg,S3_hydro_clustering,S3_hydro_largest_n,S3_hydro_largest_sasa,S3_aro_in_largest_hydro,S3_largest_hydro_heavy_frac,S3_aromatic_n,S3_aromatic_n_edges,S3_aromatic_density,S3_aromatic_mean_deg,S3_aromatic_max_deg,S3_aromatic_clustering,S3_aromatic_largest_n,S3_aromatic_largest_sasa,S3_charged_n,S3_charged_n_edges,S3_charged_density,S3_charged_mean_deg,S3_charged_max_deg,S3_charged_clustering,S3_charged_largest_n,S3_charged_largest_sasa,S3_exposed_n,S3_exposed_n_edges,S3_exposed_density,S3_exposed_mean_deg,S3_exposed_max_deg,S3_exposed_clustering,S3_exposed_largest_n,S3_exposed_largest_sasa
ADI-37123,22,5,0.021645021645021644,0.45454545454545453,2.0,0.0,3,1.1600000000000001,0.0,1.0,3.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,2,0.6,26,10,0.03076923076923077,0.7692307692307693,2.0,0.11538461538461539,3,1.56,114,163,0.025306629405371837,2.8596491228070176,5.0,0.49883040935672507,38,16.68
ADI-37124,21,8,0.0380952380952381,0.7619047619047619,2.0,0.2857142857142857,3,1.04,1.0,1.0,4.0,1.0,0.16666666666666666,0.5,1.0,0.0,2,0.76,27,12,0.03418803418803419,0.8888888888888888,2.0,0.2222222222222222,3,1.08,112,161,0.0259009009009009,2.875,6.0,0.5497023809523809,30,12.759999999999998
ADI-37125,23,7,0.02766798418972332,0.6086956521739131,2.0,0.13043478260869565,3,1.12,0.0,1.0,3.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,2,0.6799999999999999,28,15,0.03968253968253968,1.0714285714285714,3.0,0.4047619047619047,4,1.6799999999999997,123,183,0.024390243902439025,2.975609756097561,6.0,0.5249322493224932,30,13.360000000000001
ADI-38498,22,7,0.030303030303030304,0.6363636363636364,3.0,0.10606060606060605,4,1.8399999999999999,0.0,0.0,6.0,1.0,0.06666666666666667,0.3333333333333333,1.0,0.0,2,1.04,28,9,0.023809523809523808,0.6428571428571429,2.0,0.10714285714285714,3,1.48,112,153,0.024613899613899613,2.732142857142857,5.0,0.5017857142857143,25,11.68
ADI-38499,27,8,0.022792022792022793,0.5925925925925926,3.0,0.08641975308641975,4,1.8,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.52,17,5,0.03676470588235294,0.5882352941176471,1.0,0.0,2,0.68,118,168,0.024337244676227728,2.847457627118644,6.0,0.5497175141242938,29,12.68
ADI-38500,27,7,0.019943019943019943,0.5185185185185185,1.0,0.0,2,0.56,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.43999999999999995,21,9,0.04285714285714286,0.8571428571428571,2.0,0.0,3,1.48,117,164,0.024167403477748307,2.8034188034188032,6.0,0.5245014245014245,34,15.399999999999999
ADI-38501,29,8,0.019704433497536946,0.5517241379310345,1.0,0.0,2,0.56,0.0,1.0,6.0,1.0,0.06666666666666667,0.3333333333333333,1.0,0.0,2,1.08,23,9,0.03557312252964427,0.782608695652174,2.0,0.13043478260869565,3,1.52,117,177,0.026083112290008842,3.0256410256410255,6.0,0.5113960113960113,31,13.92
ADI-38502,28,8,0.021164021164021163,0.5714285714285714,2.0,0.0,3,1.2799999999999998,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.52,23,7,0.02766798418972332,0.6086956521739131,2.0,0.0,3,1.48,119,175,0.024925224327018942,2.9411764705882355,6.0,0.5019607843137255,31,14.0
ADI-38503,21,4,0.01904761904761905,0.38095238095238093,3.0,0.11111111111111112,4,1.76,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.48,24,7,0.025362318840579712,0.5833333333333334,2.0,0.0,3,1.1600000000000001,112,155,0.024935649935649937,2.767857142857143,5.0,0.49613095238095234,30,13.839999999999998
ADI-45368,20,2,0.010526315789473684,0.2,1.0,0.0,2,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.48,27,12,0.03418803418803419,0.8888888888888888,4.0,0.12962962962962962,5,2.36,117,176,0.025935750073681107,3.0085470085470085,6.0,0.5527065527065527,32,13.919999999999998
