[2026-09-02T10:01:36+00:00] msa=16 cif=14
[2026-09-02T10:11:36+00:00] msa=26 cif=24
[2026-09-02T10:21:36+00:00] msa=36 cif=35
[2026-09-02T10:31:36+00:00] msa=46 cif=45
[2026-09-02T10:41:36+00:00] msa=56 cif=55
[2026-09-02T10:51:36+00:00] msa=66 cif=65
[2026-09-02T11:01:36+00:00] msa=75 cif=75
[2026-09-02T11:11:36+00:00] msa=85 cif=85
[2026-09-02T11:21:36+00:00] msa=94 cif=94
[2026-09-02T11:31:37+00:00] msa=103 cif=102
[2026-09-02T11:41:37+00:00] msa=112 cif=111
[2026-09-02T11:51:37+00:00] msa=121 cif=121
[2026-09-02T12:01:37+00:00] msa=131 cif=130
[2026-09-02T12:11:37+00:00] msa=141 cif=140
[2026-09-02T12:21:37+00:00] msa=151 cif=150
[2026-09-02T12:31:37+00:00] msa=161 cif=160
[2026-09-02T12:41:37+00:00] msa=170 cif=169
[2026-09-02T12:51:37+00:00] msa=180 cif=179
[2026-09-02T13:01:37+00:00] msa=189 cif=188
[2026-09-02T13:11:37+00:00] msa=199 cif=198
[2026-09-02T13:21:37+00:00] msa=208 cif=207
[2026-09-02T13:31:37+00:00] msa=219 cif=218
[2026-09-02T13:41:37+00:00] msa=228 cif=228
[2026-09-02T13:51:37+00:00] msa=238 cif=237
[2026-09-02T14:01:37+00:00] msa=247 cif=246
[2026-09-02T14:11:37+00:00] msa=257 cif=256
[2026-09-02T14:21:37+00:00] msa=266 cif=265
[2026-09-02T14:31:37+00:00] msa=276 cif=275
[2026-09-02T14:41:37+00:00] msa=285 cif=285
[2026-09-02T14:51:37+00:00] msa=294 cif=294
[2026-09-02T15:01:37+00:00] msa=301 cif=300
[2026-09-02T15:11:37+00:00] msa=312 cif=310
[2026-09-02T15:21:37+00:00] msa=320 cif=320
