target,scheme,model_a,model_b,short_a,short_b,pred_pearson,residual_pearson,residual_spearman,mean_abs_pred_disagreement
TmApp,primary,TM_PARENT_ABLINGUA_CDR3__RIDGE,TM_PARENT_ABLINGUA_GLOBAL__RIDGE,T1,T2,0.9964887553079829,0.9972343283670024,0.9955910641426778,0.2063726614891101
TmApp,primary,TM_PARENT_ABLINGUA_CDR3__RIDGE,TM_BASE_BIOEMU_MPNN__RIDGE,T1,T3,0.9817623922067258,0.985421806357785,0.97443551084522,0.4764355220240933
TmApp,primary,TM_PARENT_ABLINGUA_GLOBAL__RIDGE,TM_BASE_BIOEMU_MPNN__RIDGE,T2,T3,0.9901323265229629,0.992114001631908,0.986135279813594,0.3478550697850488
TmApp,shadow,TM_PARENT_ABLINGUA_CDR3__RIDGE,TM_PARENT_ABLINGUA_GLOBAL__RIDGE,T1,T2,0.9952830127615754,0.9963475338047253,0.9935446630565328,0.2533538257088804
TmApp,shadow,TM_PARENT_ABLINGUA_CDR3__RIDGE,TM_BASE_BIOEMU_MPNN__RIDGE,T1,T3,0.9785846636121627,0.9837280925252074,0.9748306779515101,0.524989977577243
TmApp,shadow,TM_PARENT_ABLINGUA_GLOBAL__RIDGE,TM_BASE_BIOEMU_MPNN__RIDGE,T2,T3,0.9904797608497516,0.9927006173750276,0.9886022516057191,0.34526218904517325
HIC,primary,HIC_HYDRO_TITRATION__LASSO,HIC_ARO_CONTINUOUS_SURFACE__LASSO,H1,H2,0.9181794863433679,0.9722586501069463,0.9437056230867913,0.09936787282386697
HIC,primary,HIC_HYDRO_TITRATION__LASSO,HIC_ESM2_SEQ_AROMATIC__LASSO,H1,H3,0.9595070359829734,0.9860928997138,0.9641922149257438,0.07241521331346631
HIC,primary,HIC_ARO_CONTINUOUS_SURFACE__LASSO,HIC_ESM2_SEQ_AROMATIC__LASSO,H2,H3,0.9508717813019425,0.9839734394376521,0.9703455312951177,0.06326834386176118
HIC,shadow,HIC_HYDRO_TITRATION__LASSO,HIC_ARO_CONTINUOUS_SURFACE__LASSO,H1,H2,0.9070461707964235,0.9647317592008366,0.9298239671672586,0.11039947091649324
HIC,shadow,HIC_HYDRO_TITRATION__LASSO,HIC_ESM2_SEQ_AROMATIC__LASSO,H1,H3,0.9148903721280466,0.96658310044807,0.9379502964458952,0.10653723226923902
HIC,shadow,HIC_ARO_CONTINUOUS_SURFACE__LASSO,HIC_ESM2_SEQ_AROMATIC__LASSO,H2,H3,0.9902003673576745,0.9974358573015369,0.9920119792085649,0.03254528541368528
