experiment_code,experiment_id,family,representation,topology,annotation,notes,cv_primary_mae,cv_shadow_mae,cv_mean_mae,public_mae,private_mae,test_overall_mae,abs_PS,abs_pub_priv,is_factorial_200,is_surfaceish,provenance,candidate_class,cv_pct,test_pct
EXP-H001,LIN_HIC_HYDRO_TITRATION_LASSO,LINEAR,,,,canonical Top-3 Linear; overall_derivation=authoritative_overall_test_mae local_solution_check pub=0.470238 priv=0.464171 overall=0.467205 | prior_reproduction_status=PASS | promoted RESULT_VERIFIED->REPRODUCED: FULL training repro pred_delta from artifact_completion.log,0.4872225781431885,0.4833719610538652,0.4852972695985268,0.4702379457310565,0.4641712708181718,0.4672046082746142,0.0038506170893232716,0.006066674912884706,False,False,retrospective_historical,other,0.10029498525073746,0.23156342182890854
EXP-H002,LIN_HIC_CONTINUOUS_SURFACE_LASSO,LINEAR,,,,canonical Top-3 Linear; overall_derivation=authoritative_overall_test_mae local_solution_check pub=0.479931 priv=0.475744 overall=0.477838 | prior_reproduction_status=PASS | promoted RESULT_VERIFIED->REPRODUCED: FULL training repro pred_delta from artifact_completion.log,0.4822073134231601,0.4898232886862832,0.4860153010547217,0.4799310265774686,0.4757443667060864,0.4778376966417775,0.0076159752631231314,0.004186659871382226,False,True,retrospective_historical,B_internal_stable,0.10619469026548672,0.44542772861356933
EXP-H003,LIN_HIC_ESM2_SEQ_AROMATIC_LASSO,LINEAR,,,,canonical Top-3 Linear; overall_derivation=authoritative_overall_test_mae local_solution_check pub=0.479935 priv=0.475745 overall=0.47784 | prior_reproduction_status=PASS | promoted RESULT_VERIFIED->REPRODUCED: FULL training repro pred_delta from artifact_completion.log,0.4927303900206625,0.4808724742416768,0.4868014321311696,0.4799350305277475,0.4757445162156721,0.4778397733717098,0.011857915778985706,0.0041905143120754,False,False,retrospective_historical,B_internal_stable,0.11799410029498525,0.4528023598820059
EXP-H004,LIN_HIC_CONSTANT_RIDGE,LINEAR,,,,"constant/no-feature baseline; test predictions available under endgame_model_benchmark/predictions (not materialized in Phase 1) overall_derivation=mean(public,private) | prior_reproduction_status=REPLAYED_CANONICAL",0.5181666666666666,0.5176481481481482,0.5179074074074074,0.5348641975308641,0.5100864197530864,0.5224753086419753,0.0005185185185183627,0.024777777777777676,False,False,retrospective_historical,other,0.3584070796460177,0.948377581120944
EXP-H005,LIN_HIC_CONSTANT_LASSO,LINEAR,,,,"constant/no-feature baseline; test predictions available under endgame_model_benchmark/predictions (not materialized in Phase 1) overall_derivation=mean(public,private) | prior_reproduction_status=REPLAYED_CANONICAL",0.5181666666666666,0.5176481481481482,0.5179074074074074,0.5348641975308641,0.5100864197530864,0.5224753086419753,0.0005185185185183627,0.024777777777777676,False,False,retrospective_historical,other,0.3584070796460177,0.948377581120944
EXP-H006,LIN_HIC_SEQ_RIDGE,LINEAR,,,,"test predictions available under endgame_model_benchmark/predictions (not materialized in Phase 1) overall_derivation=mean(public,private) | prior_reproduction_status=REPLAYED_CANONICAL",0.5294019506021663,0.5267730257826606,0.5280874881924135,0.573304245586205,0.5616270776725183,0.5674656616293616,0.002628924819505718,0.01167716791368667,False,False,retrospective_historical,other,0.5486725663716814,0.9852507374631269
EXP-H007,LIN_HIC_SEQ_LASSO,LINEAR,,,,"test predictions available under endgame_model_benchmark/predictions (not materialized in Phase 1) overall_derivation=mean(public,private) | CV exact; max score delta 0.01103357605182087 | prior_reproduction_status=REPLAYED_CANONICAL | score_delta=0.01103357605182087 | test_from_endgame_historical; OOF reproduced CV-matched",0.5540465691985519,0.5297944310922993,0.5419205001454256,0.573675344304176,0.5358017065509938,0.554738525427585,0.024252138106252596,0.0378736377531822,False,False,retrospective_historical,other,0.8200589970501475,0.9734513274336283
EXP-H008,LIN_HIC_ESM2_H_RIDGE,LINEAR,,,,"test predictions available under endgame_model_benchmark/predictions (not materialized in Phase 1) overall_derivation=mean(public,private) | prior_reproduction_status=REPLAYED_CANONICAL",0.5229088078790238,0.5307516570536218,0.5268302324663228,0.5535090166290058,0.5872916053476068,0.5704003109883062,0.007842849174597988,0.03378258871860107,False,False,retrospective_historical,other,0.5191740412979351,0.9882005899705014
EXP-H009,LIN_HIC_ESM2_H_LASSO,LINEAR,,,,"test predictions available under endgame_model_benchmark/predictions (not materialized in Phase 1) overall_derivation=mean(public,private) | prior_reproduction_status=REPLAYED_CANONICAL",0.5144546157057649,0.4888306190268648,0.5016426173663149,0.5302534821978132,0.5169309822146028,0.523592232206208,0.025623996678900085,0.013322499983210445,False,False,retrospective_historical,other,0.1592920353982301,0.9557522123893806
EXP-H010,LIN_HIC_ESM2_SEQ_RIDGE,LINEAR,,,,"test predictions available under endgame_model_benchmark/predictions (not materialized in Phase 1) overall_derivation=mean(public,private) | prior_reproduction_status=REPLAYED_CANONICAL",0.5345340354876716,0.5590613977325137,0.5467977166100927,0.5461955610547622,0.6101561605446991,0.5781758607997307,0.024527362244842088,0.06396059948993693,False,False,retrospective_historical,other,0.8908554572271387,0.9941002949852508
