experiment_code,experiment_id,family,representation,topology,annotation,notes,cv_primary_mae,cv_shadow_mae,cv_mean_mae,public_mae,private_mae,test_overall_mae,abs_PS,abs_pub_priv,is_factorial_200,is_surfaceish,provenance
EXP-H033,TRF_HIC_ESM2_FULL_HONLY_FUS_ESM2_SEQ_ARO,TRANSFORMER,,,,Phase2A historical Transformer backfill; representation_status=HISTORICAL_UNAVAILABLE; representation_aggregation_future=UNDECIDED; group=phase1_fus | prior_reproduction_status=PASS,0.4345258935528036,0.4424008218270761,0.4384633576899398,0.4129469598840785,0.4980453283992814,0.4554961441416799,0.007874928274272497,0.08509836851520292,False,False,retrospective_historical
EXP-H030,TRF_HIC_SCRATCH_FULL_HONLY_FUS_ESM2_SEQ_ARO,TRANSFORMER,,,,Phase2A historical Transformer backfill; representation_status=HISTORICAL_UNAVAILABLE; representation_aggregation_future=UNDECIDED; group=phase1_fus | prior_reproduction_status=PASS,0.4422034926708832,0.4413279370437435,0.4417657148573134,0.3976063614833502,0.4800338898646977,0.438820125674024,0.0008755556271397014,0.08242752838134748,False,False,retrospective_historical
EXP-H020,LIN_HIC_HYDRO_TITRATION_RIDGE,LINEAR,,,,"test predictions available under endgame_model_benchmark/predictions (not materialized in Phase 1) overall_derivation=mean(public,private) | prior_reproduction_status=REPLAYED_CANONICAL",0.5196694539611038,0.5503511666325119,0.5350103102968078,0.4981619585425452,0.5700450055437412,0.5341034820431432,0.03068171267140818,0.07188304700119597,False,False,retrospective_historical
EXP-H026,TRF_HIC_ESM2_MIN_HONLY,TRANSFORMER,,,,Phase2A historical Transformer backfill; representation_status=HISTORICAL_UNAVAILABLE; representation_aggregation_future=UNDECIDED; group=phase1_seq | prior_reproduction_status=PASS,0.5287635114536364,0.5144555105044519,0.5216095109790442,0.4548230620019229,0.524322588791082,0.4895728253965024,0.014308000949184496,0.06949952678915905,False,False,retrospective_historical
EXP-H157,TRF_HIC_SCRATCH_IMGT_D_MEAN_V3,TRANSFORMER,scratch,FUSE,IMGT,factorial external diagnosis,0.5809086823640046,0.4639675837387274,0.522438133051366,0.46428249867757143,0.5325361486364293,0.4984093236570003,0.1169410986252772,0.06825364995885785,True,False,prospective_factorial
EXP-H178,TRF_HIC_ABLINGUA_REGION_D_MEAN_V3,TRANSFORMER,ablingua,FUSE,REGION,factorial external diagnosis,0.5176652206138328,0.5081101970908082,0.5128877088523205,0.45397212539484477,0.5210777711279598,0.48752494826140225,0.0095550235230246,0.06710564573311506,True,False,prospective_factorial
EXP-H304,TRF_HIC_CURRAB_UNPAIRED_BASE_B1_MEAN_V3,TRANSFORMER,currab_unpaired,JOINT,BASE,factorial external diagnosis,0.5496708508244266,0.5198900680541992,0.5347804594393128,0.43042399173312723,0.4965914347142347,0.46350771322368095,0.0297807827702273,0.0661674429811075,True,False,prospective_factorial
EXP-H099,TRF_HIC_ESM2_ARCH4_STATIC_SAP_KD_CHAIN9_V3,TRANSFORMER,,,,H061 ESM2 ARCH-4 + STATIC_SAP_KD SAP9 late fusion,0.5519959435168609,0.5074416799192076,0.5297188117180343,0.5311004990942685,0.4661452443629135,0.498622871728591,0.04455426359765324,0.064955254731355,False,True,retrospective_historical
EXP-H010,LIN_HIC_ESM2_SEQ_RIDGE,LINEAR,,,,"test predictions available under endgame_model_benchmark/predictions (not materialized in Phase 1) overall_derivation=mean(public,private) | prior_reproduction_status=REPLAYED_CANONICAL",0.5345340354876716,0.5590613977325137,0.5467977166100927,0.5461955610547622,0.6101561605446991,0.5781758607997307,0.024527362244842088,0.06396059948993693,False,False,retrospective_historical
EXP-H014,LIN_HIC_ESM2_SEQ_AROMATIC_RIDGE,LINEAR,,,,"test predictions available under endgame_model_benchmark/predictions (not materialized in Phase 1) overall_derivation=mean(public,private) | prior_reproduction_status=REPLAYED_CANONICAL",0.5283867651592855,0.5590561585035284,0.543721461831407,0.5278814647400112,0.5914815326294246,0.5596814986847178,0.0306693933442429,0.06360006788941341,False,False,retrospective_historical
EXP-H016,LIN_HIC_ARO_TITRATION_RIDGE,LINEAR,,,,"test predictions available under endgame_model_benchmark/predictions (not materialized in Phase 1) overall_derivation=mean(public,private) | prior_reproduction_status=REPLAYED_CANONICAL",0.5261663816363124,0.5503869855629042,0.5382766835996082,0.5201770021806655,0.5831413568426048,0.5516591795116352,0.024220603926591866,0.06296435466193928,False,False,retrospective_historical
EXP-H044,LIN_HIC_HIC_HYDRO_TITRATION_ESM2_RASA_CDR3_RIDGE,LINEAR,,,,CLASSICAL_FEATURE_REFINEMENT; no ensemble; CV-selected then postcomp evaluated | prior_reproduction_status=PASS,0.5125336302114634,0.548592556090264,0.5305630931508637,0.4994324384306775,0.560444759694613,0.5299385990626453,0.03605892587880066,0.06101232126393552,False,True,retrospective_historical
