representation_id,representation_family,inference_context,asset_key,path,model_checkpoint,revision,metadata_context,hl_treatment,residue_level_available,n_ids,missing_vs_population,hidden_dim,dtype,embedding_hash,ids_hash,status,blocker,notes
Scratch,Scratch,LEARNED_AA,N/A_SCRATCH,competition sequences (dev+test),,,,,N/A,324,0,,,,,OK_SCRATCH,,No PLM embedding; learned AA from sequences
AbLingua,AbLingua,SEPARATE_CHAIN,ablingua600m,top_models_feature_bundle/residue_level/ablingua600m,,,,"H,L",True,324,0,1280,float16,heavy:e5fd6155935a6cd6;light:856300f1fad2c609,356e4076ec0534d871b5db87801dd845ab84b71801f519d16355905b4779150f,OK,,
AbLang1,AbLang1,SEPARATE_CHAIN,ablang1,top_models_feature_bundle/residue_level/ablang1,res-codings (ablang.pretrained heavy/light),,SEPARATE_CHAIN,"H,L",True,324,0,768,float16,heavy:444a855a6cf27836;light:475be9285a71ce3f,356e4076ec0534d871b5db87801dd845ab84b71801f519d16355905b4779150f,OK,,
AbLang2_SEPARATE_CHAIN,AbLang2,SEPARATE_CHAIN,ablang2,top_models_feature_bundle/residue_level/ablang2,,,SEPARATE_CHAIN,"H,L",True,324,0,480,float16,heavy:689a5786ec3bbde6;light:c847f39bc5889e59,356e4076ec0534d871b5db87801dd845ab84b71801f519d16355905b4779150f,OK,,ablang2 SEPARATE_CHAIN inferred from TmApp audit (alloc paired); metadata field empty;
AbLang2_PAIRED_NATIVE,AbLang2,PAIRED_NATIVE,ablang2_unpaired,top_models_feature_bundle/residue_level/ablang2_unpaired,ablang2-paired (joint <H>|<L> inference),,PAIRED_NATIVE,"H,L",True,324,0,480,float16,heavy:250b2b17c40e73ae;light:2f6190b58c59432a,356e4076ec0534d871b5db87801dd845ab84b71801f519d16355905b4779150f,OK,,
ESM1b,ESM-1b,SEPARATE_CHAIN,esm1b,top_models_feature_bundle/residue_level/esm1b,facebook/esm1b_t33_650M_UR50S,,SEPARATE_CHAIN,"H,L",True,324,0,1280,float16,heavy:302ad0fab31459dd;light:dbc52735b63e4417,356e4076ec0534d871b5db87801dd845ab84b71801f519d16355905b4779150f,OK,,
ESM2,ESM-2,SEPARATE_CHAIN,esm2,top_models_feature_bundle/residue_level/esm2,facebook/esm2_t33_650M_UR50D,,,"H,L",True,324,0,1280,float16,heavy:daf68bb1acf9863e;light:fbff5754cd6536c0,356e4076ec0534d871b5db87801dd845ab84b71801f519d16355905b4779150f,OK,,
ESMC600M,ESM-C,SEPARATE_CHAIN,esmc600m,top_models_feature_bundle/residue_level/esmc600m,biohub/ESMC-600M,,SEPARATE_CHAIN,"H,L",True,324,0,1152,float16,heavy:d4711c74905b06e9;light:2a39eb1cc158cb89,356e4076ec0534d871b5db87801dd845ab84b71801f519d16355905b4779150f,OK,,
CurrAb_SEPARATE_CHAIN,CurrAb,SEPARATE_CHAIN,currab_unpaired,top_models_feature_bundle/residue_level/currab_unpaired,brineylab/CurrAb,92e28534663e163f1b398f773b3fe041085737d9,SEPARATE_CHAIN,"H,L",True,324,0,1280,float16,heavy:bbdbdd06328ddebd;light:6ce63b0dcc3d9799,356e4076ec0534d871b5db87801dd845ab84b71801f519d16355905b4779150f,OK,,
CurrAb_PAIRED_NATIVE,CurrAb,PAIRED_NATIVE,currab,top_models_feature_bundle/residue_level/currab,brineylab/CurrAb,92e28534663e163f1b398f773b3fe041085737d9,PAIRED_NATIVE,"H,L",True,324,0,1280,float16,heavy:e54479a1840d007c;light:ebb6e0d2055c6433,356e4076ec0534d871b5db87801dd845ab84b71801f519d16355905b4779150f,OK,,
