experiment_code,representation,topology,annotation,representation_context,cv_primary_mae,cv_shadow_mae,cv_mean_mae,cv_worst_mae,abs_PS,public_mae,private_mae,test_overall_mae,public_private_delta,public_private_gap,test_minus_cv_mean,high_n_high,high_mae_high,high_mean_signed_error,high_obs_min,high_obs_max,high_pred_min,high_pred_max,provenance,internal_rank,external_rank,rank_change
EXP-H140,scratch,SEP,BASE,LEARNED_AA,0.5341780335697126,0.532257334391276,0.5332176839804943,0.5341780335697126,0.0019206991784366,0.5012210002946265,0.4962434004795405,0.4987322003870835,0.004977599815085942,0.004977599815085942,-0.034485483593410804,7,3.0482174911499027,-3.0482174911499027,11.643,13.856,9.066486740112303,9.73127727508545,prospective_relative_to_factorial_freeze,96.0,191.0,95.0
EXP-H141,scratch,SEP,IMGT,LEARNED_AA,0.5215283630276905,0.5367483692404664,0.5291383661340785,0.5367483692404664,0.0152200062127759,0.49394348832118656,0.4849967262362257,0.4894701072787061,0.008946762084960869,0.008946762084960869,-0.039668258855372396,7,3.055505606515067,-3.055505606515067,11.643,13.856,9.06006908416748,9.660405540466307,prospective_relative_to_factorial_freeze,79.0,152.0,73.0
EXP-H142,scratch,SEP,REGION,LEARNED_AA,0.5292367721369237,0.518862587728618,0.5240496799327709,0.5292367721369237,0.0103741844083056,0.4835986014472116,0.4885306304178119,0.48606461593251177,-0.0049320289706002995,0.0049320289706002995,-0.03798506400025908,7,2.9968909574236196,-2.9968909574236196,11.643,13.856,9.122815322875976,9.775325965881349,prospective_relative_to_factorial_freeze,57.0,140.0,83.0
EXP-H143,scratch,SEP,FULL,LEARNED_AA,0.5600966508182479,0.4911907898231789,0.5256437203207134,0.5600966508182479,0.068905860995069,0.4721794053065923,0.5146189538461188,0.49339917957635554,-0.04243954853952647,0.04243954853952647,-0.03224454074435784,7,2.859956322806222,-2.859956322806222,11.643,13.856,9.227514266967772,9.825723266601562,prospective_relative_to_factorial_freeze,65.0,171.0,106.0
EXP-H144,scratch,JOINT,BASE,LEARNED_AA,0.5491591367368345,0.5013933200600706,0.5252762283984526,0.5491591367368345,0.0477658166767638,0.5051337247306918,0.5193078206380207,0.5122207726843563,-0.014174095907328876,0.014174095907328876,-0.013055455714096276,7,2.9933553597586497,-2.9933553597586497,11.643,13.856,9.123584747314451,9.87518081665039,prospective_relative_to_factorial_freeze,61.0,199.0,138.0
EXP-H145,scratch,JOINT,IMGT,LEARNED_AA,0.5867318670955706,0.5050371431892301,0.5458845051424004,0.5867318670955706,0.0816947239063404,0.4892976792888876,0.5135830485967942,0.501440363942841,-0.024285369307906535,0.024285369307906535,-0.04444414119955942,7,2.8322858439854213,-2.8322858439854213,11.643,13.856,9.083758354187012,9.966871070861815,prospective_relative_to_factorial_freeze,163.0,196.0,33.0
EXP-H146,scratch,JOINT,REGION,LEARNED_AA,0.5438831737188645,0.5258943218655057,0.5348887477921851,0.5438831737188645,0.0179888518533588,0.5159979102052288,0.4752577346048236,0.4956278224050263,0.04074017560040516,0.04074017560040516,-0.03926092538715881,7,2.9772234954833983,-2.9772234954833983,11.643,13.856,9.162155532836914,9.644975090026856,prospective_relative_to_factorial_freeze,108.0,182.0,74.0
EXP-H147,scratch,JOINT,FULL,LEARNED_AA,0.5402813211605872,0.4953774989563742,0.5178294100584807,0.5402813211605872,0.044903822204213,0.4840779683619371,0.47421190935299706,0.4791449388574671,0.009866059008940053,0.009866059008940053,-0.03868447120101359,7,2.8966222937447688,-2.8966222937447688,11.643,13.856,9.18228759765625,9.794597053527832,prospective_relative_to_factorial_freeze,34.0,91.0,57.0
EXP-H148,scratch,REG-SEP,BASE,LEARNED_AA,0.5339103322441195,0.5205150749300732,0.5272127035870964,0.5339103322441195,0.0133952573140463,0.48529552525649833,0.49397859446207665,0.48963705985928746,-0.00868306920557832,0.00868306920557832,-0.037575643727808916,7,2.9074361703055254,-2.9074361703055254,11.643,13.856,9.062223625183105,10.095363235473632,prospective_relative_to_factorial_freeze,72.0,155.0,83.0
EXP-H149,scratch,REG-SEP,IMGT,LEARNED_AA,0.5686125606018819,0.5109471323931658,0.5397798464975239,0.5686125606018819,0.0576654282087161,0.5031760719205125,0.518936929490831,0.5110565007056717,-0.01576085757031853,0.01576085757031853,-0.028723345791852206,7,2.928213545663016,-2.928213545663016,11.643,13.856,9.13131923675537,9.888211059570311,prospective_relative_to_factorial_freeze,141.0,198.0,57.0
EXP-H150,scratch,REG-SEP,REGION,LEARNED_AA,0.5370302850228769,0.5103911598111376,0.5237107224170072,0.5370302850228769,0.0266391252117392,0.4879777616336023,0.4956187557644313,0.4917982586990167,-0.007640994130829026,0.007640994130829026,-0.0319124637179905,7,3.061697922842843,-3.061697922842843,11.643,13.856,9.134313583374023,9.66008358001709,prospective_relative_to_factorial_freeze,54.0,163.0,109.0
EXP-H151,scratch,REG-SEP,FULL,LEARNED_AA,0.5058173498459804,0.5132608286539714,0.5095390892499758,0.5132608286539714,0.007443478807991,0.485915496920362,0.49199664052327474,0.4889560687218184,-0.006081143602912731,0.006081143602912731,-0.020583020528157414,7,2.826331183297294,-2.826331183297294,11.643,13.856,9.161015892028807,10.109163093566895,prospective_relative_to_factorial_freeze,16.0,147.0,131.0
EXP-H152,scratch,XREG,BASE,LEARNED_AA,0.5132380687572338,0.4880602044941466,0.5006491366256902,0.5132380687572338,0.0251778642630871,0.505531531063127,0.48437707227542076,0.49495430166927384,0.02115445878770622,0.02115445878770622,-0.0056948349564163725,7,3.0644077475411544,-3.0644077475411544,11.643,13.856,9.045441246032714,9.721518325805665,prospective_relative_to_factorial_freeze,4.0,178.0,174.0
EXP-H153,scratch,XREG,IMGT,LEARNED_AA,0.5036775986942243,0.5167349243635013,0.5102062615288628,0.5167349243635013,0.0130573256692769,0.4970771373230736,0.4980803680419922,0.4975787526825329,-0.0010032307189185574,0.0010032307189185574,-0.01262750884632996,7,3.1179759336199075,-3.1179759336199075,11.643,13.856,9.081417655944824,9.437347793579102,prospective_relative_to_factorial_freeze,18.0,188.0,170.0
EXP-H154,scratch,XREG,REGION,LEARNED_AA,0.5763209406063879,0.471761993314013,0.5240414669602005,0.5763209406063879,0.1045589472923749,0.46065864092038006,0.4739375678168402,0.4672981043686102,-0.013278926896460153,0.013278926896460153,-0.056743362591590296,7,2.972776321411133,-2.972776321411133,11.643,13.856,9.2103458404541,9.658452606201172,prospective_relative_to_factorial_freeze,56.0,30.0,-26.0
EXP-H155,scratch,XREG,FULL,LEARNED_AA,0.5186813356846938,0.5004112592155551,0.5095462974501244,0.5186813356846938,0.0182700764691386,0.46642659561722355,0.49976319555588694,0.4830948955865552,-0.03333659993866339,0.03333659993866339,-0.026451401863569146,7,2.9457185102190286,-2.9457185102190286,11.643,13.856,9.099767112731934,9.998980140686037,prospective_relative_to_factorial_freeze,17.0,119.0,102.0
EXP-H156,scratch,FUSE,BASE,LEARNED_AA,0.5757596296145592,0.4863085025740258,0.5310340660942925,0.5757596296145592,0.0894511270405333,0.47254214505796094,0.5010072104371623,0.48677467774756156,-0.028465065379201404,0.028465065379201404,-0.04425938834673093,7,2.897041828700474,-2.897041828700474,11.643,13.856,9.03765048980713,9.890225601196288,prospective_relative_to_factorial_freeze,86.0,143.0,57.0
EXP-H157,scratch,FUSE,IMGT,LEARNED_AA,0.5809086823640046,0.4639675837387274,0.522438133051366,0.5809086823640046,0.1169410986252772,0.46428249867757143,0.5325361486364293,0.4984093236570003,-0.06825364995885785,0.06825364995885785,-0.02402880939436569,7,2.703958419799804,-2.703958419799804,11.643,13.856,9.117151641845703,10.312600135803224,prospective_relative_to_factorial_freeze,47.0,189.0,142.0
EXP-H158,scratch,FUSE,REGION,LEARNED_AA,0.5660545178166142,0.5330030519932877,0.5495287849049509,0.5660545178166142,0.0330514658233265,0.4949781908576873,0.496025914698471,0.4955020527780792,-0.0010477238407837208,0.0010477238407837208,-0.05402673212687176,7,2.98266153717041,-2.98266153717041,11.643,13.856,9.2276704788208,9.787206268310548,prospective_relative_to_factorial_freeze,176.0,181.0,5.0
EXP-H159,scratch,FUSE,FULL,LEARNED_AA,0.5326002330544554,0.5194040828751928,0.5260021579648241,0.5326002330544554,0.0131961501792625,0.4788780634373797,0.4992513637778199,0.48906471360759984,-0.020373300340440215,0.020373300340440215,-0.036937444357224236,7,2.890825452532087,-2.890825452532087,11.643,13.856,9.111870384216308,9.94340705871582,prospective_relative_to_factorial_freeze,67.0,148.0,81.0
EXP-H160,ablingua,SEP,BASE,SEPARATE_CHAIN,0.5256333567301432,0.5495447415010428,0.537589049115593,0.5495447415010428,0.0239113847708996,0.47872441515510467,0.5058456557474017,0.49228503545125324,-0.027121240592297036,0.027121240592297036,-0.04530401366433978,7,2.960190872192384,-2.960190872192384,11.643,13.856,9.074395942687987,9.861393547058103,prospective_relative_to_factorial_freeze,127.0,166.0,39.0
EXP-H161,ablingua,SEP,IMGT,SEPARATE_CHAIN,0.4919199490017361,0.5203747325473361,0.5061473407745362,0.5203747325473361,0.0284547835455999,0.4595986410070348,0.5008371546239027,0.4802178978154688,-0.04123851361686787,0.04123851361686787,-0.02592944295906735,7,2.9078880756923127,-2.9078880756923127,11.643,13.856,9.092570495605468,10.237598991394044,prospective_relative_to_factorial_freeze,12.0,95.0,83.0
EXP-H162,ablingua,SEP,REGION,SEPARATE_CHAIN,0.4816310449294103,0.525369457197778,0.5035002510635941,0.525369457197778,0.0437384122683676,0.46426304127257545,0.49929942839822655,0.481781234835401,-0.0350363871256511,0.0350363871256511,-0.02171901622819311,7,2.888422656467983,-2.888422656467983,11.643,13.856,9.120119094848633,9.84087314605713,prospective_relative_to_factorial_freeze,6.0,106.0,100.0
EXP-H163,ablingua,SEP,FULL,SEPARATE_CHAIN,0.5005911068386502,0.511309176315496,0.5059501415770731,0.511309176315496,0.0107180694768458,0.4460731672122157,0.4826034153125904,0.46433829126240295,-0.036530248100374696,0.036530248100374696,-0.04161185031467013,7,2.768949144635882,-2.768949144635882,11.643,13.856,9.024535942077636,10.34518985748291,prospective_relative_to_factorial_freeze,11.0,20.0,9.0
EXP-H164,ablingua,JOINT,BASE,SEPARATE_CHAIN,0.5095191630139763,0.5613821397475254,0.5354506513807509,0.5613821397475254,0.0518629767335491,0.4668946175280911,0.518834601037296,0.49286460928269354,-0.05193998350920487,0.05193998350920487,-0.04258604209805733,7,2.8675584694998597,-2.8675584694998597,11.643,13.856,9.056109809875489,9.913249588012697,prospective_relative_to_factorial_freeze,113.0,168.0,55.0
EXP-H165,ablingua,JOINT,IMGT,SEPARATE_CHAIN,0.5027787772284614,0.5190565535933883,0.5109176654109249,0.5190565535933883,0.0162777763649268,0.4468686307742272,0.500845592074924,0.4738571114245756,-0.053976961300696735,0.053976961300696735,-0.037060553986349276,7,2.9112597503662108,-2.9112597503662108,11.643,13.856,9.055146026611329,9.895440483093262,prospective_relative_to_factorial_freeze,20.0,59.0,39.0
EXP-H166,ablingua,JOINT,REGION,SEPARATE_CHAIN,0.4948512326935191,0.5295939684738348,0.512222600583677,0.5295939684738348,0.0347427357803156,0.4365688922081464,0.46758058326626983,0.4520747377372081,-0.03101169105812346,0.03101169105812346,-0.06014786284646889,7,2.7820209950038364,-2.7820209950038364,11.643,13.856,9.048069381713868,10.219786643981934,prospective_relative_to_factorial_freeze,23.0,3.0,-20.0
