representation,family_id,subset,n,frac_worsen_on_removal,frac_improve_on_removal,mean_delta_ae,frac_worsen_agree,frac_both_worsen
ablang1,ARO_EXPOSED_AMOUNT,ALL,162,0.5432098765432098,0.4567901234567901,-0.003799340848569688,,
ablang1,ARO_EXPOSED_AMOUNT,HIGH,7,0.5714285714285714,0.42857142857142855,-0.11683096204485313,,
ablang1,ARO_EXPOSED_AMOUNT,nonHIGH,155,0.5419354838709678,0.45806451612903226,0.001305313011907629,,
ablingua,ARO_EXPOSED_AMOUNT,ALL,162,0.4691358024691358,0.5308641975308642,-0.005547093991879971,,
ablingua,ARO_EXPOSED_AMOUNT,HIGH,7,0.42857142857142855,0.5714285714285714,-0.02170931461879125,,
ablingua,ARO_EXPOSED_AMOUNT,nonHIGH,155,0.47096774193548385,0.5290322580645161,-0.004817187253890429,,
both,ARO_EXPOSED_AMOUNT,ALL,162,,,,0.6419753086419753,0.3271604938271605
ablang1,ARO_CDR_LOCALIZATION,ALL,162,0.5493827160493827,0.4506172839506173,0.0032832875192899996,,
ablang1,ARO_CDR_LOCALIZATION,HIGH,7,0.7142857142857143,0.2857142857142857,0.07352581024169831,,
ablang1,ARO_CDR_LOCALIZATION,nonHIGH,155,0.5419354838709678,0.45806451612903226,0.00011104455763285022,,
ablingua,ARO_CDR_LOCALIZATION,ALL,162,0.4691358024691358,0.5308641975308642,-0.007531497390181926,,
ablingua,ARO_CDR_LOCALIZATION,HIGH,7,0.14285714285714285,0.8571428571428571,-0.09572674887520957,,
ablingua,ARO_CDR_LOCALIZATION,nonHIGH,155,0.4838709677419355,0.5161290322580645,-0.003548486032793581,,
both,ARO_CDR_LOCALIZATION,ALL,162,,,,0.5987654320987654,0.30864197530864196
ablang1,ARO_PATCH_TOPOLOGY,ALL,162,0.5185185185185185,0.48148148148148145,0.01176389859046456,,
ablang1,ARO_PATCH_TOPOLOGY,HIGH,7,0.5714285714285714,0.42857142857142855,0.07662364414759944,,
ablang1,ARO_PATCH_TOPOLOGY,nonHIGH,155,0.5161290322580645,0.4838709677419355,0.008834748791110082,,
ablingua,ARO_PATCH_TOPOLOGY,ALL,162,0.5061728395061729,0.49382716049382713,-0.0005506740617163159,,
ablingua,ARO_PATCH_TOPOLOGY,HIGH,7,0.14285714285714285,0.8571428571428571,-0.0955457142421182,,
ablingua,ARO_PATCH_TOPOLOGY,nonHIGH,155,0.5225806451612903,0.4774193548387097,0.0037394245270760272,,
both,ARO_PATCH_TOPOLOGY,ALL,162,,,,0.5802469135802469,0.30246913580246915
ablang1,ARO_SEQUENCE_COMPOSITION,ALL,162,0.5740740740740741,0.42592592592592593,0.02932092327541767,,
ablang1,ARO_SEQUENCE_COMPOSITION,HIGH,7,0.7142857142857143,0.2857142857142857,0.08236415536062987,,
ablang1,ARO_SEQUENCE_COMPOSITION,nonHIGH,155,0.567741935483871,0.432258064516129,0.026925422471569378,,
ablingua,ARO_SEQUENCE_COMPOSITION,ALL,162,0.4567901234567901,0.5432098765432098,-0.002874783975106761,,
ablingua,ARO_SEQUENCE_COMPOSITION,HIGH,7,0.0,1.0,-0.14682953207833346,,
ablingua,ARO_SEQUENCE_COMPOSITION,nonHIGH,155,0.4774193548387097,0.5225806451612903,0.0036263981972970254,,
both,ARO_SEQUENCE_COMPOSITION,ALL,162,,,,0.4506172839506173,0.24074074074074073
ablang1,HYDRO_GLOBAL_FIELD,ALL,162,0.5,0.5,0.0027678063475054435,,
ablang1,HYDRO_GLOBAL_FIELD,HIGH,7,0.5714285714285714,0.42857142857142855,0.039277866908481486,,
ablang1,HYDRO_GLOBAL_FIELD,nonHIGH,155,0.4967741935483871,0.5032258064516129,0.0011189649028162032,,
ablingua,HYDRO_GLOBAL_FIELD,ALL,162,0.49382716049382713,0.5061728395061729,0.0015734895305869064,,
ablingua,HYDRO_GLOBAL_FIELD,HIGH,7,0.5714285714285714,0.42857142857142855,0.05746693420410155,,
ablingua,HYDRO_GLOBAL_FIELD,nonHIGH,155,0.49032258064516127,0.5096774193548387,-0.0009507305514427875,,
both,HYDRO_GLOBAL_FIELD,ALL,162,,,,0.6358024691358025,0.3148148148148148
ablang1,HYDRO_LOCAL_HIGH_INTENSITY,ALL,162,0.5493827160493827,0.4506172839506173,0.022270928041434383,,
ablang1,HYDRO_LOCAL_HIGH_INTENSITY,HIGH,7,1.0,0.0,0.2630335311889644,,
ablang1,HYDRO_LOCAL_HIGH_INTENSITY,nonHIGH,155,0.5290322580645161,0.47096774193548385,0.01139777822186851,,
ablingua,HYDRO_LOCAL_HIGH_INTENSITY,ALL,162,0.4567901234567901,0.5432098765432098,0.009288345478199293,,
ablingua,HYDRO_LOCAL_HIGH_INTENSITY,HIGH,7,0.2857142857142857,0.7142857142857143,-0.06583979470389169,,
ablingua,HYDRO_LOCAL_HIGH_INTENSITY,nonHIGH,155,0.4645161290322581,0.535483870967742,0.01268122922835824,,
both,HYDRO_LOCAL_HIGH_INTENSITY,ALL,162,,,,0.42592592592592593,0.21604938271604937
ablang1,HYDRO_CDR_FIELD,ALL,162,0.5185185185185185,0.48148148148148145,0.01768950271606444,,
ablang1,HYDRO_CDR_FIELD,HIGH,7,0.7142857142857143,0.2857142857142857,0.20164254542759505,,
ablang1,HYDRO_CDR_FIELD,nonHIGH,155,0.5096774193548387,0.49032258064516127,0.009381945948446928,,
ablingua,HYDRO_CDR_FIELD,ALL,162,0.5185185185185185,0.48148148148148145,-0.007374071709903439,,
ablingua,HYDRO_CDR_FIELD,HIGH,7,0.7142857142857143,0.2857142857142857,0.04258236694336023,,
ablingua,HYDRO_CDR_FIELD,nonHIGH,155,0.5096774193548387,0.49032258064516127,-0.00963016893940567,,
both,HYDRO_CDR_FIELD,ALL,162,,,,0.6172839506172839,0.3271604938271605
ablang1,HYDRO_SURFACE_CONSTRUCTION_QC,ALL,162,0.5864197530864198,0.41358024691358025,0.03256681724830912,,
ablang1,HYDRO_SURFACE_CONSTRUCTION_QC,HIGH,7,0.7142857142857143,0.2857142857142857,0.25789428928920116,,
ablang1,HYDRO_SURFACE_CONSTRUCTION_QC,nonHIGH,155,0.5806451612903226,0.41935483870967744,0.022390737865817224,,
ablingua,HYDRO_SURFACE_CONSTRUCTION_QC,ALL,162,0.5,0.5,-0.006949635211332358,,
ablingua,HYDRO_SURFACE_CONSTRUCTION_QC,HIGH,7,0.2857142857142857,0.7142857142857143,-0.106817981175014,,
ablingua,HYDRO_SURFACE_CONSTRUCTION_QC,nonHIGH,155,0.5096774193548387,0.49032258064516127,-0.002439451845230606,,
both,HYDRO_SURFACE_CONSTRUCTION_QC,ALL,162,,,,0.5555555555555556,0.32098765432098764
