surface_block,canonical_index_0based,canonical_column,source_asset,source_generator,formula_or_semantics,physical_family,family_rationale,mask_stage,target_blind
ARO19,0,aro_exposed_TYR_count,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,count exposed (RASA>=0.20) Tyr,ARO_EXPOSED_AMOUNT,"aromatic_features: RASA-gated exposed FWY amount — per-type/total counts, exposed aromatic SASA total/fraction, and strong-exposure (RASA>=0.50) count/SASA. All summarize how much aromatic surface is solvent-accessible.",post_standardscaler_model_input,True
ARO19,1,aro_exposed_TRP_count,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,count exposed (RASA>=0.20) Trp,ARO_EXPOSED_AMOUNT,"aromatic_features: RASA-gated exposed FWY amount — per-type/total counts, exposed aromatic SASA total/fraction, and strong-exposure (RASA>=0.50) count/SASA. All summarize how much aromatic surface is solvent-accessible.",post_standardscaler_model_input,True
ARO19,2,aro_exposed_PHE_count,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,count exposed (RASA>=0.20) Phe,ARO_EXPOSED_AMOUNT,"aromatic_features: RASA-gated exposed FWY amount — per-type/total counts, exposed aromatic SASA total/fraction, and strong-exposure (RASA>=0.50) count/SASA. All summarize how much aromatic surface is solvent-accessible.",post_standardscaler_model_input,True
ARO19,3,aro_exposed_aromatic_total_count,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,count exposed FWY,ARO_EXPOSED_AMOUNT,"aromatic_features: RASA-gated exposed FWY amount — per-type/total counts, exposed aromatic SASA total/fraction, and strong-exposure (RASA>=0.50) count/SASA. All summarize how much aromatic surface is solvent-accessible.",post_standardscaler_model_input,True
ARO19,4,aro_aromatic_exposed_SASA_total,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,sum SASA of exposed aromatics (Å²),ARO_EXPOSED_AMOUNT,"aromatic_features: RASA-gated exposed FWY amount — per-type/total counts, exposed aromatic SASA total/fraction, and strong-exposure (RASA>=0.50) count/SASA. All summarize how much aromatic surface is solvent-accessible.",post_standardscaler_model_input,True
ARO19,5,aro_aromatic_exposed_SASA_fraction,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,exposed-aromatic SASA / total residue SASA,ARO_EXPOSED_AMOUNT,"aromatic_features: RASA-gated exposed FWY amount — per-type/total counts, exposed aromatic SASA total/fraction, and strong-exposure (RASA>=0.50) count/SASA. All summarize how much aromatic surface is solvent-accessible.",post_standardscaler_model_input,True
ARO19,6,aro_strongly_exposed_aromatic_count,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,count aromatics with RASA>=0.50,ARO_EXPOSED_AMOUNT,"aromatic_features: RASA-gated exposed FWY amount — per-type/total counts, exposed aromatic SASA total/fraction, and strong-exposure (RASA>=0.50) count/SASA. All summarize how much aromatic surface is solvent-accessible.",post_standardscaler_model_input,True
ARO19,7,aro_strongly_exposed_aromatic_SASA,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,sum SASA of strongly exposed aromatics,ARO_EXPOSED_AMOUNT,"aromatic_features: RASA-gated exposed FWY amount — per-type/total counts, exposed aromatic SASA total/fraction, and strong-exposure (RASA>=0.50) count/SASA. All summarize how much aromatic surface is solvent-accessible.",post_standardscaler_model_input,True
ARO19,8,aro_CDR_exposed_aromatic_count,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,count exposed aromatics in IMGT CDRs,ARO_CDR_LOCALIZATION,"aromatic_features: IMGT-CDR subset of exposed aromatics (count, SASA, fraction of exposed aromatic SASA). Regional localization of exposed aromatics into CDR vs non-CDR.",post_standardscaler_model_input,True
ARO19,9,aro_CDR_aromatic_SASA,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,sum SASA of CDR exposed aromatics,ARO_CDR_LOCALIZATION,"aromatic_features: IMGT-CDR subset of exposed aromatics (count, SASA, fraction of exposed aromatic SASA). Regional localization of exposed aromatics into CDR vs non-CDR.",post_standardscaler_model_input,True
ARO19,10,aro_CDR_aromatic_fraction,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,CDR aromatic SASA / exposed aromatic SASA,ARO_CDR_LOCALIZATION,"aromatic_features: IMGT-CDR subset of exposed aromatics (count, SASA, fraction of exposed aromatic SASA). Regional localization of exposed aromatics into CDR vs non-CDR.",post_standardscaler_model_input,True
ARO19,11,aro_aromatic_patch_count,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,n connected components of exposed aromatics (Cα<=8Å),ARO_PATCH_TOPOLOGY,"aromatic_features: Cα contact graph among exposed aromatics (PATCH_R=8Å) — patch count, largest patch size/SASA — plus max neighborhood aromatic SASA (LOCAL_R=10Å). Spatial clustering / local topology of exposed aromatics.",post_standardscaler_model_input,True
ARO19,12,aro_largest_aromatic_patch_n_res,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,size of largest exposed-aromatic patch,ARO_PATCH_TOPOLOGY,"aromatic_features: Cα contact graph among exposed aromatics (PATCH_R=8Å) — patch count, largest patch size/SASA — plus max neighborhood aromatic SASA (LOCAL_R=10Å). Spatial clustering / local topology of exposed aromatics.",post_standardscaler_model_input,True
ARO19,13,aro_largest_aromatic_patch_exposed_SASA,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,SASA of largest exposed-aromatic patch,ARO_PATCH_TOPOLOGY,"aromatic_features: Cα contact graph among exposed aromatics (PATCH_R=8Å) — patch count, largest patch size/SASA — plus max neighborhood aromatic SASA (LOCAL_R=10Å). Spatial clustering / local topology of exposed aromatics.",post_standardscaler_model_input,True
ARO19,14,aro_max_local_aromatic_SASA,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,max sum SASA of exposed aromatics within 10Å of a seed,ARO_PATCH_TOPOLOGY,"aromatic_features: Cα contact graph among exposed aromatics (PATCH_R=8Å) — patch count, largest patch size/SASA — plus max neighborhood aromatic SASA (LOCAL_R=10Å). Spatial clustering / local topology of exposed aromatics.",post_standardscaler_model_input,True
ARO19,15,aro_sequence_aromatic_count,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,sequence FWY count (exposure-blind),ARO_SEQUENCE_COMPOSITION,aromatic_features: sequence FWY counts ignoring solvent exposure (QC/composition channel co-bundled in frozen ARO19). Not a surface-exposure descriptor.,post_standardscaler_model_input,True
ARO19,16,aro_sequence_TYR_count,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,sequence Tyr count (exposure-blind),ARO_SEQUENCE_COMPOSITION,aromatic_features: sequence FWY counts ignoring solvent exposure (QC/composition channel co-bundled in frozen ARO19). Not a surface-exposure descriptor.,post_standardscaler_model_input,True
ARO19,17,aro_sequence_TRP_count,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,sequence Trp count (exposure-blind),ARO_SEQUENCE_COMPOSITION,aromatic_features: sequence FWY counts ignoring solvent exposure (QC/composition channel co-bundled in frozen ARO19). Not a surface-exposure descriptor.,post_standardscaler_model_input,True
ARO19,18,aro_sequence_PHE_count,top_models_feature_bundle/data/aromatic_topo.parquet + EXP-H047.parquet AROMATIC_TOPO slice,organizer_extension/feature_prospecting/scripts/extract_physical_batch1.py::aromatic_features,sequence Phe count (exposure-blind),ARO_SEQUENCE_COMPOSITION,aromatic_features: sequence FWY counts ignoring solvent exposure (QC/composition channel co-bundled in frozen ARO19). Not a surface-exposure descriptor.,post_standardscaler_model_input,True
HYDRO16,19,mean_H_surface,top_models_feature_bundle/data/hydro_field.parquet + EXP-H047.parquet HYDRO_FIELD slice,organizer_extension/feature_prospecting/common/hydro_surface.py::hydro_summaries,area-weighted mean of Fauchère MLP field H(s),HYDRO_GLOBAL_FIELD,"hydro_summaries: whole-Fv Fauchère–Pliska MLP field H(s) global distribution — area-weighted mean, q75/q90/q95, max, and positive-H area fraction.",post_standardscaler_model_input,True
HYDRO16,20,q75_H_surface,top_models_feature_bundle/data/hydro_field.parquet + EXP-H047.parquet HYDRO_FIELD slice,organizer_extension/feature_prospecting/common/hydro_surface.py::hydro_summaries,75th percentile of H(s) over surface points,HYDRO_GLOBAL_FIELD,"hydro_summaries: whole-Fv Fauchère–Pliska MLP field H(s) global distribution — area-weighted mean, q75/q90/q95, max, and positive-H area fraction.",post_standardscaler_model_input,True
HYDRO16,21,q90_H_surface,top_models_feature_bundle/data/hydro_field.parquet + EXP-H047.parquet HYDRO_FIELD slice,organizer_extension/feature_prospecting/common/hydro_surface.py::hydro_summaries,90th percentile of H(s),HYDRO_GLOBAL_FIELD,"hydro_summaries: whole-Fv Fauchère–Pliska MLP field H(s) global distribution — area-weighted mean, q75/q90/q95, max, and positive-H area fraction.",post_standardscaler_model_input,True
HYDRO16,22,q95_H_surface,top_models_feature_bundle/data/hydro_field.parquet + EXP-H047.parquet HYDRO_FIELD slice,organizer_extension/feature_prospecting/common/hydro_surface.py::hydro_summaries,95th percentile of H(s),HYDRO_GLOBAL_FIELD,"hydro_summaries: whole-Fv Fauchère–Pliska MLP field H(s) global distribution — area-weighted mean, q75/q90/q95, max, and positive-H area fraction.",post_standardscaler_model_input,True
HYDRO16,23,max_H_surface,top_models_feature_bundle/data/hydro_field.parquet + EXP-H047.parquet HYDRO_FIELD slice,organizer_extension/feature_prospecting/common/hydro_surface.py::hydro_summaries,max H(s),HYDRO_GLOBAL_FIELD,"hydro_summaries: whole-Fv Fauchère–Pliska MLP field H(s) global distribution — area-weighted mean, q75/q90/q95, max, and positive-H area fraction.",post_standardscaler_model_input,True
HYDRO16,24,positive_H_area_fraction,top_models_feature_bundle/data/hydro_field.parquet + EXP-H047.parquet HYDRO_FIELD slice,organizer_extension/feature_prospecting/common/hydro_surface.py::hydro_summaries,area fraction with H(s)>0,HYDRO_GLOBAL_FIELD,"hydro_summaries: whole-Fv Fauchère–Pliska MLP field H(s) global distribution — area-weighted mean, q75/q90/q95, max, and positive-H area fraction.",post_standardscaler_model_input,True
HYDRO16,25,top10_H_mean,top_models_feature_bundle/data/hydro_field.parquet + EXP-H047.parquet HYDRO_FIELD slice,organizer_extension/feature_prospecting/common/hydro_surface.py::hydro_summaries,mean H of top-10% highest-H vertices,HYDRO_LOCAL_HIGH_INTENSITY,"hydro_summaries: local high-intensity structure of H(s) — top-10% intensity mean/area fraction and connected high-H (within-structure q>=0.80) patches (count, largest area fraction, n_vertices).",post_standardscaler_model_input,True
HYDRO16,26,top10_H_area_fraction,top_models_feature_bundle/data/hydro_field.parquet + EXP-H047.parquet HYDRO_FIELD slice,organizer_extension/feature_prospecting/common/hydro_surface.py::hydro_summaries,area fraction of top-10% highest-H vertices,HYDRO_LOCAL_HIGH_INTENSITY,"hydro_summaries: local high-intensity structure of H(s) — top-10% intensity mean/area fraction and connected high-H (within-structure q>=0.80) patches (count, largest area fraction, n_vertices).",post_standardscaler_model_input,True
HYDRO16,27,high_H_patch_count,top_models_feature_bundle/data/hydro_field.parquet + EXP-H047.parquet HYDRO_FIELD slice,organizer_extension/feature_prospecting/common/hydro_surface.py::hydro_summaries,n connected high-H (q>=0.80) patches,HYDRO_LOCAL_HIGH_INTENSITY,"hydro_summaries: local high-intensity structure of H(s) — top-10% intensity mean/area fraction and connected high-H (within-structure q>=0.80) patches (count, largest area fraction, n_vertices).",post_standardscaler_model_input,True
HYDRO16,28,largest_high_H_patch_area_fraction,top_models_feature_bundle/data/hydro_field.parquet + EXP-H047.parquet HYDRO_FIELD slice,organizer_extension/feature_prospecting/common/hydro_surface.py::hydro_summaries,area fraction of largest high-H patch,HYDRO_LOCAL_HIGH_INTENSITY,"hydro_summaries: local high-intensity structure of H(s) — top-10% intensity mean/area fraction and connected high-H (within-structure q>=0.80) patches (count, largest area fraction, n_vertices).",post_standardscaler_model_input,True
HYDRO16,29,largest_high_H_patch_n_vertices,top_models_feature_bundle/data/hydro_field.parquet + EXP-H047.parquet HYDRO_FIELD slice,organizer_extension/feature_prospecting/common/hydro_surface.py::hydro_summaries,n vertices in largest high-H patch,HYDRO_LOCAL_HIGH_INTENSITY,"hydro_summaries: local high-intensity structure of H(s) — top-10% intensity mean/area fraction and connected high-H (within-structure q>=0.80) patches (count, largest area fraction, n_vertices).",post_standardscaler_model_input,True
HYDRO16,30,CDR_mean_H,top_models_feature_bundle/data/hydro_field.parquet + EXP-H047.parquet HYDRO_FIELD slice,organizer_extension/feature_prospecting/common/hydro_surface.py::hydro_summaries,mean H on CDR-labeled surface points,HYDRO_CDR_FIELD,"hydro_summaries: CDR-restricted field summaries — CDR mean H, CDR q90 H, CDR high-H area fraction among CDR surface area.",post_standardscaler_model_input,True
HYDRO16,31,CDR_q90_H,top_models_feature_bundle/data/hydro_field.parquet + EXP-H047.parquet HYDRO_FIELD slice,organizer_extension/feature_prospecting/common/hydro_surface.py::hydro_summaries,q90 of H on CDR surface points,HYDRO_CDR_FIELD,"hydro_summaries: CDR-restricted field summaries — CDR mean H, CDR q90 H, CDR high-H area fraction among CDR surface area.",post_standardscaler_model_input,True
