scheme,chain,region,mean,std,median,seed_std,fold_std
primary,H,FR_ALL,0.24575723707675934,0.0019246503252188464,0.24566088616847992,0.0009643166014989054,0.0013282339282943178
primary,H,CDR1,0.2512496680021286,0.0014139601682167297,0.2509860098361969,0.0011298958118993666,0.0006294699244773175
primary,H,CDR2,0.25530384480953217,0.0024131621837106287,0.2556716203689575,0.0003187153331768823,0.0016129892966793055
primary,H,CDR3,0.24768925408522288,0.0015017495157833218,0.2476685792207718,0.0006953440445736261,0.0007345400239201096
primary,L,FR_ALL,0.2471837689479192,0.0011233710500804842,0.24707259237766266,0.00021660765884269886,0.0009161605733093841
primary,L,CDR1,0.2505034625530243,0.0013332449562807466,0.2501258850097656,0.0007609868564970034,0.0009332513735845982
primary,L,CDR2,0.25172910988330843,0.002103070613058666,0.25189661979675293,0.0013951465732061675,0.001267252415385222
primary,L,CDR3,0.2505836546421051,0.0016726591307966079,0.2500360608100891,0.0004397553131491947,0.001501893267221367
shadow,H,FR_ALL,0.24627022941907248,0.002566137599868177,0.2457723319530487,0.0008297617126425124,0.0022569060838367617
shadow,H,CDR1,0.2511945257584254,0.0012773061597711418,0.25146645307540894,0.0008877918150242131,0.0007647371982459255
shadow,H,CDR2,0.25512045820554097,0.0027384640418641154,0.25513774156570435,0.00024978960662529214,0.0024962411275584067
shadow,H,CDR3,0.2474147746960322,0.001656996697764982,0.24755078554153442,0.0008725528857915917,0.0010392864040143803
shadow,L,FR_ALL,0.2472989430030187,0.0012445030480174668,0.24693776667118073,0.000347004407759034,0.0011417856895638212
shadow,L,CDR1,0.2503759096066157,0.0008850820419340476,0.250074177980423,0.0004754209951029842,0.0004009664438450877
shadow,L,CDR2,0.251516717672348,0.0017121536658286686,0.2509359121322632,0.0012712892657705025,0.0009085731563534017
shadow,L,CDR3,0.25080842077732085,0.0013221165624616843,0.25058361887931824,0.000454608983005626,0.0010156689156839225
