variant_id,scheme,fold,seed,best_epoch,n_test
AL2F1_MIN_CONCAT,primary,0,101,41,32
AL2F1_MIN_CONCAT,primary,1,101,1,33
AL2F1_MIN_CONCAT,primary,2,101,42,33
AL2F1_MIN_CONCAT,primary,3,101,40,32
AL2F1_MIN_CONCAT,primary,4,101,55,32
AL2F1_MIN_CONCAT,primary,0,202,35,32
AL2F1_MIN_CONCAT,primary,1,202,1,33
AL2F1_MIN_CONCAT,primary,2,202,89,33
AL2F1_MIN_CONCAT,primary,3,202,34,32
AL2F1_MIN_CONCAT,primary,4,202,59,32
AL2F1_MIN_CONCAT,primary,0,303,43,32
AL2F1_MIN_CONCAT,primary,1,303,4,33
AL2F1_MIN_CONCAT,primary,2,303,45,33
AL2F1_MIN_CONCAT,primary,3,303,40,32
AL2F1_MIN_CONCAT,primary,4,303,45,32
AL2F1_MIN_CONCAT,shadow,0,101,83,32
AL2F1_MIN_CONCAT,shadow,1,101,41,33
AL2F1_MIN_CONCAT,shadow,2,101,34,32
AL2F1_MIN_CONCAT,shadow,3,101,7,32
AL2F1_MIN_CONCAT,shadow,4,101,48,33
AL2F1_MIN_CONCAT,shadow,0,202,138,32
AL2F1_MIN_CONCAT,shadow,1,202,36,33
AL2F1_MIN_CONCAT,shadow,2,202,45,32
AL2F1_MIN_CONCAT,shadow,3,202,1,32
AL2F1_MIN_CONCAT,shadow,4,202,32,33
AL2F1_MIN_CONCAT,shadow,0,303,54,32
AL2F1_MIN_CONCAT,shadow,1,303,46,33
AL2F1_MIN_CONCAT,shadow,2,303,38,32
AL2F1_MIN_CONCAT,shadow,3,303,2,32
AL2F1_MIN_CONCAT,shadow,4,303,22,33
AL2F2_FULL_CONCAT,primary,0,101,25,32
AL2F2_FULL_CONCAT,primary,1,101,2,33
AL2F2_FULL_CONCAT,primary,2,101,31,33
AL2F2_FULL_CONCAT,primary,3,101,28,32
AL2F2_FULL_CONCAT,primary,4,101,62,32
AL2F2_FULL_CONCAT,primary,0,202,18,32
AL2F2_FULL_CONCAT,primary,1,202,5,33
AL2F2_FULL_CONCAT,primary,2,202,24,33
AL2F2_FULL_CONCAT,primary,3,202,36,32
AL2F2_FULL_CONCAT,primary,4,202,73,32
AL2F2_FULL_CONCAT,primary,0,303,79,32
AL2F2_FULL_CONCAT,primary,1,303,5,33
AL2F2_FULL_CONCAT,primary,2,303,44,33
AL2F2_FULL_CONCAT,primary,3,303,33,32
AL2F2_FULL_CONCAT,primary,4,303,49,32
AL2F2_FULL_CONCAT,shadow,0,101,51,32
AL2F2_FULL_CONCAT,shadow,1,101,45,33
AL2F2_FULL_CONCAT,shadow,2,101,25,32
AL2F2_FULL_CONCAT,shadow,3,101,63,32
AL2F2_FULL_CONCAT,shadow,4,101,65,33
AL2F2_FULL_CONCAT,shadow,0,202,64,32
AL2F2_FULL_CONCAT,shadow,1,202,32,33
AL2F2_FULL_CONCAT,shadow,2,202,110,32
AL2F2_FULL_CONCAT,shadow,3,202,7,32
AL2F2_FULL_CONCAT,shadow,4,202,61,33
AL2F2_FULL_CONCAT,shadow,0,303,55,32
AL2F2_FULL_CONCAT,shadow,1,303,41,33
AL2F2_FULL_CONCAT,shadow,2,303,29,32
AL2F2_FULL_CONCAT,shadow,3,303,6,32
AL2F2_FULL_CONCAT,shadow,4,303,72,33
AL2F3_FULL_MEAN,primary,0,101,26,32
AL2F3_FULL_MEAN,primary,1,101,1,33
AL2F3_FULL_MEAN,primary,2,101,25,33
AL2F3_FULL_MEAN,primary,3,101,35,32
AL2F3_FULL_MEAN,primary,4,101,93,32
AL2F3_FULL_MEAN,primary,0,202,24,32
AL2F3_FULL_MEAN,primary,1,202,5,33
AL2F3_FULL_MEAN,primary,2,202,57,33
AL2F3_FULL_MEAN,primary,3,202,29,32
AL2F3_FULL_MEAN,primary,4,202,73,32
AL2F3_FULL_MEAN,primary,0,303,25,32
AL2F3_FULL_MEAN,primary,1,303,59,33
AL2F3_FULL_MEAN,primary,2,303,51,33
AL2F3_FULL_MEAN,primary,3,303,29,32
AL2F3_FULL_MEAN,primary,4,303,77,32
AL2F3_FULL_MEAN,shadow,0,101,32,32
AL2F3_FULL_MEAN,shadow,1,101,32,33
AL2F3_FULL_MEAN,shadow,2,101,60,32
AL2F3_FULL_MEAN,shadow,3,101,2,32
AL2F3_FULL_MEAN,shadow,4,101,53,33
AL2F3_FULL_MEAN,shadow,0,202,48,32
AL2F3_FULL_MEAN,shadow,1,202,54,33
AL2F3_FULL_MEAN,shadow,2,202,82,32
AL2F3_FULL_MEAN,shadow,3,202,4,32
AL2F3_FULL_MEAN,shadow,4,202,38,33
AL2F3_FULL_MEAN,shadow,0,303,38,32
AL2F3_FULL_MEAN,shadow,1,303,37,33
AL2F3_FULL_MEAN,shadow,2,303,30,32
AL2F3_FULL_MEAN,shadow,3,303,2,32
AL2F3_FULL_MEAN,shadow,4,303,37,33
AL2F4_FULL_REGION_GATE,primary,0,101,31,32
AL2F4_FULL_REGION_GATE,primary,1,101,1,33
AL2F4_FULL_REGION_GATE,primary,2,101,41,33
AL2F4_FULL_REGION_GATE,primary,3,101,23,32
AL2F4_FULL_REGION_GATE,primary,4,101,53,32
AL2F4_FULL_REGION_GATE,primary,0,202,45,32
AL2F4_FULL_REGION_GATE,primary,1,202,24,33
AL2F4_FULL_REGION_GATE,primary,2,202,41,33
AL2F4_FULL_REGION_GATE,primary,3,202,29,32
AL2F4_FULL_REGION_GATE,primary,4,202,43,32
AL2F4_FULL_REGION_GATE,primary,0,303,20,32
AL2F4_FULL_REGION_GATE,primary,1,303,24,33
AL2F4_FULL_REGION_GATE,primary,2,303,44,33
AL2F4_FULL_REGION_GATE,primary,3,303,22,32
AL2F4_FULL_REGION_GATE,primary,4,303,45,32
AL2F4_FULL_REGION_GATE,shadow,0,101,33,32
AL2F4_FULL_REGION_GATE,shadow,1,101,33,33
AL2F4_FULL_REGION_GATE,shadow,2,101,25,32
AL2F4_FULL_REGION_GATE,shadow,3,101,4,32
AL2F4_FULL_REGION_GATE,shadow,4,101,37,33
AL2F4_FULL_REGION_GATE,shadow,0,202,40,32
AL2F4_FULL_REGION_GATE,shadow,1,202,32,33
AL2F4_FULL_REGION_GATE,shadow,2,202,38,32
AL2F4_FULL_REGION_GATE,shadow,3,202,6,32
AL2F4_FULL_REGION_GATE,shadow,4,202,42,33
AL2F4_FULL_REGION_GATE,shadow,0,303,28,32
AL2F4_FULL_REGION_GATE,shadow,1,303,36,33
AL2F4_FULL_REGION_GATE,shadow,2,303,40,32
AL2F4_FULL_REGION_GATE,shadow,3,303,6,32
AL2F4_FULL_REGION_GATE,shadow,4,303,27,33
