feature_family,n_features,n_bundles,bundles,structure_sources,stages,raw_quantities,primary_software,computed,used_in_any_model,TmApp_used,HIC_used,in_final_representative,performance_note,median_Primary_CV_HIC,median_Primary_CV_TmApp
CAVITY_PROXY,3,1,ADV_CAVITY,ESMFold,Stage4,buried CA neighbor degree (packing-derived),custom Python (Stage4),True,True,True,False,True,supplementary only — not used for inventory filtering,,3.183386483854724
ELECTROSTATICS,14,1,ADV_ELECTROSTATICS,ESMFold,Stage4,APBS electrostatic potential sampled at exposed residue CA;exposed residue CA graph + local SASA,APBS,True,True,False,True,False,supplementary only — not used for inventory filtering,0.5681825879562445,
GLOBAL_GEOMETRY,14,1,STRUCT_GLOBAL,ESMFold,Stage3,ESMFold per-residue pLDDT;structure-derived scalar aggregate,ShrakeRupley,True,True,True,True,False,supplementary only — not used for inventory filtering,,
INVERSE_FOLDING,10,1,ADV_INVFOLD,ESMFold,Stage4,ESM-IF1 sequence log-likelihood given structure,ESM-IF1,True,True,True,True,True,supplementary only — not used for inventory filtering,0.5389693605906601,3.169473610615479
PACKING_CONTACT,42,3,ADV_INTERACTIONS;ADV_OTHER;STRUCT_PACKING,ESMFold,Stage3;Stage4,CA/heavy-atom distances;N/O heavy atom distance proxy;heavy-atom distance donor/acceptor pairs;residue-level SASA;structure-derived scalar aggregate,ShrakeRupley;custom Python (Stage3 packing);custom Python (Stage4),True,True,True,True,True,supplementary only — not used for inventory filtering,0.5389541092488217,2.8881075173032174
PKA_PROTONATION,15,2,ADV_PQR_CHARGE;ADV_PROPKA,ESMFold,Stage4,PDB2PQR atom partial charges at pH 6.5;PROPKA residue pKa → Henderson-Hasselbalch charge at pH 6.5;residue-level RASA × charge weight,PROPKA 3.5.1 + PDB2PQR 3.7.1,True,True,False,True,False,supplementary only — not used for inventory filtering,0.5666339464378142,
SASA_RASA,84,2,STRUCT_RASA;STRUCT_SASA,ESMFold,Stage3,residue-level RASA (SASA/MaxASA);residue-level SASA;structure-derived scalar aggregate,ShrakeRupley,True,True,True,True,True,supplementary only — not used for inventory filtering,0.4942676816659559,3.4722910544350847
SURFACE_CHEMISTRY,82,1,STRUCT_SURFACE_CHEM,ESMFold,Stage3,residue-level RASA × KD hydrophobicity;residue-level RASA × charge weight;residue-level SASA,ShrakeRupley;custom Python (Stage3 packing),True,True,True,True,True,supplementary only — not used for inventory filtering,0.4781245712951728,3.3728533349419223
SURFACE_PATCH_ADVANCED,19,1,ADV_SURFACE_PATCH,ESMFold,Stage4,exposed residue CA graph + local SASA;residue-level SASA,custom Python (Stage4),True,True,True,True,True,supplementary only — not used for inventory filtering,0.4781245712951728,3.3728533349419223
SURFACE_PATCH_SIMPLE,5,1,STRUCT_PATCH,ESMFold,Stage3,exposed residue CA graph + local SASA,ShrakeRupley;custom Python (Stage3 packing),True,True,True,True,False,supplementary only — not used for inventory filtering,0.4781245712951728,3.3728533349419223
UNSAT_POLAR_PROXY,2,1,ADV_UNSAT_POLAR,ESMFold,Stage4,buried polar/charged + N/O neighbor count,custom Python (Stage4),True,True,True,False,True,supplementary only — not used for inventory filtering,,3.2241171500830785
VH_VL_INTERFACE,10,1,STRUCT_INTERFACE,ESMFold,Stage3,CA/heavy-atom distances;chain SASA difference + CA cross-chain distance;structure-derived scalar aggregate,ShrakeRupley;custom Python (Stage3 packing),True,True,True,True,False,supplementary only — not used for inventory filtering,0.5419274724392282,2.9571288666434308
