,total_SASA,RASA,SURFACE_CHEM,simple_PATCH,ADV_SURFACE_PATCH,PACKING,INTERFACE,ADV_INTERACTIONS,UNSAT_POLAR,cavity_proxy,PROPKA,APBS,ESM-IF
total_SASA,3,3,2,2,0,0,0,0,0,0,0,0,0
RASA,3,3,2,0,0,0,0,0,0,0,0,0,0
SURFACE_CHEM,2,2,3,2,0,0,0,0,0,0,0,0,0
simple_PATCH,2,0,2,3,2,0,0,0,0,0,0,0,0
ADV_SURFACE_PATCH,0,0,0,2,3,0,0,0,0,0,0,1,0
PACKING,0,0,0,0,0,3,0,2,0,2,0,0,0
INTERFACE,0,0,0,0,0,0,3,2,0,0,0,0,0
ADV_INTERACTIONS,0,0,0,0,0,2,2,3,1,0,0,0,0
UNSAT_POLAR,0,0,0,0,0,0,0,1,3,1,0,0,0
cavity_proxy,0,0,0,0,0,2,0,0,1,3,0,0,0
PROPKA,0,0,0,0,0,0,0,0,0,0,3,2,0
APBS,0,0,0,0,1,0,0,0,0,0,2,3,0
ESM-IF,0,0,0,0,0,0,0,0,0,0,0,0,3
