id,true,pred,true_HIC,pred_HIC,pred_percentile,rank_true,rank_pred,is_tail,split
ADI-37123,8.566,8.944874400166869,8.566,8.944874400166869,13.580246913580247,161.0,141.0,False,Dev
ADI-38499,9.901,9.182005869042449,9.901,9.182005869042449,48.148148148148145,30.0,85.0,False,Dev
ADI-38501,8.959,9.28928183294336,8.959,9.28928183294336,61.72839506172839,108.0,63.0,False,Dev
ADI-38502,8.886,9.173123026463992,8.886,9.173123026463992,45.67901234567901,117.0,89.0,False,Dev
ADI-45379,8.794,8.866128370807997,8.794,8.866128370807997,5.555555555555555,137.0,154.0,False,Dev
ADI-45388,8.984,9.223485847890306,8.984,9.223485847890306,54.32098765432099,104.0,75.0,False,Dev
ADI-45389,8.857,9.144262088768942,8.857,9.144262088768942,41.9753086419753,122.0,95.0,False,Dev
ADI-45390,8.809,8.852398877316725,8.809,8.852398877316725,3.7037037037037033,133.0,157.0,False,Dev
ADI-45391,9.153,9.050484787559162,9.153,9.050484787559162,29.01234567901235,73.0,116.0,False,Dev
ADI-45402,8.736,9.003562868634367,8.736,9.003562868634367,20.98765432098765,149.0,129.0,False,Dev
ADI-45406,8.78,9.205100803198617,8.78,9.205100803198617,52.46913580246913,138.0,78.0,False,Dev
ADI-45408,8.964,9.079165463616173,8.964,9.079165463616173,33.95061728395062,107.0,108.0,False,Dev
ADI-45422,10.143,9.309542761886606,10.143,9.309542761886606,65.4320987654321,23.0,57.0,False,Dev
ADI-45425,11.09,9.87287124083288,11.09,9.87287124083288,97.53086419753086,10.0,5.0,True,Dev
ADI-45430,8.799,9.11188228683962,8.799,9.11188228683962,37.65432098765432,136.0,102.0,False,Dev
ADI-45435,11.905,9.768934337809954,11.905,9.768934337809954,95.67901234567901,4.0,8.0,True,Dev
ADI-45439,8.736,9.076048482632713,8.736,9.076048482632713,32.71604938271605,149.0,110.0,False,Dev
ADI-45440,9.017,9.382719891797464,9.017,9.382719891797464,70.37037037037037,98.0,49.0,False,Dev
ADI-45450,8.717,9.081035777994728,8.717,9.081035777994728,35.18518518518518,153.0,106.0,False,Dev
ADI-45451,11.138,9.634050630565264,11.138,9.634050630565264,89.50617283950618,9.0,18.0,True,Dev
ADI-45453,9.357,8.961348913176435,9.357,8.961348913176435,16.666666666666664,53.0,136.0,False,Dev
ADI-45454,8.974,8.773385625273077,8.974,8.773385625273077,1.2345679012345678,105.0,161.0,False,Dev
ADI-45455,8.717,9.130471394339676,8.717,9.130471394339676,40.74074074074074,153.0,97.0,False,Dev
ADI-45461,9.202,9.171261989862687,9.202,9.171261989862687,45.06172839506173,70.0,90.0,False,Dev
ADI-45463,8.916,9.007041107336216,8.916,9.007041107336216,21.604938271604937,114.0,128.0,False,Dev
ADI-45464,8.77,8.83868818563804,8.77,8.83868818563804,3.0864197530864197,142.0,158.0,False,Dev
ADI-45465,8.755,9.27885527328605,8.755,9.27885527328605,59.876543209876544,147.0,66.0,False,Dev
ADI-45479,9.003,8.932521883823197,9.003,8.932521883823197,11.11111111111111,102.0,145.0,False,Dev
ADI-45480,9.212,9.476344921153313,9.212,9.476344921153313,80.8641975308642,68.0,32.0,False,Dev
ADI-45488,9.275,9.17836020476902,9.275,9.17836020476902,46.2962962962963,59.0,88.0,False,Dev
ADI-45490,9.144,9.00716454034571,9.144,9.00716454034571,22.22222222222222,75.0,127.0,False,Dev
