id,plain_kfold_k4,shuffled_kfold_k4_s42,strat_sturges_tm_k4_s42,strat_sturges_hic_k4_s42,strat_q8_tm_k4_s42,strat_q8_hic_k4_s42,strat_hybrid_hic_k4_s42,strat_joint_cart4x4_k4_s42,group_only_k4_s42,stratgroup_hic_hybrid_k4_s42,stratgroup_joint_k4_s42,opt_joint_group_k4_s42,opt_joint_group_k4_s2026,plain_kfold_k5,shuffled_kfold_k5_s42,strat_sturges_tm_k5_s42,strat_sturges_hic_k5_s42,strat_q8_tm_k5_s42,strat_q8_hic_k5_s42,strat_hybrid_hic_k5_s42,strat_joint_cart4x4_k5_s42,group_only_k5_s42,stratgroup_hic_hybrid_k5_s42,stratgroup_joint_k5_s42,opt_joint_group_k5_s42,opt_joint_group_k5_s2026,plain_kfold_k6,shuffled_kfold_k6_s42,strat_sturges_tm_k6_s42,strat_sturges_hic_k6_s42,strat_q8_tm_k6_s42,strat_q8_hic_k6_s42,strat_hybrid_hic_k6_s42,strat_joint_cart4x4_k6_s42,group_only_k6_s42,stratgroup_hic_hybrid_k6_s42,stratgroup_joint_k6_s42,opt_joint_group_k6_s42,opt_joint_group_k6_s2026,opt_joint_group_k5_s7,shuffled_kfold_k5_s7,opt_joint_group_k5_s123,shuffled_kfold_k5_s123
ADI-37123,0,1,3,0,0,0,1,1,0,2,2,1,2,0,2,4,0,0,0,1,2,2,4,4,1,2,0,2,5,0,0,0,1,2,4,4,4,2,5,3,4,3,1
ADI-38499,0,3,2,2,3,3,0,0,3,3,1,2,0,0,4,2,3,4,4,1,0,0,1,3,0,2,0,5,3,4,5,5,1,0,1,0,0,4,3,0,4,0,2
ADI-38501,0,0,1,0,3,2,3,3,1,2,3,0,3,0,1,1,0,3,2,4,4,1,2,4,4,3,0,1,2,0,4,3,5,5,5,1,4,2,5,0,2,3,4
ADI-38502,0,3,0,2,3,1,0,2,3,2,2,1,3,0,3,0,2,4,1,1,2,3,0,2,4,0,0,4,0,3,4,2,1,3,5,2,1,2,0,4,2,0,3
ADI-45379,0,1,0,0,3,0,0,0,3,2,0,0,3,0,1,0,1,3,0,0,0,4,1,1,1,3,0,2,0,1,4,0,0,0,3,1,1,1,5,1,4,4,1
ADI-45388,0,2,3,3,0,0,2,0,2,3,0,3,0,0,3,4,3,0,0,3,1,1,2,2,0,3,0,3,5,4,0,0,3,1,0,5,4,1,1,3,1,2,1
ADI-45389,0,1,2,3,2,3,1,0,1,3,1,2,1,0,1,2,4,3,4,2,0,0,0,3,0,1,0,2,3,5,4,5,2,0,1,0,3,3,0,0,4,2,3
ADI-45390,0,2,0,3,0,1,3,0,1,2,2,1,0,0,3,0,4,0,1,4,0,2,2,0,3,0,0,4,0,5,1,1,4,0,5,3,4,5,1,3,3,0,1
ADI-45391,0,2,2,0,0,0,0,3,2,1,1,2,2,0,3,2,1,0,0,0,3,1,1,4,0,2,0,4,3,1,0,0,0,4,2,4,1,5,0,0,1,4,0
ADI-45402,0,0,3,1,3,3,2,3,2,0,2,3,3,0,0,4,2,4,4,3,4,3,0,4,3,3,0,0,5,2,5,4,3,4,0,4,5,1,3,2,2,0,2
ADI-45406,0,1,0,3,3,1,0,3,0,0,3,1,1,0,2,0,3,4,2,0,4,1,0,0,1,4,0,2,0,4,5,2,0,5,0,3,0,3,0,4,3,2,3
ADI-45408,0,1,2,0,2,0,0,1,0,1,3,2,1,0,1,2,1,3,0,0,2,0,2,1,2,2,0,1,3,1,4,0,1,2,0,1,5,1,2,1,0,1,2
ADI-45422,0,0,2,3,0,3,3,2,0,2,0,0,2,0,0,3,4,0,4,3,2,3,0,2,3,2,0,0,4,4,1,4,4,3,0,3,0,0,0,2,2,4,2
ADI-45425,0,3,3,1,0,0,2,2,3,2,3,1,3,0,3,4,1,0,0,3,2,3,2,1,0,4,0,4,5,1,0,0,4,3,3,1,2,2,3,1,0,4,0
ADI-45430,0,3,0,3,2,3,0,3,1,3,3,1,2,0,4,0,4,2,4,0,3,2,2,4,0,3,0,5,0,4,3,5,0,4,1,3,2,0,2,3,2,0,3
ADI-45435,0,0,1,2,1,0,1,0,0,2,2,2,1,0,0,1,3,2,0,1,0,2,0,4,1,1,0,0,1,4,2,0,2,1,0,5,3,1,2,2,2,0,3
ADI-45439,0,0,3,0,1,2,3,0,0,1,0,2,0,0,0,3,0,2,3,4,0,1,2,0,0,1,0,0,4,0,2,4,5,1,4,1,2,0,2,3,2,4,1
ADI-45440,0,3,3,0,1,2,3,1,0,2,3,2,3,0,3,4,0,1,3,4,2,4,4,1,1,0,0,4,5,0,1,3,5,2,2,0,4,4,4,3,1,2,4
ADI-45450,0,0,3,2,0,0,1,1,1,3,3,2,3,0,0,4,3,0,0,2,2,2,4,3,3,1,0,0,5,3,0,0,2,2,5,2,4,1,5,0,2,3,3
ADI-45451,0,0,0,2,3,0,3,1,0,1,0,1,1,0,0,0,2,3,0,3,1,2,2,2,3,0,0,0,0,3,4,1,4,1,2,3,0,4,2,2,4,1,1
ADI-45453,0,3,3,3,0,2,0,1,1,3,0,0,2,0,4,4,4,1,2,0,1,4,3,4,3,2,0,5,5,5,1,3,0,3,5,3,0,3,2,1,2,1,0
ADI-45454,0,3,1,2,0,1,1,3,3,1,2,0,2,0,4,1,2,0,1,1,4,3,3,4,4,2,0,5,1,3,0,1,2,5,5,3,4,2,3,2,3,3,2
ADI-45455,0,1,1,0,1,1,1,3,3,1,0,1,0,0,1,2,0,2,1,1,3,1,2,3,2,2,0,1,1,0,3,2,2,4,1,0,0,2,5,1,1,2,3
ADI-45461,0,1,0,3,0,0,2,2,2,0,3,3,1,0,2,0,4,1,0,2,3,0,2,2,1,4,0,2,1,5,1,0,3,3,4,3,2,2,4,3,4,2,0
ADI-45463,0,0,2,1,0,3,2,0,2,2,3,1,1,0,0,2,1,1,4,2,1,2,4,1,0,4,0,0,3,1,1,5,3,1,4,4,2,0,1,4,0,4,0
ADI-45464,0,1,3,0,3,0,2,2,1,3,1,0,1,0,2,4,0,4,1,2,3,1,0,1,0,3,0,2,5,0,5,1,3,4,1,1,1,3,3,1,4,1,2
ADI-45465,0,0,3,0,1,2,0,1,3,3,0,2,1,0,1,4,0,1,2,0,1,1,3,1,1,4,0,1,5,0,1,2,0,1,1,5,5,4,0,1,1,3,3
ADI-45479,0,1,1,1,3,3,3,2,3,0,2,1,2,0,1,1,1,3,4,4,3,0,4,2,2,1,1,2,2,2,4,5,5,4,1,4,1,2,2,0,3,4,3
ADI-45480,0,1,1,0,2,1,0,3,0,3,1,0,0,0,2,1,0,3,1,1,4,4,1,3,3,4,1,2,5,0,4,1,1,5,2,2,5,3,0,2,1,3,0
ADI-45488,0,0,1,3,1,3,3,3,2,3,3,1,0,0,0,1,3,1,3,4,3,3,1,2,0,4,1,0,1,4,2,4,5,5,2,3,1,0,1,0,2,1,1
ADI-45490,0,0,2,3,1,3,3,1,0,1,0,0,1,0,0,2,3,2,4,4,1,0,3,0,0,3,1,0,3,4,2,5,5,2,2,4,4,0,2,4,3,3,3
ADI-45491,0,0,2,2,3,0,0,1,3,1,3,3,1,0,0,2,3,4,0,1,1,0,2,0,2,3,1,0,2,3,4,0,1,1,3,4,1,0,2,4,2,1,0
ADI-45493,0,1,2,1,2,0,0,3,2,1,3,2,1,0,1,2,2,3,1,0,4,1,4,1,4,4,1,2,3,2,4,1,0,5,0,2,5,0,5,0,0,0,4
ADI-45495,0,2,0,1,1,1,1,1,3,1,0,2,3,1,2,0,1,2,2,1,2,2,2,2,0,2,1,3,0,2,2,2,1,2,3,4,1,2,4,2,3,0,0
ADI-45497,0,2,1,0,0,3,3,0,3,3,3,1,0,1,3,2,0,1,4,4,1,4,4,3,2,3,1,4,2,4,1,5,5,1,1,2,1,3,1,3,4,2,3
ADI-45499,0,2,0,1,3,2,2,3,2,1,1,2,2,1,3,0,2,4,3,2,4,2,1,1,4,1,1,3,0,2,5,4,3,5,4,4,1,5,3,4,3,0,1
ADI-46677,0,1,0,1,0,1,2,3,3,3,1,1,2,1,1,0,2,0,1,3,4,4,1,4,3,3,1,1,0,2,0,1,3,5,3,4,5,0,5,4,1,0,0
ADI-46682,0,3,0,3,2,2,3,3,3,1,3,0,2,1,4,0,4,3,2,4,4,2,1,3,3,2,1,5,0,5,4,3,5,5,1,2,5,1,5,3,0,4,0
ADI-46684,0,3,2,2,1,1,0,3,0,3,0,3,2,1,3,2,3,1,2,1,4,0,1,0,2,0,1,4,3,4,1,2,1,4,2,1,5,3,4,4,4,1,1
ADI-46685,0,2,2,1,1,0,2,0,1,0,0,2,0,1,2,3,1,2,1,3,0,0,4,2,0,2,1,3,4,1,2,1,4,0,3,5,5,5,4,2,2,2,4
ADI-46690,0,1,1,2,2,1,3,3,2,1,3,0,0,1,2,2,2,2,2,4,4,0,2,4,0,0,1,2,2,3,3,2,5,5,2,2,2,4,1,4,1,1,3
ADI-46695,1,1,1,1,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,2,2,4,0,0,4,0,1,2,2,2,3,2,2,3,5,2,5,0,4,2,1,3,1
ADI-46697,1,0,1,0,0,2,0,0,3,2,1,2,3,1,1,1,0,0,3,0,0,3,0,3,3,1,1,1,2,0,0,3,0,1,1,5,2,1,3,1,4,2,1
ADI-46704,1,2,1,3,2,2,3,2,0,3,3,3,0,1,3,2,4,2,3,4,3,4,0,1,2,3,1,4,2,5,3,3,5,4,4,4,2,3,0,1,2,2,2
