id,seq_group
ADI-37123,0
ADI-38499,1
ADI-38501,2
ADI-38502,3
ADI-45379,4
ADI-45388,5
ADI-45389,6
ADI-45390,7
ADI-45391,8
ADI-45402,9
ADI-45406,10
ADI-45408,11
ADI-45422,12
ADI-45425,13
ADI-45430,14
ADI-45435,15
ADI-45439,16
ADI-45440,17
ADI-45450,18
ADI-45451,19
ADI-45453,20
ADI-45454,21
ADI-45455,22
ADI-45461,23
ADI-45463,24
ADI-45464,25
ADI-45465,26
ADI-45479,27
ADI-45480,28
ADI-45488,29
ADI-45490,30
ADI-45491,31
ADI-45493,32
ADI-45495,33
ADI-45497,34
ADI-45499,35
ADI-46677,36
ADI-46682,37
ADI-46684,38
ADI-46685,39
ADI-46690,40
ADI-46695,41
ADI-46697,42
ADI-46704,43
ADI-46705,44
ADI-46708,45
ADI-46710,46
ADI-47054,47
ADI-47060,48
ADI-47061,49
ADI-47063,50
ADI-47064,51
ADI-47065,52
ADI-47066,53
ADI-47068,54
ADI-47069,55
ADI-47072,56
ADI-47073,57
ADI-47074,58
ADI-47075,59
ADI-47076,60
ADI-47078,61
ADI-47079,62
ADI-47081,63
ADI-47087,64
ADI-47089,65
ADI-47091,66
ADI-47094,67
ADI-47095,68
ADI-47096,66
ADI-47097,69
ADI-47098,70
ADI-47099,71
ADI-47100,72
ADI-47102,73
ADI-47103,74
ADI-47105,75
ADI-47111,76
ADI-47114,77
ADI-47117,78
ADI-47118,79
ADI-47122,80
ADI-47123,81
ADI-47130,82
ADI-47131,83
ADI-47132,84
ADI-47134,85
ADI-47139,86
ADI-47141,87
ADI-47145,88
ADI-47146,89
ADI-47147,90
ADI-47149,91
ADI-47151,92
ADI-47153,93
ADI-47154,94
ADI-47155,95
ADI-47156,96
ADI-47158,97
ADI-47159,98
ADI-47162,99
ADI-47163,100
ADI-47165,101
ADI-47176,102
ADI-47177,103
ADI-47180,104
ADI-47181,105
ADI-47183,106
ADI-47187,107
ADI-47188,108
ADI-47189,109
ADI-47195,110
ADI-47199,111
ADI-47204,112
ADI-47207,113
ADI-47209,114
ADI-47212,115
ADI-47213,116
ADI-47215,117
ADI-47216,118
ADI-47218,119
ADI-47219,120
ADI-47223,121
ADI-47224,122
ADI-47225,123
ADI-47227,124
ADI-47228,125
ADI-47230,126
ADI-47233,127
ADI-47234,128
ADI-47236,129
ADI-47238,130
ADI-47240,131
ADI-47241,132
ADI-47244,133
ADI-47247,134
ADI-47249,135
ADI-47250,136
ADI-47252,137
ADI-47254,138
ADI-47258,139
ADI-47259,140
ADI-47260,141
ADI-47262,142
ADI-47265,143
ADI-47267,144
ADI-47280,145
ADI-47283,146
ADI-47284,147
ADI-47285,148
ADI-47288,149
ADI-47289,150
ADI-47292,151
ADI-47297,152
ADI-47300,153
ADI-47301,154
ADI-47302,155
ADI-47308,156
ADI-47309,157
ADI-47312,158
ADI-47316,159
ADI-47317,160
