id,fold
ADI-37123,1
ADI-38499,0
ADI-38501,4
ADI-38502,4
ADI-45379,1
ADI-45388,0
ADI-45389,0
ADI-45390,3
ADI-45391,0
ADI-45402,3
ADI-45406,1
ADI-45408,2
ADI-45422,3
ADI-45425,0
ADI-45430,0
ADI-45435,1
ADI-45439,0
ADI-45440,1
ADI-45450,3
ADI-45451,3
ADI-45453,3
ADI-45454,4
ADI-45455,2
ADI-45461,1
ADI-45463,0
ADI-45464,0
ADI-45465,1
ADI-45479,2
ADI-45480,3
ADI-45488,0
ADI-45490,0
ADI-45491,2
ADI-45493,4
ADI-45495,0
ADI-45497,2
ADI-45499,4
ADI-46677,3
ADI-46682,3
ADI-46684,2
ADI-46685,0
ADI-46690,0
ADI-46695,4
ADI-46697,3
ADI-46704,2
ADI-46705,4
ADI-46708,2
ADI-46710,1
ADI-47054,4
ADI-47060,4
ADI-47061,3
ADI-47063,0
ADI-47064,1
ADI-47065,1
ADI-47066,1
ADI-47068,2
ADI-47069,3
ADI-47072,3
ADI-47073,4
ADI-47074,0
ADI-47075,3
ADI-47076,1
ADI-47078,2
ADI-47079,2
ADI-47081,1
ADI-47087,4
ADI-47089,3
ADI-47091,2
ADI-47094,0
ADI-47095,1
ADI-47096,2
ADI-47097,1
ADI-47098,2
ADI-47099,4
ADI-47100,3
ADI-47102,4
ADI-47103,3
ADI-47105,1
ADI-47111,3
ADI-47114,0
ADI-47117,4
ADI-47118,3
ADI-47122,0
ADI-47123,3
ADI-47130,2
ADI-47131,2
ADI-47132,3
ADI-47134,2
ADI-47139,2
ADI-47141,1
ADI-47145,0
ADI-47146,0
ADI-47147,4
ADI-47149,1
ADI-47151,4
ADI-47153,3
ADI-47154,0
ADI-47155,1
ADI-47156,1
ADI-47158,1
ADI-47159,3
ADI-47162,3
ADI-47163,2
ADI-47165,1
ADI-47176,4
ADI-47177,2
ADI-47180,2
ADI-47181,0
ADI-47183,4
ADI-47187,2
ADI-47188,1
ADI-47189,4
ADI-47195,1
ADI-47199,1
ADI-47204,1
ADI-47207,3
ADI-47209,1
ADI-47212,4
ADI-47213,1
ADI-47215,0
ADI-47216,4
ADI-47218,2
ADI-47219,4
ADI-47223,4
ADI-47224,3
ADI-47225,0
ADI-47227,2
ADI-47228,2
ADI-47230,3
ADI-47233,0
ADI-47234,1
ADI-47236,1
ADI-47238,1
ADI-47240,4
ADI-47241,1
ADI-47244,0
ADI-47247,3
ADI-47249,2
ADI-47250,3
ADI-47252,4
ADI-47254,4
ADI-47258,0
ADI-47259,2
ADI-47260,2
ADI-47262,0
ADI-47265,4
ADI-47267,4
ADI-47280,0
ADI-47283,2
ADI-47284,4
ADI-47285,4
ADI-47288,2
ADI-47289,3
ADI-47292,2
ADI-47297,3
ADI-47300,3
ADI-47301,2
ADI-47302,0
ADI-47308,1
ADI-47309,0
ADI-47312,4
ADI-47316,4
ADI-47317,2
