id,fold,y_true,y_pred,residual,experiment_id
ADI-37123,1,8.566,9.201176472849276,-0.6351764728492757,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-38499,0,9.901,8.8786868970471,1.0223131029529,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-38501,4,8.959,9.16452978583811,-0.20552978583810955,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-38502,4,8.886,9.057942830956994,-0.17194283095699525,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45379,1,8.794,9.009857219988065,-0.21585721998806484,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45388,0,8.984,9.076577706264317,-0.09257770626431672,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45389,0,8.857,9.046092357628146,-0.18909235762814625,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45390,3,8.809,9.021915195396948,-0.21291519539694903,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45391,0,9.153,9.179846379180058,-0.026846379180057056,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45402,3,8.736,9.174111045944933,-0.43811104594493244,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45406,1,8.78,9.196621529824009,-0.4166215298240097,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45408,2,8.964,9.232251207983403,-0.2682512079834023,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45422,3,10.143,9.19465207685027,0.9483479231497309,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45425,0,11.09,9.056313680641122,2.0336863193588783,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45430,0,8.799,8.92441105635872,-0.12541105635872007,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45435,1,11.905,9.248832832137891,2.656167167862108,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45439,0,8.736,9.287646900094767,-0.5516469000947666,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45440,1,9.017,8.769947582819253,0.24705241718074689,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45450,3,8.717,9.103064560338566,-0.38606456033856595,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45451,3,11.138,9.252901561380295,1.8850984386197052,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45453,3,9.357,8.750228957637324,0.6067710423626753,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45454,4,8.974,8.796002718716641,0.1779972812833588,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45455,2,8.717,9.046093903419383,-0.32909390341938227,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45461,1,9.202,9.235167942552417,-0.03316794255241717,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45463,0,8.916,8.92638736463908,-0.010387364639079522,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45464,0,8.77,9.057689266880523,-0.2876892668805233,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45465,1,8.755,9.080075228007951,-0.3250752280079503,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45479,2,9.003,9.369060150831801,-0.3660601508318013,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45480,3,9.212,9.2437825858058,-0.03178258580580007,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45488,0,9.275,9.128939592449289,0.1460604075507117,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45490,0,9.144,9.111016918077778,0.03298308192222166,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45491,2,9.406,9.272947128418355,0.13305287158164525,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45493,4,10.406,9.244778747193111,1.1612212528068895,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45495,0,10.381,9.306286292625215,1.0747137073747854,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45497,2,12.74,9.410179800931628,3.3298201990683722,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-45499,4,12.216,9.248223798342641,2.967776201657358,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-46677,3,9.406,9.2451120801048,0.16088791989520068,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-46682,3,8.833,8.704643995031134,0.12835600496886634,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-46684,2,9.037,9.369242791794742,-0.3322427917947408,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-46685,0,8.843,9.148007467774265,-0.30500746777426535,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-46690,0,8.819,8.900889225175655,-0.08188922517565445,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-46695,4,9.013,8.942122162232586,0.07087783776741396,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-46697,3,9.095,9.142935389620153,-0.04793538962015198,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-46704,2,8.78,9.326839061130348,-0.5468390611303491,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-46705,4,9.304,9.22075594451914,0.08324405548085956,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-46708,2,8.765,9.190057811610568,-0.4250578116105679,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-46710,1,9.1,9.468376577709927,-0.3683765777099275,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-47054,4,8.523,9.069935771408987,-0.5469357714089877,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-47060,4,8.707,8.923369894379244,-0.21636989437924292,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-47061,3,8.731,9.0240504373961,-0.2930504373961007,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-47063,0,8.756,8.986459139671322,-0.23045913967132137,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-47064,1,8.77,9.103988445518874,-0.33398844551887485,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-47065,1,8.775,9.436107687326368,-0.6611076873263677,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-47066,1,8.775,9.217429595342065,-0.4424295953420643,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-47068,2,8.8,8.998499707599404,-0.19849970759940305,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-47069,3,8.804,9.26027832614072,-0.45627832614071906,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
ADI-47072,3,8.823,9.002880597255446,-0.1798805972554458,HIC__FUSION__ablang2__H__SEQ_BASIC__SVROpt
