id,fold,y_true,y_pred,residual,experiment_id
ADI-37123,1,8.566,9.084940890398133,-0.5189408903981327,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-38499,0,9.901,9.072755738327823,0.828244261672177,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-38501,4,8.959,8.972516450156679,-0.013516450156679127,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-38502,4,8.886,8.728428283373049,0.15757171662695058,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45379,1,8.794,8.810082087500486,-0.016082087500485898,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45388,0,8.984,9.23929875236056,-0.25529875236055943,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45389,0,8.857,9.136266442180123,-0.2792664421801234,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45390,3,8.809,8.806612743337194,0.0023872566628053704,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45391,0,9.153,9.131852039476362,0.02114796052363843,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45402,3,8.736,8.888418910708616,-0.15241891070861513,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45406,1,8.78,8.887864629392391,-0.10786462939239172,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45408,2,8.964,9.059260876512878,-0.09526087651287796,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45422,3,10.143,9.51832178055552,0.6246782194444815,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45425,0,11.09,9.630254008390285,1.459745991609715,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45430,0,8.799,9.12131269956583,-0.3223126995658312,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45435,1,11.905,9.845352265512634,2.059647734487365,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45439,0,8.736,9.006939833397453,-0.27093983339745265,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45440,1,9.017,9.093921968495403,-0.07692196849540345,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45450,3,8.717,9.011329600918122,-0.29432960091812177,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45451,3,11.138,9.86156791783916,1.2764320821608397,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45453,3,9.357,9.141912980566511,0.21508701943348818,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45454,4,8.974,8.67465600916846,0.29934399083153984,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45455,2,8.717,9.022211381931832,-0.30521138193183184,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45461,1,9.202,9.36818998473893,-0.16618998473892965,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45463,0,8.916,9.012865894776642,-0.09686589477664143,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45464,0,8.77,8.772797060118315,-0.0027970601183149313,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45465,1,8.755,9.149696416332194,-0.3946964163321933,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45479,2,9.003,9.314122892426578,-0.3111228924265781,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45480,3,9.212,9.41407244072942,-0.20207244072942032,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45488,0,9.275,9.206544421579258,0.06845557842074257,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45490,0,9.144,9.383902874878036,-0.23990287487803563,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45491,2,9.406,9.278671687800633,0.12732831219936713,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45493,4,10.406,9.46906807689074,0.9369319231092614,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45495,0,10.381,9.461809734798496,0.9191902652015038,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45497,2,12.74,9.852678173190288,2.8873218268097123,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-45499,4,12.216,9.738460630587209,2.4775393694127903,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-46677,3,9.406,8.902709012702768,0.5032909872972322,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-46682,3,8.833,8.702749689393356,0.1302503106066446,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-46684,2,9.037,9.53879615429456,-0.5017961542945599,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
ADI-46685,0,8.843,9.051707198596532,-0.20870719859653164,HIC__FUSION__esm2__H__SEQ_PLUS_ANTIBODY__SVROpt
