id,fold,y_true,y_pred,residual,experiment_id
ADI-37123,1,8.566,9.049552269331286,-0.4835522693312857,HIC__esm2__HL__SVROpt
ADI-38499,0,9.901,9.070042043052537,0.8309579569474632,HIC__esm2__HL__SVROpt
ADI-38501,4,8.959,9.056779488599016,-0.09777948859901642,HIC__esm2__HL__SVROpt
ADI-38502,4,8.886,8.902701573227102,-0.01670157322710253,HIC__esm2__HL__SVROpt
ADI-45379,1,8.794,9.082019016688253,-0.2880190166882528,HIC__esm2__HL__SVROpt
ADI-45388,0,8.984,9.203857290584091,-0.2198572905840912,HIC__esm2__HL__SVROpt
ADI-45389,0,8.857,9.026192375334439,-0.16919237533443976,HIC__esm2__HL__SVROpt
ADI-45390,3,8.809,8.97441433798123,-0.16541433798123073,HIC__esm2__HL__SVROpt
ADI-45391,0,9.153,9.037383828631047,0.11561617136895386,HIC__esm2__HL__SVROpt
ADI-45402,3,8.736,9.001978087686874,-0.26597808768687337,HIC__esm2__HL__SVROpt
ADI-45406,1,8.78,9.059265704381803,-0.2792657043818032,HIC__esm2__HL__SVROpt
ADI-45408,2,8.964,8.988643468410594,-0.024643468410593172,HIC__esm2__HL__SVROpt
ADI-45422,3,10.143,9.141596771154358,1.0014032288456427,HIC__esm2__HL__SVROpt
ADI-45425,0,11.09,9.226999488821667,1.863000511178333,HIC__esm2__HL__SVROpt
ADI-45430,0,8.799,9.209121125000829,-0.4101211250008294,HIC__esm2__HL__SVROpt
ADI-45435,1,11.905,9.468432377711,2.436567622288999,HIC__esm2__HL__SVROpt
ADI-45439,0,8.736,9.166578471537896,-0.4305784715378955,HIC__esm2__HL__SVROpt
ADI-45440,1,9.017,9.257181045229087,-0.2401810452290878,HIC__esm2__HL__SVROpt
ADI-45450,3,8.717,9.004534756604942,-0.2875347566049413,HIC__esm2__HL__SVROpt
ADI-45451,3,11.138,9.401086964495136,1.7369130355048643,HIC__esm2__HL__SVROpt
ADI-45453,3,9.357,9.005320182030133,0.3516798179698668,HIC__esm2__HL__SVROpt
ADI-45454,4,8.974,8.93781941765806,0.03618058234193988,HIC__esm2__HL__SVROpt
ADI-45455,2,8.717,9.257671572359083,-0.5406715723590825,HIC__esm2__HL__SVROpt
ADI-45461,1,9.202,9.125064327171557,0.07693567282844249,HIC__esm2__HL__SVROpt
ADI-45463,0,8.916,9.05780771977976,-0.14180771977975937,HIC__esm2__HL__SVROpt
ADI-45464,0,8.77,9.05530190176197,-0.28530190176197046,HIC__esm2__HL__SVROpt
ADI-45465,1,8.755,9.257410616976538,-0.5024106169765368,HIC__esm2__HL__SVROpt
ADI-45479,2,9.003,9.188405751853985,-0.18540575185398467,HIC__esm2__HL__SVROpt
ADI-45480,3,9.212,9.234935814053628,-0.022935814053628434,HIC__esm2__HL__SVROpt
ADI-45488,0,9.275,9.047285611833129,0.22771438816687173,HIC__esm2__HL__SVROpt
ADI-45490,0,9.144,9.191114994411803,-0.047114994411803224,HIC__esm2__HL__SVROpt
ADI-45491,2,9.406,9.245780542845637,0.1602194571543638,HIC__esm2__HL__SVROpt
ADI-45493,4,10.406,9.39798940713753,1.0080105928624707,HIC__esm2__HL__SVROpt
ADI-45495,0,10.381,9.258786700643633,1.1222132993563676,HIC__esm2__HL__SVROpt
ADI-45497,2,12.74,9.40911928442646,3.3308807155735405,HIC__esm2__HL__SVROpt
ADI-45499,4,12.216,9.23492531214632,2.9810746878536794,HIC__esm2__HL__SVROpt
ADI-46677,3,9.406,8.976049162641822,0.42995083735817907,HIC__esm2__HL__SVROpt
ADI-46682,3,8.833,8.97013559066883,-0.13713559066883008,HIC__esm2__HL__SVROpt
ADI-46684,2,9.037,9.350121284161467,-0.31312128416146656,HIC__esm2__HL__SVROpt
ADI-46685,0,8.843,9.039344337814125,-0.19634433781412497,HIC__esm2__HL__SVROpt
ADI-46690,0,8.819,8.89566699064266,-0.07666699064265892,HIC__esm2__HL__SVROpt
ADI-46695,4,9.013,9.026205244201952,-0.013205244201952127,HIC__esm2__HL__SVROpt
ADI-46697,3,9.095,9.224287623876302,-0.12928762387630144,HIC__esm2__HL__SVROpt
ADI-46704,2,8.78,9.310722993572096,-0.5307229935720965,HIC__esm2__HL__SVROpt
ADI-46705,4,9.304,9.266305424680908,0.03769457531909204,HIC__esm2__HL__SVROpt
ADI-46708,2,8.765,9.078956125517557,-0.3139561255175565,HIC__esm2__HL__SVROpt
ADI-46710,1,9.1,9.125924709002222,-0.0259247090022221,HIC__esm2__HL__SVROpt
ADI-47054,4,8.523,9.151322214827044,-0.628322214827044,HIC__esm2__HL__SVROpt
ADI-47060,4,8.707,9.098589197426502,-0.39158919742650156,HIC__esm2__HL__SVROpt
ADI-47061,3,8.731,9.009923505198294,-0.27892350519829456,HIC__esm2__HL__SVROpt
ADI-47063,0,8.756,9.034125763262582,-0.2781257632625813,HIC__esm2__HL__SVROpt
ADI-47064,1,8.77,9.211485989752425,-0.4414859897524259,HIC__esm2__HL__SVROpt
ADI-47065,1,8.775,9.172392295388331,-0.39739229538833065,HIC__esm2__HL__SVROpt
ADI-47066,1,8.775,9.07818420196462,-0.30318420196461915,HIC__esm2__HL__SVROpt
ADI-47068,2,8.8,9.057088405536001,-0.25708840553600076,HIC__esm2__HL__SVROpt
ADI-47069,3,8.804,9.1818117483181,-0.37781174831810027,HIC__esm2__HL__SVROpt
ADI-47072,3,8.823,9.130073109197783,-0.3070731091977823,HIC__esm2__HL__SVROpt
ADI-47073,4,8.829,8.975092582916213,-0.14609258291621252,HIC__esm2__HL__SVROpt
ADI-47074,0,8.834,9.260730897230287,-0.42673089723028745,HIC__esm2__HL__SVROpt
ADI-47075,3,8.838,8.949012445417635,-0.11101244541763577,HIC__esm2__HL__SVROpt
ADI-47076,1,8.857,9.219882361174701,-0.36288236117470163,HIC__esm2__HL__SVROpt
ADI-47078,2,8.867,9.003788172647146,-0.1367881726471456,HIC__esm2__HL__SVROpt
ADI-47079,2,8.877,9.280170598821172,-0.40317059882117157,HIC__esm2__HL__SVROpt
ADI-47081,1,8.906,8.955415654007638,-0.049415654007637144,HIC__esm2__HL__SVROpt
ADI-47087,4,8.93,9.223716516186009,-0.29371651618600936,HIC__esm2__HL__SVROpt
ADI-47089,3,8.94,9.125655628897013,-0.18565562889701326,HIC__esm2__HL__SVROpt
ADI-47091,2,8.959,9.20619733572081,-0.24719733572081104,HIC__esm2__HL__SVROpt
ADI-47094,0,9.003,9.18575545747442,-0.18275545747441946,HIC__esm2__HL__SVROpt
ADI-47095,1,9.022,9.082055559358166,-0.06005555935816531,HIC__esm2__HL__SVROpt
ADI-47096,2,9.027,9.230775767841655,-0.2037757678416554,HIC__esm2__HL__SVROpt
ADI-47097,1,9.037,9.071534629523217,-0.03453462952321651,HIC__esm2__HL__SVROpt
ADI-47098,2,9.066,8.910243092817419,0.15575690718258173,HIC__esm2__HL__SVROpt
ADI-47099,4,9.071,9.154083962273587,-0.08308396227358728,HIC__esm2__HL__SVROpt
ADI-47100,3,9.081,9.1289205265903,-0.04792052659029977,HIC__esm2__HL__SVROpt
ADI-47102,4,9.115,9.053111894423308,0.061888105576692,HIC__esm2__HL__SVROpt
ADI-47103,3,9.119,9.02972745739677,0.08927254260322925,HIC__esm2__HL__SVROpt
ADI-47105,1,9.13,8.924498852703751,0.2055011472962498,HIC__esm2__HL__SVROpt
ADI-47111,3,9.173,8.953493132661398,0.2195068673386018,HIC__esm2__HL__SVROpt
ADI-47114,0,9.236,9.050706872847593,0.18529312715240742,HIC__esm2__HL__SVROpt
ADI-47117,4,9.25,9.200939519020464,0.04906048097953608,HIC__esm2__HL__SVROpt
ADI-47118,3,9.25,9.040505592932144,0.20949440706785616,HIC__esm2__HL__SVROpt
ADI-47122,0,9.285,9.180471770652057,0.10452822934794348,HIC__esm2__HL__SVROpt
