id,fold,y_true,y_pred,residual,experiment_id
ADI-37123,1,69.0,73.49005859217685,-4.490058592176851,TmApp__ablang2__HL__SVROpt
ADI-38499,0,65.5,67.70208619350255,-2.202086193502552,TmApp__ablang2__HL__SVROpt
ADI-38501,4,64.5,71.09611332096608,-6.596113320966083,TmApp__ablang2__HL__SVROpt
ADI-38502,4,66.0,72.44270580590505,-6.4427058059050495,TmApp__ablang2__HL__SVROpt
ADI-45379,1,66.0,67.38942644869016,-1.389426448690159,TmApp__ablang2__HL__SVROpt
ADI-45388,0,72.5,72.90284343171129,-0.40284343171128967,TmApp__ablang2__HL__SVROpt
ADI-45389,0,67.5,73.02411857963801,-5.524118579638014,TmApp__ablang2__HL__SVROpt
ADI-45390,3,73.0,67.33972838258696,5.660271617413045,TmApp__ablang2__HL__SVROpt
ADI-45391,0,68.5,67.49998496476653,1.0000150352334742,TmApp__ablang2__HL__SVROpt
ADI-45402,3,68.5,69.52402200353075,-1.024022003530746,TmApp__ablang2__HL__SVROpt
ADI-45406,1,69.5,70.11960338158767,-0.619603381587666,TmApp__ablang2__HL__SVROpt
ADI-45408,2,75.0,76.75105138593514,-1.751051385935142,TmApp__ablang2__HL__SVROpt
ADI-45422,3,72.0,70.31557269143309,1.6844273085669101,TmApp__ablang2__HL__SVROpt
ADI-45425,0,74.0,77.52076843418955,-3.5207684341895487,TmApp__ablang2__HL__SVROpt
ADI-45430,0,80.0,73.37998155307315,6.620018446926849,TmApp__ablang2__HL__SVROpt
ADI-45435,1,76.5,74.05927284908994,2.440727150910064,TmApp__ablang2__HL__SVROpt
ADI-45439,0,67.5,68.33287695950027,-0.8328769595002683,TmApp__ablang2__HL__SVROpt
ADI-45440,1,67.0,67.46515746759505,-0.4651574675950485,TmApp__ablang2__HL__SVROpt
ADI-45450,3,70.5,67.83635913703097,2.6636408629690322,TmApp__ablang2__HL__SVROpt
ADI-45451,3,69.0,72.50882171246688,-3.508821712466883,TmApp__ablang2__HL__SVROpt
ADI-45453,3,61.5,67.54998142596747,-6.049981425967474,TmApp__ablang2__HL__SVROpt
ADI-45454,4,69.0,69.46001744591946,-0.4600174459194619,TmApp__ablang2__HL__SVROpt
ADI-45455,2,57.5,67.93637076829853,-10.43637076829853,TmApp__ablang2__HL__SVROpt
ADI-45461,1,68.5,71.6166173290925,-3.116617329092506,TmApp__ablang2__HL__SVROpt
ADI-45463,0,74.5,71.31940434915839,3.1805956508416102,TmApp__ablang2__HL__SVROpt
ADI-45464,0,70.0,69.6121615888826,0.38783841111740003,TmApp__ablang2__HL__SVROpt
ADI-45465,1,73.5,68.69710365091917,4.802896349080825,TmApp__ablang2__HL__SVROpt
ADI-45479,2,73.0,71.40420720124789,1.5957927987521145,TmApp__ablang2__HL__SVROpt
ADI-45480,3,83.5,77.05548880049463,6.444511199505371,TmApp__ablang2__HL__SVROpt
ADI-45488,0,64.5,68.661568420822,-4.161568420821993,TmApp__ablang2__HL__SVROpt
ADI-45490,0,69.5,69.58261897236346,-0.08261897236346272,TmApp__ablang2__HL__SVROpt
ADI-45491,2,74.0,69.46041947129477,4.53958052870523,TmApp__ablang2__HL__SVROpt
ADI-45493,4,75.0,71.17551494678399,3.8244850532160086,TmApp__ablang2__HL__SVROpt
ADI-45495,0,73.5,71.87687271298238,1.623127287017624,TmApp__ablang2__HL__SVROpt
ADI-45497,2,71.0,71.98285295607248,-0.9828529560724775,TmApp__ablang2__HL__SVROpt
ADI-45499,4,68.5,67.57998471372653,0.9200152862734683,TmApp__ablang2__HL__SVROpt
ADI-46677,3,68.0,67.3072632271621,0.6927367728379039,TmApp__ablang2__HL__SVROpt
ADI-46682,3,70.5,69.53542930485848,0.9645706951415178,TmApp__ablang2__HL__SVROpt
ADI-46684,2,69.0,69.88421923119105,-0.8842192311910537,TmApp__ablang2__HL__SVROpt
ADI-46685,0,68.5,65.3993091941551,3.1006908058449056,TmApp__ablang2__HL__SVROpt
ADI-46690,0,73.5,74.14228228297856,-0.6422822829785559,TmApp__ablang2__HL__SVROpt
ADI-46695,4,70.5,70.65874540444042,-0.15874540444042395,TmApp__ablang2__HL__SVROpt
ADI-46697,3,65.0,68.52014838919706,-3.520148389197061,TmApp__ablang2__HL__SVROpt
ADI-46704,2,68.5,70.90016215001553,-2.4001621500155323,TmApp__ablang2__HL__SVROpt
ADI-46705,4,74.0,72.69467848576721,1.3053215142327872,TmApp__ablang2__HL__SVROpt
ADI-46708,2,69.5,72.06443161640314,-2.564431616403141,TmApp__ablang2__HL__SVROpt
ADI-46710,1,72.5,71.9811627982438,0.5188372017561989,TmApp__ablang2__HL__SVROpt
ADI-47054,4,71.0,68.22337937780844,2.776620622191558,TmApp__ablang2__HL__SVROpt
ADI-47060,4,65.0,64.41650227805653,0.5834977219434734,TmApp__ablang2__HL__SVROpt
ADI-47061,3,66.0,67.98238591340109,-1.9823859134010888,TmApp__ablang2__HL__SVROpt
ADI-47063,0,64.5,65.75965518481225,-1.259655184812246,TmApp__ablang2__HL__SVROpt
