target,plm,chain,pca_dim,model,Primary_MAE,Primary_fold_SD,delta_vs_stage1_primary,comparison_type
TmApp,esm1b,H,32,Ridge,3.5920408191102924,0.4318302125456216,0.4909408191102922,CONTROLLED_CHAIN_ABLATION
TmApp,esm1b,H,32,SVR,3.409963086649693,0.16336218907215025,0.30886308664969286,CONTROLLED_CHAIN_ABLATION
TmApp,esm1b,L,32,Ridge,3.764052057988716,0.26146283048293223,0.6629520579887158,CONTROLLED_CHAIN_ABLATION
TmApp,esm1b,L,32,SVR,3.417646300521967,0.3256014563919598,0.31654630052196664,CONTROLLED_CHAIN_ABLATION
TmApp,esm1b,HL,32,Ridge,3.3505277214628277,0.25712223024396297,0.24942772146282755,CONTROLLED_CHAIN_ABLATION
TmApp,esm1b,HL,32,SVR,3.4479324630768495,0.18691647575454118,0.34683246307684934,CONTROLLED_CHAIN_ABLATION
TmApp,esm2,H,32,Ridge,3.543568346717141,0.36437503471306537,0.44246834671714064,CONTROLLED_CHAIN_ABLATION
TmApp,esm2,H,32,SVR,3.4304653662849063,0.18428656917221023,0.3293653662849061,CONTROLLED_CHAIN_ABLATION
TmApp,esm2,L,32,Ridge,3.7154270201018362,0.14194687898112698,0.614327020101836,CONTROLLED_CHAIN_ABLATION
TmApp,esm2,L,32,SVR,3.327937122612177,0.2964058047334784,0.2268371226121766,CONTROLLED_CHAIN_ABLATION
TmApp,esm2,HL,32,Ridge,3.2497688625798076,0.20511355374375426,0.14866886257980738,CONTROLLED_CHAIN_ABLATION
TmApp,esm2,HL,32,SVR,3.443999261173005,0.19369601366183503,0.3428992611730046,CONTROLLED_CHAIN_ABLATION
TmApp,ablang2,H,32,Ridge,3.309246765483509,0.504342782436593,0.20814676548350874,CONTROLLED_CHAIN_ABLATION
TmApp,ablang2,H,32,SVR,3.29881612215706,0.23925558198689786,0.1977161221570598,CONTROLLED_CHAIN_ABLATION
TmApp,ablang2,L,32,Ridge,3.3856967868226944,0.16734302154824848,0.2845967868226942,CONTROLLED_CHAIN_ABLATION
TmApp,ablang2,L,32,SVR,3.2515735042131815,0.2848184610931825,0.15047350421318129,CONTROLLED_CHAIN_ABLATION
TmApp,ablang2,HL,32,Ridge,3.016405258756696,0.29192102216239446,-0.08469474124330434,CONTROLLED_CHAIN_ABLATION
TmApp,ablang2,HL,32,SVR,3.3685083397901545,0.21830480840303895,0.2674083397901543,CONTROLLED_CHAIN_ABLATION
HIC,esm1b,H,32,Ridge,0.5541324447256145,0.10331827154243041,0.0809324447256145,CONTROLLED_CHAIN_ABLATION
HIC,esm1b,H,32,SVR,0.5900770030638334,0.03933861997875168,0.11687700306383336,CONTROLLED_CHAIN_ABLATION
HIC,esm1b,L,32,Ridge,0.659990517536799,0.07590547695619163,0.18679051753679904,CONTROLLED_CHAIN_ABLATION
HIC,esm1b,L,32,SVR,0.629556006089195,0.04422823614746519,0.15635600608919503,CONTROLLED_CHAIN_ABLATION
HIC,esm1b,HL,32,Ridge,0.6186721383658322,0.15310996170344512,0.14547213836583223,CONTROLLED_CHAIN_ABLATION
HIC,esm1b,HL,32,SVR,0.5996291935525807,0.03671917536095162,0.1264291935525807,CONTROLLED_CHAIN_ABLATION
HIC,esm2,H,32,Ridge,0.5075575440204505,0.10809174159800461,0.03435754402045049,CONTROLLED_CHAIN_ABLATION
HIC,esm2,H,32,SVR,0.5703210493700196,0.029766183608055923,0.09712104937001959,CONTROLLED_CHAIN_ABLATION
HIC,esm2,L,32,Ridge,0.6441955584771705,0.05513962254152433,0.17099555847717046,CONTROLLED_CHAIN_ABLATION
HIC,esm2,L,32,SVR,0.6035425634841622,0.03792079208451429,0.13034256348416223,CONTROLLED_CHAIN_ABLATION
HIC,esm2,HL,32,Ridge,0.5389501743880185,0.11455160670096622,0.0657501743880185,CONTROLLED_CHAIN_ABLATION
HIC,esm2,HL,32,SVR,0.5953164485550613,0.03579767754822801,0.12211644855506126,CONTROLLED_CHAIN_ABLATION
HIC,ablang2,H,32,Ridge,0.5489024374586163,0.06917667347427214,0.07570243745861632,CONTROLLED_CHAIN_ABLATION
HIC,ablang2,H,32,SVR,0.6000241859040008,0.047701336843706595,0.12682418590400074,CONTROLLED_CHAIN_ABLATION
HIC,ablang2,L,32,Ridge,0.6408397940505633,0.06922918427277658,0.16763979405056334,CONTROLLED_CHAIN_ABLATION
HIC,ablang2,L,32,SVR,0.6088515418424805,0.03842863270025153,0.13565154184248046,CONTROLLED_CHAIN_ABLATION
HIC,ablang2,HL,32,Ridge,0.599689188857512,0.08127304086592209,0.12648918885751198,CONTROLLED_CHAIN_ABLATION
HIC,ablang2,HL,32,SVR,0.5799585658211287,0.04973895935041543,0.10675856582112869,CONTROLLED_CHAIN_ABLATION
